place_id;place_name
609;Nowa Huta, Poland
610;Tychy Nowe Tychy, New Tychy, Poland
620;Lusail, Qatar
625;Akademgorodok, Novosibirsk, Russia
642;"King Abdullah Economic City, some stages completed; scheduled 2020 completion, Saudi Arabia"
643;Prince Abdulaziz Bin Mousaed Economic City, Saudi Arabia
645;NEOM, Saudi Arabia
