place_id;place_name
551;Le Portier, Fontvielle, Monaco
552;Naypyidaw, Myanmar
567;Pegasus Town, New Zealand
568;Turangi, New Zealand
569;Twizel, New Zealand
572;Bonny Island, Lagos, Nigeria
573;Centenary City, Nigeria
574;Eko Atlantic City, Nigeria
575;Festac Town Lagos, Nigeria
576;Greater Port Harcourt, Nigeria
579;Victoria Island, Lagos, Nigeria
580;Al Duqm, Oman
581;Gwadar, Pakistan
583;Bahria Town Rawalpindi, Islamabad, Pakistan
584;Capital Smart City, Islamabad, Pakistan
586;New Murree, Pakistan
587;Bahria Town Karachi, Karachi, Pakistan
588;Bodha Island City, Pakistan
590;DHA City, Gadap, Pakistan
592;Bahria Town, Lahore, Pakistan
594;River Ravifront, Pakistan
595;Bahria Town, Nawabshah, Pakistan
596;Rawabi, Palestine
