place_id;place_name
901;Mililani, Hawaii, United States
908;Sugar Creek, Sugar Land, Texas, United States
909;Sunriver, Oregon, United States
910;Valley Ranch, Irving, Texas, United States
912;Woodhaven, Fort Worth, United States
913;Cedar-Riverside, Minneapolis, Minnesota, United States
916;Harbison, South Carolina, United States
917;Jonathan, Minnesota, United States
919;Newfields, Dayton, Ohio, United States
922;Riverton, New York, United States
924;Shenandoah, Georgia, United States
925;Soul City, Warren County, North Carolina, United States
928;The Woodlands, Houston, Texas, United States
932;Celebration, Florida, United States
935;Kapolei, Hawaii, United States
936;Laguna West, California, United States
937;New Territory, Sugar Land, Texas, United States
938;Phillips Ranch, California, United States
939;Port Liberte, New Jersey, United States
942;Southern Village, North Carolina, United States
943;Summerlin, Nevada, United States
945;Viera, Florida, United States
948;Ave Maria, Florida, United States
949;Bayview-Hunters Point, San Francisco, California, United States
