place_id,n_nodes,n_edges
152,508,1266
154,10,18
159,47125,125632
161,8,13
164,117916,277505
165,30,62
166,285,704
167,1715,3854
168,2604,6013
169,158,297
171,469,1002
172,1940,4086
173,241,507
174,412,921
175,878,1910
176,545,1206
177,81,241
178,1109,2298
179,590,1228
181,6260,13379
182,187,405
183,891,1847
184,426,932
185,470,1081
188,1523,3866
189,641,1608
190,529,1239
191,878,2086
192,383,1019
193,318,730
195,4249,10271
196,362,886
197,4608,10633
198,688,1700
199,337,852
