place_id;place_name
650;Chai Chee, Bedok, Singapore
659;Dover, Queenstown, Singapore
660;Geylang East, Geylang, Singapore
662;Hougang, Singapore
665;Marsiling, Woodlands, Singapore
666;Ghim Moh, Queenstown, Singapore
667;Holland Village, Queenstown, Singapore
668;Teck Whye, Singapore
669;Telok Blangah, Singapore
673;Bukit Panjang, Singapore
674;Bukit Timah, Toh Yi, Singapore
675;Hougang, Singapore
679;Kembangan, Singapore
682;Simei, Singapore
685;Ubi, Geylang, Singapore
690;Sengkang, Singapore
692;Punggol, Singapore
693;Bidadari, Singapore
694;Punggol Northshore, Singapore
696;Tampines North, Singapore
