place_id;place_name
150;New Administrative Capital, Egypt
151;New Alamain, Egypt
153;El Galala, Egypt
155;Akhetaten, Egypt
156;Pithom, Egypt
157;Pi-Ramesses, Egypt
158;Heracleion, Egypt
160;Berenice Troglodytica, Egypt
162;al-Askar, Egypt
163;al-Qata'i, Egypt
170;Hautepierre, Strasbourg, France
180;Marne-la-Vallée, France
186;Royal Saltworks, Arc-et-Senans, Franche-Comté, France
187;Le Touquet, Le Touquet-Paris-Plage, France
194;Hellerau, Dresden, Saxony, Germany
