place_id;place_name
250;Yuen Long New Town, Yuen Long Town, Hong Kong
262;Patna, Bihar, India
266;Atal Nagar-Nava Raipur, Chhattisgarh, India
267;Bhilai, Chhattisgarh, India
270;Gandhinagar, Gujarat, India
271;GIFT City, Gujarat, India
272;Dholera SIR, Gujarat, India
273;DREAM City, Gujarat, India
278;Jamshedpur, Jharkhand, India
280;Mysore, Karnataka, India
281;Navanagar, Karnataka, India
284;New Mumbai, Maharashtra, India
286;Lavasa, Maharashtra, India
287;NAINA, Maharashtra, India
291;Puducherry, Puducherry, India
292;Auroville, Puducherry, India
294;Nangal, Punjab, India
295;Naya Nangal, Punjab, India
297;Sri Ganganagar, Rajasthan, India
299;Chennai, Tamil Nadu, India
