place_id;place_name
500;Eniwa New Town Megumino, Japan
503;Musashi Ryoku-en Toshi, Japan
505;Tama Den-en Toshi, Japan
506;Keikyu, Japan
507;Tama New Town, Japan
509;Makuhari Bay Town, Chiba, Japan
510;Yukarigaoka, Japan
511;Kozoji, Japan
513;Senri New Town, Osaka, Japan
514;Senboku New Town, Japan
515;International culture park city Saito, Japan
516;Seifu Shinto, Japan
519;Konza Technopolis, Kenya
520;Qanafar City, Lebanon
524;Bandar Tun Razak, Kuala Lumpur, Malaysia
527;Kuala Kubu Bharu, Selangor, Malaysia
531;Petra Jaya, Kuching, Sarawak, Malaysia
536;SmartCity, Kalkara, Malta
537;Colombia, Nuevo León, Mexico
539;Mexico City, Federal District, Mexico
540;Nuevo Laredo, Tamaulipas, Mexico
543;Altavista de Ramos, Jalisco, Mexico
545;Ciudad Bugambilias, Zapopan, Jalisco, Mexico
548;Hacienda Santa Fe, Tlajomulco de Zúniga, Jalisco, Mexico
