place_id;place_name
0;Darulaman, Kabul, Kabul, Afghanistan
6;Canberra, Australian Capital Territory, Australia
14;Joondalup, Perth, Western Australia, Australia
17;Central Business District, Melbourne, Victoria, Australia
20;Multifunction Polis, South Australia, Australia
21;Palmerston, Northern Territory, Australia
24;Dhanmondi, Dhaka, Bangladesh
26;Kawran Bazar, Dhaka, Bangladesh
27;Mirpur, Dhaka, Bangladesh
29;Purbachal New Town, Bangladesh
30;Uttara, Dhaka, Bangladesh
37;Gaborone, Botswana
