place_id;place_name
850;Radburn, Fair Lawn, New Jersey, United States
854;Sunnyside Gardens, New York, New York, United States
858;Arthurdale, Preston County, West Virginia, United States
879;Sharpstown, Houston, Texas, United States
881;Willingboro, New Jersey, United States
882;Anaheim Hills, Anaheim, California, United States
883;Arcosanti, Arizona, United States
884;Audubon New Community, New York, United States
886;Clear Lake City, Houston, Texas, United States
892;First Colony, Sugar Land, Texas, United States
897;Kingwood, Houston, Texas, United States
899;Las Colinas, Irving, Texas, United States
