place_id;place_name
755;Letchworth Garden City, England
758;Peterborough, England
760;Poundbury, England
762;Runcorn, England
763;Skelmersdale, England
765;Telford, England
768;Welwyn Garden City, England
770;Ballymena, Northern Ireland
771;Craigavon, Northern Ireland
773;Cumbernauld, Scotland
774;East Kilbride, Scotland
775;Fochabers, Scotland
776;Glenrothes, Scotland
777;Inveraray, Scotland
778;Irvine, Scotland
779;Livingston, Scotland
780;Pulteneytown, Scotland
781;Tornagrain, Scotland
782;Ullapool, Scotland
783;Cwmbran, Wales
