place_id,n_nodes,n_edges
600,4531,11748
601,58,89
602,681,1735
603,15771,40987
604,1438,3463
605,103,277
606,921,1977
607,2853,6452
608,6212,15044
611,1056,2127
612,1033,2357
613,7334,16951
614,1396,3241
615,9252,19114
616,664,1736
617,177,434
618,452,1077
619,711,1605
621,303,827
622,899,2360
623,414,1175
624,159,392
626,700,1723
627,4217,10291
628,591,1672
629,744,1816
630,124,327
631,2975,8078
632,13430,27670
633,500,1357
634,2261,4379
635,2916,7857
636,79,171
637,5795,14960
638,11436,23552
639,2646,6586
640,438,822
641,102,219
644,9699,23841
646,977,2362
647,975,2820
648,76,171
649,1640,3446
