place_id,n_nodes,n_edges
651,10,12
652,860,1580
653,3,2
654,316,632
655,676,1410
656,1516,3151
657,714,1507
658,438,872
661,3,2
663,511,914
664,385,801
670,2,2
671,2,2
672,474,865
676,334,556
677,635,1180
678,511,914
680,3,2
681,8,9
683,797,1432
684,316,632
686,637,1148
687,383,697
688,635,1180
689,569,1075
691,2,1
695,10,9
697,13,16
698,255,603
699,303,763
