place_id;place_name
57;Fordlândia, Brazil
86;Batawa, Quinte West, Ontario, Canada
87;Bramalea, Brampton, Ontario, Canada
88;Broughton, Nova Scotia, Canada
91;Don Mills, Toronto, Ontario, Canada
92;Erin Mills, Mississauga, Ontario, Canada
94;Gagnon, Quebec, Canada
