place_id,n_nodes,n_edges
50,7470,21845
51,1424,3445
52,5623,15164
53,3110,8388
54,1181,3063
55,30362,80976
56,3759,9353
58,38444,99942
59,4351,12032
60,1492,3934
61,3595,9008
62,1247,3877
63,13348,34882
64,2769,7032
65,9135,24436
66,2714,7481
67,1243,3857
68,658,2004
69,1616,4082
70,12040,29791
71,2862,8232
72,3495,10249
73,5015,11006
74,3633,9629
75,2672,7298
76,26410,61099
77,7142,18862
78,3891,10822
79,3682,10910
80,25163,71475
81,5304,14204
82,4944,14780
83,5303,13784
84,3890,11648
85,2229,6168
89,717,1811
90,124,352
93,82,233
95,546,1449
96,117,312
97,2543,6966
98,235,632
99,284,804
