place_id,n_nodes,n_edges
452,98,186
455,1119,2976
460,195,428
463,78,164
464,2161,6115
471,2486,6270
472,886,2163
474,3240,8402
476,12995,33063
477,23757,65530
478,3938,10640
479,30696,77695
480,1501,3960
481,30938,79483
482,1022,2445
483,347,808
484,642,1714
486,120046,293318
487,12958,31695
488,25747,69590
489,27541,75557
490,23660,65210
491,1926,4959
492,4867,12376
497,7461,18054
498,24723,60107
