place_id,n_nodes,n_edges
800,4615,11741
801,10449,25474
802,7532,22093
803,24079,60597
804,131,256
805,4853,12853
806,4630,12724
807,9831,26681
808,34049,88624
809,340,908
810,28209,74617
811,156,387
812,56760,143802
813,1843,4893
814,33242,86016
815,50,138
816,3079,8045
817,4044,8802
818,22921,60659
819,5314,15452
820,634,1748
821,82,256
822,64,202
823,164,421
824,240,689
825,38289,100171
826,4473,12114
827,7943,21689
828,9779,28609
829,6166,15103
830,12402,35903
831,5330,14856
832,176,452
833,872,2197
834,143,389
836,1574,3567
837,8,20
838,431,1099
839,1993,5232
840,1286,3305
841,492,1375
842,322,967
843,187,376
844,2315,5825
845,24674,59351
846,914,2552
847,156,433
848,316,779
849,204,540
