place_id;place_name
306;Fatehpur Sikri, Uttar Pradesh, India
307;Greater Noida, Uttar Pradesh, India
308;Noida, Uttar Pradesh, India
309;New Kanpur City, Uttar Pradesh, India
310;New Tehri, Uttarakhand, India
311;Bidhannagar, Kolkata, West Bengal, India
312;Calcutta Riverside, West Bengal, India
315;Bardhaman, West Bengal, India
317;Kharagpur, West Bengal, India
318;Rajarhat Gopalpur, Kolkata, West Bengal, India
320;Ashoknagar Kalyangarh, West Bengal, India
322;Bandung, West Java, Indonesia
323;Palangkaraya, Central Kalimantan, Indonesia
325;Tanjung Selor, North Kalimantan, Indonesia
326;Mamuju, West Sulawesi, Indonesia
327;Sofifi, North Maluku, Indonesia
328;Maja, Banten, Indonesia
329;Dompak, Riau Islands, Indonesia
331;Nusantara, Indonesia
332;Ali Shahr, Iran
333;Alavicheh, Iran
336;Binalood, Iran
342;Ramshar, Iran
346;Shahriar, East Azerbaijan, Iran
347;Golbahar, Iran
348;Shirin Shahr, Iran
349;Ardashir-Khwarrah, Iran
