place_id,n_nodes,n_edges
100,500,1363
101,834,2161
102,424,1064
103,92,267
104,289,786
106,130,320
107,5468,13788
110,952,2339
111,1129,2660
112,1797,4170
114,293,537
117,3079,6756
118,8,14
126,952,2683
128,4,3
129,9632,25661
133,1500,3089
136,22358,45929
138,22,52
