place_id;place_name
704;Sasolburg, Free State, South Africa
705;Welkom, Free State, South Africa
706;Queenstown, Eastern Cape, South Africa
711;Sejong City, South Korea
712;Songdo, South Korea
717;Falköping, Västergötland, Sweden
718;Gothenburg, Västergötland, Sweden
720;Jakriborg, Hjärup, Scania, Sweden
723;Kiruna, Lapland, Sweden
725;Nässjö, Smaland, Sweden
726;Stockholm, Södermanland, Sweden
728;Skarpnäcksfältet, Stockholm, Södermanland, Sweden
729;Vällingby, Stockholm, Sweden
731;Zhongxing New Village, Nantou, Nantou County, Taiwan
732;Danhai New Town, New Taipei City, Taiwan
733;Ciaotou New Town, Kaohsiung City, Taiwan
742;Miletus, Turkey
