city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,2way_int_prop,5way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,6way_int_count,6way_int_prop,7way_int_count,7way_int_prop
cottbus,2916,2.8314332247557004,76.85121491224042,64.02181828601137,28038.699646847625,15722.528638693702,205,27,770,222,4.0,0.021986970684039087,0.003257328990228013,0.004887967875797462,0.8118234804329725,0.7797246558197747,0.0,0.0,0.0,0.0
coventry,1834,2.3676103858002056,180.2014715117574,120.60572301193973,32283.21927597382,17568.566942408488,4509,57,8626,433,7.0,0.004180724658940883,0.0005134223265365997,0.010257038727317702,0.9674449436547101,0.5907031566540204,2.0,0.00014669209329617132,0.0,0.0
coyhaique,1042,3.061679790026247,383.39131454928383,345.6559489440393,73393.97316304654,44598.96622482526,150,3,980,385,6.0,0.001968503937007874,0.003937007874015748,0.008596417069772249,0.7429322813938198,0.7869608165953244,0.0,0.0,0.0,0.0
coyotepec,159,2.348186774117089,453.87493550622474,288.4187490145031,89031.23703645075,45404.21516817994,1538,1,2356,321,3.0,0.00023702299123014932,0.000711068973690448,0.00999631716625967,0.9231863442389758,0.6485588898114103,0.0,0.0,0.0,0.0
craiova,3386,2.7661082474226806,102.3472436888202,84.0473982483256,29968.681018031955,17099.473112828415,555,13,2149,378,8.0,0.004188144329896907,0.002577319587628866,0.005985403352108958,0.874797800064704,0.673789865630565,1.0,0.00032216494845360824,0.0,0.0
crato,1395,3.0740242261103634,609.6006384787286,542.0495583063437,142577.9959970935,76938.27555258945,247,1,1322,658,1.0,0.00044863167339614175,0.00044863167339614175,0.007923242808607655,0.7042190305206463,0.8984497865648169,0.0,0.0,0.0,0.0
crawley,1945,2.2770051438369214,178.61180957745938,112.93819698753813,28287.444509881167,15547.582341760406,1930,24,3209,84,1.0,0.004572299485616308,0.00019051247856734617,0.01148807612986314,0.9835406698564594,0.5492580181905218,1.0,0.00019051247856734617,0.0,0.0
creil,2061,2.793388429752066,112.002022237686,94.68717388008554,26945.59444844253,16569.486442840935,318,23,1497,207,9.0,0.01118133203694701,0.004375303840544483,0.0067595349212574984,0.8923303834808259,0.5904504061038641,3.0,0.0014584346135148275,0.0,0.0
cremona,2695,2.887128712871287,179.57607596074587,160.96654201629892,33726.778686870115,21938.116024617913,157,14,1195,143,4.0,0.009240924092409241,0.0026402640264026403,0.008185574174155798,0.9007328447701533,0.5608942275608942,2.0,0.0013201320132013201,0.0,0.0
crewe,1781,2.2811768639251087,234.7310472631257,147.2268287079986,38779.28879929926,20117.816287134043,1115,9,1779,87,1.0,0.003009027081243731,0.00033433634236041456,0.011667819405093352,0.9704896042924211,0.5925490854170162,0.0,0.0,0.0,0.0
criciuma,1264,2.971014492753623,208.08789236610446,177.69523200922566,58955.38858178276,31152.415101334893,776,5,3147,1368,16.0,0.0009410878976096367,0.0030114812723508375,0.00667967127714563,0.7390730972117558,0.8747526152106305,1.0,0.00018821757952192734,0.0,0.0
cruzeiro,1342,2.9511059371362047,167.71745950651544,142.04243514667053,46454.31154745094,24241.350524324487,263,6,1003,444,2.0,0.0034924330616996507,0.0011641443538998836,0.006918651637755197,0.7394859813084113,0.8947060544018719,0.0,0.0,0.0,0.0
cruzeiro do sul,682,3.082164328657315,164.026530358175,140.8524413997555,48160.89854495021,26015.540266443073,141,0,493,364,0.0,0.0,0.0,0.006304944224808183,0.6352705410821643,0.8422903063787042,0.0,0.0,0.0,0.0
cua,860,2.5877494838265656,231.5597464605149,170.20358514785266,69763.84916643173,35418.68812352733,385,2,894,171,1.0,0.0013764624913971094,0.0006882312456985547,0.006537784393733608,0.881461061337009,0.7487055574732482,0.0,0.0,0.0,0.0
cuamba,4699,2.9144893111638956,414.7345897711859,337.89540211761704,159532.0200868271,83328.25803603059,78,0,224,118,1.0,0.0,0.0023752969121140144,0.004977118201509234,0.7173396674584323,0.8136200716845878,0.0,0.0,0.0,0.0
cuauhtemoc,97,3.366844919786096,222.68764866740335,210.54104964918133,62634.395478442195,32842.31327985591,204,0,1761,1771,3.0,0.0,0.0008021390374331551,0.006780510458256622,0.5254010695187166,1.0936454849498327,1.0,0.00026737967914438503,0.0,0.0
cuautla,156,2.675240765573571,334.45000837946884,250.94962837689025,71717.31818338686,38538.64857555578,2048,8,4741,1377,25.0,0.0009752529562355236,0.0030476654882360113,0.008678301412769391,0.8284319707138499,0.748184314922185,3.0,0.00036571985858832134,1.0,0.00012190661952944045
cubal,3133,3.09823677581864,131.9869948551271,122.34562747276264,75829.88806211182,38772.92981310396,29,0,271,97,0.0,0.0,0.0,0.0034041016629731157,0.7556675062972292,0.9569074778200254,0.0,0.0,0.0,0.0
cubatao,1319,3.059720457433291,98.211174373262,88.85178672650895,27564.889504413328,17587.029403832254,75,0,515,197,0.0,0.0,0.0,0.005584295796529548,0.7496823379923762,0.8119821542383684,0.0,0.0,0.0,0.0
cucuta,689,3.084810428423814,301.883159046051,263.77883851786333,64657.16864601056,35771.53143403604,1588,11,6799,4112,71.0,0.0008743343136475638,0.005643430569907002,0.008439201424818339,0.6672235481304694,0.9066640143226576,0.0,0.0,0.0,0.0
