city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,6way_int_count,2way_int_prop,5way_int_prop,6way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,7way_int_count,7way_int_prop,8way_int_count,8way_int_prop
winnipeg,625,3.191534902989712,70.49929545856607,65.79220309452317,26835.819946173604,15405.547307330768,967,27,8820,4607,58.0,4.0,0.0018642546433749914,0.004004695159842574,0.0002761858730925913,0.004576227903634349,0.6770199225235196,0.8340886290517867,0.0,0.0,0.0,0.0
winston salem,733,2.8989631058596577,82.27263953886592,68.34560964827419,30870.14467064232,17922.407516251184,702,19,2468,921,30.0,5.0,0.004581625271280444,0.007234145165179648,0.0012056908608632747,0.0045904903938974164,0.7679263565891473,0.7609986668282632,2.0,0.0004822763443453099,0.0,0.0
winterthur,2494,2.7627666451195863,98.75570400960181,80.49834696580989,34585.06235851684,18578.99932863512,286,16,1029,211,5.0,0.0,0.010342598577892695,0.003232062055591467,0.0,0.005315447956198228,0.8589157413455258,0.7899901864573111,0.0,0.0,0.0,0.0
wishaw,1722,2.3966959431200334,171.15669597250326,117.07518873401467,34671.175932326165,18203.83447747053,1511,13,3110,146,2.0,0.0,0.0027185278126306985,0.0004182350480970305,0.0,0.009402233149523008,0.9689662403019501,0.6142872128396097,0.0,0.0,0.0,0.0
woden,13035,2.80080556572684,119.31657575914846,101.36010829777534,29512.67666693497,17270.087434461635,411,26,2033,236,7.0,18.0,0.009520322226290736,0.002563163676309044,0.006590992310508971,0.006908857654134277,0.9035120147874307,0.5938945420906568,0.0,0.0,0.0,0.0
wokha,10075,2.1838565022421523,132.95595570929572,78.10417129111093,65319.91478639845,32659.957393199278,92,0,129,2,0.0,0.0,0.0,0.0,0.0,0.004070916385732361,0.9910313901345291,0.5759637188208617,0.0,0.0,0.0,0.0
wolfsburg,2670,2.7237163814180927,80.79074745101023,65.13630555494039,21589.117609586458,13048.866561810253,317,30,1093,185,8.0,2.0,0.018337408312958436,0.004889975550122249,0.0012224938875305623,0.006191399618374381,0.8779576587795765,0.6145930776426567,0.0,0.0,1.0,0.0006112469437652812
wollongong,13039,2.689018218623482,59.7184732489999,48.1585967218023,20445.674831743272,11387.86739289777,765,33,2825,324,5.0,0.0,0.008350202429149798,0.0012651821862348178,0.0,0.005244043611382787,0.9160500127583567,0.6796884973828674,0.0,0.0,0.0,0.0
wonju si,12515,3.024457775726811,133.52963543154283,118.86417477962442,44179.614069727606,26997.3805023787,238,9,1393,519,5.0,3.0,0.004153207198892478,0.0023073373327180432,0.0013844023996308261,0.004946021908302464,0.7557924003707136,0.7244258872651357,0.0,0.0,0.0,0.0
wonokarto,12452,2.8733936220847216,356.1705732301955,295.735157068099,81611.35374438424,41263.143517690565,713,0,2596,892,1.0,0.0,0.0,0.00023798191337458352,0.0,0.008631687817906943,0.7874821513564969,0.8859388022383617,0.0,0.0,0.0,0.0
