city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,6way_int_count,2way_int_prop,5way_int_prop,6way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,7way_int_count,8way_int_count,9way_int_count,7way_int_prop,8way_int_prop,9way_int_prop
funchal,1483,2.6113374066530888,330.435557466745,256.74371725776626,88351.92003625819,51051.948836044605,657,48,2030,206,4.0,1.0,0.016293279022403257,0.0013577732518669382,0.00033944331296673454,0.006472535623036686,0.9271911663216011,0.5883267138663443,0.0,0.0,0.0,0.0,0.0,0.0
fundacion,649,3.2785665990534145,431.4202063517621,382.1233741181936,95482.26077213945,48398.39279895594,169,0,576,718,16.0,0.0,0.0,0.010818120351588911,0.0,0.00891393662892601,0.5037187288708587,1.1100575685743312,0.0,0.0,0.0,0.0,0.0,0.0
fungurume,3679,2.493150684931507,313.1269683944104,209.3232336664004,75172.42962118037,37631.17126443045,363,0,563,167,2.0,0.0,0.0,0.0018264840182648401,0.0,0.00832094664803545,0.845662100456621,0.7295194508009153,0.0,0.0,0.0,0.0,0.0,0.0
funing,10950,2.92,215.65620496257716,179.4259625288642,66872.26412708923,37632.47185812282,84,0,297,110,9.0,0.0,0.0,0.018,0.0,0.005730588354004937,0.762,0.821105527638191,0.0,0.0,0.0,0.0,0.0,0.0
funing,12013,3.1916010498687664,13.621676603070574,12.08432202582114,12580.153878615047,7511.440206639409,43,5,174,155,3.0,1.0,0.013123359580052493,0.007874015748031496,0.0026246719160104987,0.0018134573701365938,0.5771276595744681,0.7938420348058902,0.0,0.0,0.0,0.0,0.0,0.0
funtua,2561,3.215661103979461,157.8288531082785,149.82597801485488,53478.59041098595,26870.20046204487,79,0,988,488,3.0,0.0,0.0,0.0019255455712451862,0.0,0.0058737504891791725,0.6848523748395379,1.0893603342976534,0.0,0.0,0.0,0.0,0.0,0.0
fuping,10489,3.338235294117647,22.697360538407104,20.583390684339776,18699.526115102974,13788.193692487263,19,4,72,107,2.0,0.0,0.0196078431372549,0.00980392156862745,0.0,0.001646144596211624,0.455,0.6227848101265823,0.0,0.0,0.0,0.0,0.0,0.0
fuqing,12608,2.8706381337960285,160.2946550760366,133.65613711275464,39140.425784001025,26148.41425865157,862,14,3250,1055,6.0,0.0,0.002699055330634278,0.001156737998843262,0.0,0.0061301864614218765,0.7948965783877827,0.6249879121941785,0.0,0.0,0.0,0.0,0.0,0.0
fuquan,10981,3.168539325842697,40.30818964698966,36.68498158883329,36642.984531330156,21477.558976630844,8,0,52,27,2.0,0.0,0.0,0.02247191011235955,0.0,0.0018767584198394205,0.6741573033707865,0.791907514450867,0.0,0.0,0.0,0.0,0.0,0.0
fusagasuga,615,2.7441454037049984,1054.1041517704155,824.5666171486158,171264.7917049677,90344.23348945822,623,2,1735,487,13.0,1.0,0.0006990562740300594,0.004543865781195386,0.0003495281370150297,0.011667641763692789,0.8247639034627492,0.8002800630141782,0.0,0.0,0.0,0.0,0.0,0.0
fushun,10468,3.1806930693069306,44.0702177811463,38.83415230219822,28527.144487145128,17933.409835549515,48,1,187,166,2.0,0.0,0.0024752475247524753,0.0049504950495049506,0.0,0.0024574366049330797,0.5831265508684863,0.6878901373283396,0.0,0.0,0.0,0.0,0.0,0.0
fushun,11398,3.037290715372907,10.74726701590071,9.536768143485714,9355.939969593484,6376.7951972204455,148,4,832,315,11.0,4.0,0.0030441400304414,0.00837138508371385,0.0030441400304414,0.00168537120661885,0.7480916030534351,0.6760994263862332,0.0,0.0,0.0,0.0,0.0,0.0
fusui,11345,2.643939393939394,40.85859108565265,28.631967238052045,23159.682654446813,12406.35939687987,79,0,122,62,1.0,0.0,0.0,0.003787878787878788,0.0,0.0032933586541051157,0.7613636363636364,0.7667304015296367,0.0,0.0,0.0,0.0,0.0,0.0
fuwah,3807,2.856513222331048,585.3697735460223,506.9669170010482,113821.94253554508,57690.65177133027,547,1,3029,505,2.0,0.0,0.0002448579823702253,0.0004897159647404506,0.0,0.010146700645128185,0.8758265980896399,0.8949883592696973,0.0,0.0,0.0,0.0,0.0,0.0
fuxin,11106,3.188385269121813,10.750813541708641,9.700096637490658,10832.556225617223,6272.748655546518,69,0,377,252,5.0,3.0,0.0,0.007082152974504249,0.00424929178470255,0.0017138919685874084,0.6317280453257791,0.8621179815209666,0.0,0.0,0.0,0.0,0.0,0.0
fuyang,11535,3.037864077669903,42.14799876152725,35.150612559370785,22619.320052317267,15788.97125923892,342,23,960,693,37.0,4.0,0.01116504854368932,0.017961165048543688,0.001941747572815534,0.0026694581977191414,0.6391752577319587,0.5826984517080364,0.0,0.0,1.0,0.0,0.0,0.0004854368932038835
fuyang,12396,3.0654627539503387,42.604341446351825,35.968450792179645,21264.265073174352,15129.93462174203,207,4,619,494,4.0,1.0,0.0030097817908201654,0.0030097817908201654,0.0007524454477050414,0.0028158972600667094,0.6233962264150943,0.5610586011342155,0.0,0.0,0.0,0.0,0.0,0.0
