city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,2way_int_prop,5way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,6way_int_count,7way_int_count,6way_int_prop,7way_int_prop
tesistan,91,2.868834080717489,373.55593091041,316.60121498684975,83308.59687121886,45309.210913927556,272,2,1205,298,7.0,0.0011210762331838565,0.003923766816143498,0.008244591405929405,0.8288439955106621,0.7988198932284349,0.0,0.0,0.0,0.0
tessaoua,2668,3.138888888888889,80.58231262542564,70.73336330454029,32174.59196174026,16097.682817127776,44,0,182,130,4.0,0.0,0.011111111111111112,0.0050058330469579665,0.6277777777777778,1.0713286713286714,0.0,0.0,0.0,0.0
tete,4457,2.947674418604651,241.239914333961,214.59131914590716,78276.20925391094,39496.01158100186,209,0,1365,317,1.0,0.0,0.0005285412262156448,0.00610795633982447,0.8319238900634249,0.9163799947075946,0.0,0.0,0.0,0.0
tetouan,1652,2.868006235925862,361.90358957439463,318.8989364567721,66351.92173563175,35889.02384850822,686,5,4469,611,2.0,0.0008661008141347653,0.00034644032565390613,0.010083963027304172,0.8937239944521498,0.8323649293209608,0.0,0.0,0.0,0.0
tetovo,3324,2.3990683229813663,220.9654765308599,147.31031768723994,44273.8587597008,23601.271309889802,644,10,1143,133,2.0,0.005175983436853002,0.0010351966873706005,0.009362439574950662,0.9297606659729448,0.6220369887991665,0.0,0.0,0.0,0.0
texmelucan,176,2.628250892401836,254.75809387446867,189.21731959620786,59352.5915063795,32105.060134685118,1009,8,2354,536,14.0,0.002039775624681285,0.0035696073431922487,0.007935138349086518,0.8592233009708737,0.7511184967403809,0.0,1.0,0.0,0.00025497195308516065
teziutlan,211,2.661581920903955,320.4013347211398,246.00305869267174,92909.89052477914,48864.835484171475,411,3,1132,222,2.0,0.001694915254237288,0.0011299435028248588,0.006556889664039198,0.8732314657611772,0.7305185604987249,0.0,0.0,0.0,0.0
tezpur,9989,2.585603112840467,17.323315942154785,13.110447279179398,13637.239442016176,6857.399935367129,125,0,352,37,0.0,0.0,0.0,0.0025262221987096827,0.9280155642023347,0.7771260997067448,0.0,0.0,0.0,0.0
thai binh,11081,2.3666666666666667,10.425179283173309,6.602613546009763,31841.76617202254,15920.883086011272,11,0,16,3,0.0,0.0,0.0,0.0006548116223737168,0.9,0.6727272727272727,0.0,0.0,0.0,0.0
thai binh,11265,2.5804051915163027,199.40027850853596,148.05107731616684,54723.21820955308,28732.21185203003,1627,9,4077,598,7.0,0.0014245014245014246,0.0011079455523899967,0.006939955738021181,0.9041052464732922,0.7386823119004202,0.0,0.0,0.0,0.0
thai nguyen,11115,2.614262560777958,75.9671464552739,55.52865972662647,32769.24468547062,18023.582561969222,332,2,715,180,5.0,0.0016207455429497568,0.004051863857374392,0.004214874939212634,0.8498376623376623,0.7340382269215128,0.0,0.0,0.0,0.0
thakhek,11208,2.7130541871921183,167.34247727653212,133.13206936039379,59534.8175594163,31328.99674073704,166,0,547,99,0.0,0.0,0.0,0.005341456627589258,0.8780788177339901,0.7603458925262507,0.0,0.0,0.0,0.0
thakurdwara,7275,2.916,46.280712762254794,41.745202911553825,30041.691653627695,15020.845826813886,49,0,397,52,2.0,0.0,0.004,0.0030810989804341484,0.892,0.9417085427135679,0.0,0.0,0.0,0.0
thakurgaon,9523,2.8287292817679557,44.6816867295336,38.01646274225511,43224.40092265428,21617.090884282694,27,0,131,23,0.0,0.0,0.0,0.0020669611359232735,0.8729281767955801,0.8879551820728291,0.0,0.0,0.0,0.0
thalassery,7669,2.548460144927536,148.89479266015493,110.69329807592587,81932.92072837478,41130.78255901249,1133,5,3006,267,5.0,0.0011322463768115942,0.0011322463768115942,0.00362003306031262,0.9383359782362276,0.7340365203583985,0.0,0.0,0.0,0.0
than,6554,2.450980392156863,34.5368886503214,21.67020464333892,32821.57682983897,16410.788414919483,19,0,22,10,0.0,0.0,0.0,0.002104523425512147,0.803921568627451,0.7010309278350515,0.0,0.0,0.0,0.0
thana bhawan,6979,2.2222222222222223,11.645615898358342,6.901105717545684,19273.842817621786,9636.9214088109,11,0,15,1,0.0,0.0,0.0,0.001208437363379442,0.9629629629629629,0.6938775510204082,0.0,0.0,0.0,0.0
thanh hoa,11215,2.7985222562623897,176.12630983517002,144.76700291191392,52012.592517926816,28140.881384363813,988,12,3694,841,13.0,0.002162551811137142,0.002342764462065237,0.0062587346653979635,0.845584251399675,0.8184117806486584,1.0,0.0,0.00018021265092809516,0.0
thanjavur,8565,2.8598978078127577,977.8926702437943,827.993183952921,231123.80498114592,119867.07537427726,930,0,4127,1010,0.0,0.0,0.0,0.008158142402243378,0.8335256304598648,0.8736087064061341,0.0,0.0,0.0,0.0
thaton,10317,2.7547169811320753,212.09490932914957,164.96270725600522,79606.76329142209,39858.40804698796,106,0,276,95,0.0,0.0,0.0,0.005321208741681726,0.80083857442348,0.845100105374078,0.0,0.0,0.0,0.0
