city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,2way_int_prop,5way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,max_info_centrality,avg_info_centrality,max_betweenness_centrality,avg_betweenness_centrality,global_efficiency,avg_closeness_centrality,6way_int_count,6way_int_prop
ain sefra,1901,3.167824074074074,264.52134347795925,248.6010774353043,62305.780966802406,34383.46240314987,52,2,564,241.0,5.0,0.0023148148148148147,0.005787037037037037,0.0076932724336024536,0.7146171693735499,0.9360093077370564,0.00044606877920946316,5.198936820623114e-07,0.21016792308154666,0.00024324991097401233,0.07859600145471916,8.66039985457681e-05,0.0,0.0
ain taoujdate,1661,3.131782945736434,713.9818213875498,695.0055603539936,115931.40112058423,60448.205865126416,24,0,712,167.0,0.0,0.0,0.0,0.011811464230726786,0.8150609080841639,0.9805663520266519,0.0004443043819038766,4.92031430679819e-07,0.1740108942275631,0.0001927030943826834,0.07449365162781779,7.121213233677402e-05,0.0,0.0
ain temouchent,1852,3.1815384615384614,265.8101870041943,258.4492895179243,50880.110243757896,29878.303422117096,54,2,1430,464.0,0.0,0.0010256410256410256,0.0,0.008896428396514345,0.7618069815195072,0.8758673862760216,0.00019768549430335542,1.0169006908608819e-07,0.21319787868143886,0.00010933224547766095,0.05661009379663045,2.7115629316990643e-05,0.0,0.0
ain touta,2322,3.1298342541436464,360.9106348431216,331.3332439581881,77129.35701895972,42518.53659975427,89,1,680,312.0,4.0,0.0009208103130755065,0.003683241252302026,0.008488312715005518,0.7087557603686636,0.9376443418013857,0.0003920472553033337,3.6166720968942227e-07,0.16154282241679685,0.00014875029688471165,0.07332480911148546,5.942750994438605e-05,0.0,0.0
ain turk,1878,2.982142857142857,202.55596782909157,181.93866396077334,49467.311120997074,27054.87234973354,114,0,809,189.0,5.0,0.0,0.004464285714285714,0.007486857273273607,0.8241071428571428,0.9395973154362416,0.00024138901979349614,2.1629840483288184e-07,0.29079908824025247,0.00025964204307165397,0.06673239614476303,5.447227576171653e-05,3.0,0.0026785714285714286
aitkenvale,13072,2.755975415433644,115.45219570470488,95.34727202746853,30388.156084686885,17420.18441569866,765,22,3134,466.0,4.0,0.005007967220578192,0.0009105394946505805,0.006627495607949023,0.8920155570807595,0.6240128190454389,4.257206368183185e-05,1.0496070927473336e-08,0.1299851335531064,2.9589149454383427e-05,0.0302208096257293,6.663829224221241e-06,2.0,0.00045526974732529026
aix en provence,2234,2.6600763093999307,146.2503713294645,116.32053467168302,27989.93561374925,17347.81073310906,590,47,2009,228.0,8.0,0.016302462712452306,0.002774887270204648,0.008430479994247298,0.9164315937940761,0.4921475207340745,7.470412845318581e-05,2.6184412356532007e-08,0.16180679441216533,5.6124451755867266e-05,0.042997465349724616,1.41778114037896e-05,1.0,0.000346860908775581
aiyete,2136,2.5255474452554743,129.63913858141342,94.1539729113185,56688.11424300094,28344.057121500395,75,1,178,19.0,1.0,0.0036496350364963502,0.0036496350364963502,0.004573767898706202,0.9267399267399268,0.7301293900184843,0.0005195849286599638,1.8962953600728608e-06,0.5083143118433194,0.0018551617220559104,0.09816451965768284,0.00030422911907282554,0.0,0.0
aiyetoro,2126,2.8996539792387543,69.88618852892978,64.5661326547552,37386.873537661646,20318.133468659435,22,0,252,15.0,0.0,0.0,0.0,0.0034395968821018274,0.9480968858131488,0.8045375218150087,0.0010843126676218062,3.7519469467882568e-06,0.35431392037037185,0.0012259997244649546,0.11384843662003868,0.00037838749130969816,0.0,0.0
aiyetoro,2397,2.5757575757575757,16.737216082340044,12.172520787156396,21254.375147908013,10653.677768722875,9,0,20,4.0,0.0,0.0,0.0,0.0015710270617980632,0.8787878787878788,0.819672131147541,0.017910537411879687,0.0005427435579357481,0.36300403225806444,0.011000122189638317,0.32260025853775826,0.009696969696969697,0.0,0.0
aizawl,10063,2.145714285714286,98.98490345206665,51.61355680000618,53105.96562301861,26756.90790372257,335,2,293,67.0,2.0,0.002857142857142857,0.002857142857142857,0.0036994148878576254,0.8997134670487106,0.5492451473759885,0.0003285095000876049,7.896862982875118e-07,0.1498331957504086,0.0002140474225005837,0.03199617085704108,7.067920158048914e-05,1.0,0.0014285714285714286
