city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,2way_int_prop,5way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,6way_int_count,6way_int_prop,7way_int_count,8way_int_count,7way_int_prop,8way_int_prop
nyala,3596,3.4156568570879013,562.6397620189441,554.9560876386123,131256.69567326957,65846.19989088293,142,0,5652,4602,2.0,0.0,0.00019234468166955183,0.008544756765786378,0.5572225427966917,1.1797893319224664,0.0,0.0,0.0,0.0,0.0,0.0
nyanza lac,4118,2.8633333333333333,381.9408089280349,318.92057545490917,99252.78413635741,49697.01133232956,99,0,386,114,1.0,0.0,0.0016666666666666668,0.007685387887290714,0.8083333333333333,0.9054393305439331,0.0,0.0,0.0,0.0,0.0,0.0
nyaunglebin,10266,2.6620689655172414,130.61532491034214,96.38510183039041,70025.05560916744,35012.52780458372,38,0,80,27,0.0,0.0,0.0,0.0037305311298672485,0.8137931034482758,0.8,0.0,0.0,0.0,0.0,0.0,0.0
nyaung shwe,10226,3.051792828685259,117.52461092569663,99.73204034730432,50689.88923461622,25770.714276091454,38,0,124,89,0.0,0.0,0.0,0.0045603940064140565,0.6454183266932271,1.0221327967806841,0.0,0.0,0.0,0.0,0.0,0.0
nyeri,4854,2.6781883194278904,442.65058894916666,356.12532483991356,173051.09432587455,87840.46078594745,164,0,617,58,0.0,0.0,0.0,0.005039256226442531,0.930870083432658,0.7423789599521817,0.0,0.0,0.0,0.0,0.0,0.0
nyiregyhaza,3297,2.856685860524632,74.42033182914847,63.65961846165803,25994.793599865858,14195.77514283037,226,8,1095,232,2.0,0.005118362124120281,0.0012795905310300703,0.005242428192921521,0.8495176848874598,0.7471819645732689,0.0,0.0,0.0,0.0,0.0,0.0
nyunzu,3831,3.1639344262295084,115.7139595641767,101.67652840393231,56489.11102864905,28244.555514324536,37,0,144,124,0.0,0.0,0.0,0.004096858932883227,0.5934426229508196,1.0677685950413223,0.0,0.0,0.0,0.0,0.0,0.0
nzega,4496,3.0337837837837838,140.8976953530692,131.37758080218615,59519.58243003036,29935.015349401474,20,0,226,50,0.0,0.0,0.0,0.004706785472080486,0.831081081081081,0.9028960817717206,0.0,0.0,0.0,0.0,0.0,0.0
nzerekore,1545,2.536328341652801,82.65595402480456,58.22133200859778,26547.84713807216,13349.750573408415,533,0,1040,230,0.0,0.0,0.0,0.00619157291144063,0.8724348308374931,0.7478478200499861,0.0,0.0,0.0,0.0,0.0,0.0
n dalatando,3188,2.780821917808219,150.91154032799977,127.3763369891758,45565.91944030023,23126.855157207145,148,1,711,89,0.0,0.001053740779768177,0.0,0.006525380960885657,0.9061181434599156,0.8381808566895822,0.0,0.0,0.0,0.0,0.0,0.0
n djamena,3186,3.2914090251282726,182.16577245693404,176.7734163455263,60169.66674011369,31435.18453323813,450,1,9429,5314,7.0,6.578081831337982e-05,0.0004604657281936587,0.005794964310272149,0.6498914545095718,1.0503339145310393,1.0,6.578081831337982e-05,0.0,0.0,0.0,0.0
oaxaca,202,2.7785489295819765,315.8063245656941,255.43034633336532,66761.69421777796,35651.336763654464,3581,9,12175,2912,51.0,0.0004804868933852971,0.0027227590625166836,0.008858190273741707,0.8415767546202328,0.8039210448997035,3.0,0.00016016229779509903,0.0,0.0,0.0,0.0
obera,1120,3.3306370070778564,332.63193069265446,316.65618073522165,96345.0792064769,53551.838045614466,95,3,1049,816,14.0,0.0015166835187057635,0.007077856420626896,0.006211400818947143,0.579240506329114,0.9602027883396704,1.0,0.0005055611729019212,0.0,0.0,0.0,0.0
obihiro,12800,3.2832384566729917,199.23376492281292,194.49550460586303,49681.71461867019,26626.035407314423,188,7,5109,2582,17.0,0.0008855154965211891,0.002150537634408602,0.007482667316970573,0.6706761205368448,1.0359698562472295,2.0,0.0002530044275774826,0.0,0.0,0.0,0.0
obinomba,2416,2.5271629778672033,106.52229484498356,77.80199804573246,40072.88315237236,20036.441576186226,134,0,330,33,0.0,0.0,0.0,0.005316427791828454,0.9336016096579477,0.7462082912032356,0.0,0.0,0.0,0.0,0.0,0.0
obninsk,3656,2.730841121495327,27.0315667904249,21.776832311538563,13234.355631253027,7388.619043422039,104,2,363,66,0.0,0.003738317757009346,0.0,0.003658541147075466,0.8761726078799249,0.6371347785108389,0.0,0.0,0.0,0.0,0.0,0.0
oboama nguru,2557,2.883058176100629,435.1138956498672,381.9219060480163,231317.28948590957,115746.31660118658,622,0,3848,592,23.0,0.0,0.004520440251572327,0.0037592029571799487,0.8785377358490566,0.911709763051814,2.0,0.00039308176100628933,0.0,1.0,0.0,0.00019654088050314466
obra,8576,2.74468085106383,139.61793587702329,112.3874873903698,101835.23410085139,50917.6170504257,55,0,189,38,0.0,0.0,0.0,0.002742035938931592,0.8652482269503546,0.8747763864042933,0.0,0.0,0.0,0.0,0.0,0.0
obuasi,1791,2.6802168021680215,135.53904933903533,109.64337731084566,42872.313230881526,21500.636104161997,423,0,1653,138,0.0,0.0,0.0,0.0063039553193869596,0.9376693766937669,0.8039791996382546,0.0,0.0,0.0,0.0,0.0,0.0
obudu,2805,2.551656920077973,268.2350065416693,193.46384487410847,99921.09025976283,49998.67214782883,143,0,314,56,0.0,0.0,0.0,0.0053648426051914125,0.8908382066276803,0.7610186092066601,0.0,0.0,0.0,0.0,0.0,0.0
