city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,2way_int_prop,5way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,6way_int_count,7way_int_count,8way_int_count,6way_int_prop,7way_int_prop,8way_int_prop
lishui,12495,3.2201166180758016,40.83621429519397,36.90736568953391,24402.163338583687,16425.336056066808,66,4,336,273,7.0,0.0058309037900874635,0.01020408163265306,0.00248617222538414,0.5894428152492669,0.7262693156732892,0.0,0.0,0.0,0.0,0.0,0.0
litang,11495,2.8005698005698005,45.501188896461144,35.51944660293548,19595.444396488332,10433.693158064592,77,0,191,82,1.0,0.0,0.002849002849002849,0.004360985914301263,0.7635327635327636,0.7819225251076041,0.0,0.0,0.0,0.0,0.0,0.0
littlehampton,1919,2.355093966369931,152.54067624168115,101.61834366841964,29242.806793208318,15209.099206159828,675,17,1267,63,0.0,0.008407517309594461,0.0,0.010029566785908054,0.9685785536159601,0.6202247191011236,0.0,0.0,0.0,0.0,0.0,0.0
little rock,407,3.015241320914479,98.34851082048846,85.29803103700281,34744.98224231763,19078.305860852168,1097,27,4831,2277,35.0,0.0032659973388169832,0.004233700254022015,0.005154991828823502,0.7194174757281553,0.8876479514415782,0.0,0.0,0.0,0.0,0.0,0.0
liucun,10608,2.392156862745098,5.5234410205865805,3.3573857183957645,10359.640022096368,8118.009750778931,20,0,22,9,0.0,0.0,0.0,0.0006803934942375008,0.8235294117647058,0.21649484536082475,0.0,0.0,0.0,0.0,0.0,0.0
liuhe,11605,3.3297872340425534,23.175641887183044,21.696345596511787,21285.333970321568,12671.920148342688,12,1,89,85,1.0,0.005319148936170213,0.005319148936170213,0.0018288974059084565,0.5401069518716578,0.9159891598915989,0.0,0.0,0.0,0.0,0.0,0.0
liulin,10420,2.5318352059925093,34.22373651433223,24.994863746422414,31984.55523872401,18021.07155103927,72,0,176,19,0.0,0.0,0.0,0.0018990955347690497,0.9288389513108615,0.725897920604915,0.0,0.0,0.0,0.0,0.0,0.0
liupanshui,10632,3.070140280561122,32.733229143805644,27.616612163411173,23714.432619813026,16825.276711317998,78,4,234,176,5.0,0.008016032064128256,0.01002004008016032,0.001945479394213274,0.6303030303030303,0.6203045685279188,0.0,1.0,1.0,0.0,0.002004008016032064,0.002004008016032064
liuyang,11750,2.9350282485875705,31.638736195706965,25.82936373039354,20058.63565759415,13368.350329131725,65,1,183,103,1.0,0.002824858757062147,0.002824858757062147,0.0023666896375958385,0.7025495750708215,0.6476462196861626,1.0,0.0,0.0,0.002824858757062147,0.0,0.0
liuzhi,10725,2.9150943396226414,21.26516586059532,17.854714732009278,25911.766497256613,17945.05276765099,17,2,60,27,0.0,0.018867924528301886,0.0,0.0011850155101761194,0.7403846153846154,0.6600985221674877,0.0,0.0,0.0,0.0,0.0,0.0
liuzhou,11438,2.9856392294220666,26.912348910025525,22.953264306799355,15210.781666538043,10761.473244044233,420,12,1641,760,16.0,0.004203152364273205,0.005604203152364273,0.002500805261484039,0.7249384453042561,0.6150325646893152,5.0,1.0,0.0,0.0017513134851138354,0.0003502626970227671,0.0
livermore,22,2.7687560896394934,82.73318301823447,66.55735444500384,26360.23925512359,15154.364739778759,602,29,1944,487,17.0,0.009418642416368951,0.005521273140630075,0.00545936332131876,0.8347540983606557,0.7406070549630845,0.0,0.0,0.0,0.0,0.0,0.0
livingston,1739,2.207835509863851,474.70165919295135,286.21911654590286,61677.67820092412,33185.63418377485,1429,8,2147,15,0.0,0.0022228396776882466,0.0,0.014304432350581472,0.9958228905597326,0.5081510380381775,0.0,0.0,0.0,0.0,0.0,0.0
livingstone,3622,2.99009900990099,269.1253507794628,246.9202888339626,91780.22618814335,46046.54407578182,175,0,1617,329,0.0,0.0,0.0,0.005844637337745599,0.8448844884488449,0.9641255605381166,0.0,0.0,0.0,0.0,0.0,0.0
livny,3802,2.6688851913477536,56.955661568643464,43.97242423935202,26294.647778756535,13344.486620699709,137,0,389,75,0.0,0.0,0.0,0.004268104363062941,0.8752079866888519,0.7602339181286549,0.0,0.0,0.0,0.0,0.0,0.0
livorno,2738,2.9008264462809916,95.8898323112605,85.50837112714883,20915.732484242348,13909.925445749377,262,61,1772,308,14.0,0.025206611570247933,0.005785123966942148,0.006893626618290949,0.8622297583721916,0.5565457245915553,3.0,0.0,0.0,0.0012396694214876034,0.0,0.0
lixian,11309,3.0384615384615383,14.582200608321031,12.178541167388994,17170.67778421526,10647.179873001849,60,2,167,134,1.0,0.005494505494505495,0.0027472527472527475,0.0013695833809755811,0.6270718232044199,0.7830319888734353,0.0,0.0,0.0,0.0,0.0,0.0
lixin,11574,3.340659340659341,24.21022359483162,22.347898702921498,31278.934545547287,15639.467272773647,21,0,117,135,0.0,0.0,0.0,0.0015480209889871754,0.5054945054945055,1.1238447319778189,0.0,0.0,0.0,0.0,0.0,0.0
liyang,12234,3.211608222490931,26.129317003905378,23.949240978186552,18383.029637448584,11247.650536624715,69,5,443,303,6.0,0.006045949214026602,0.007255139056831923,0.002323091113012698,0.6228710462287105,0.7620500305064063,1.0,0.0,0.0,0.0012091898428053204,0.0,0.0
ljubljana,2965,2.565098468271335,119.55842949393484,87.24887579043165,32854.230906802855,19155.265123350222,1482,52,3327,615,8.0,0.009482129832239242,0.0014587892049598833,0.0062415439684096775,0.8853092783505154,0.6392853853946036,0.0,0.0,0.0,0.0,0.0,0.0
