city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,2way_int_prop,5way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,6way_int_count,6way_int_prop
sunam,6693,2.926470588235294,48.462780640904654,44.18665293729542,26743.007245328907,14456.308669203469,24,0,221,26,1.0,0.0,0.003676470588235294,0.003352362055200563,0.9007352941176471,0.8404452690166976,0.0,0.0
sunamganj district,9941,2.3776223776223775,50.07821859492656,33.26874661900715,37264.96745104233,18632.48372552115,48,0,88,7,0.0,0.0,0.0,0.0026876834743364774,0.951048951048951,0.6903914590747331,0.0,0.0
sunbat,3886,2.6930434782608694,432.23175140338316,345.66011655708235,96551.85120262645,48275.92560131299,691,0,2438,319,2.0,0.0,0.0005797101449275362,0.008953360210490247,0.9069565217391304,0.836113125453227,0.0,0.0
suncheon si,12648,3.0304698972099855,264.0210305723937,234.84690054218427,73422.19788376684,39261.52232471253,301,3,1744,666,8.0,0.0011013215859030838,0.002936857562408223,0.006724676348227332,0.7515619257625873,0.9497884862975906,2.0,0.0007342143906020558
sundargarh,9012,2.57201646090535,106.38349169377749,78.3647942929472,51428.47843556542,25768.92383485049,64,0,155,24,0.0,0.0,0.0,0.004128363775514054,0.9012345679012346,0.7733887733887734,0.0,0.0
sunderland,1849,2.526441947565543,196.42122327960573,144.0422304050442,37598.40790793081,20243.549312163348,1780,20,4464,404,6.0,0.00299625468164794,0.0008988764044943821,0.009702904379598391,0.9382419233658903,0.6588500563697858,1.0,0.000149812734082397
sungai petani,10964,2.7160751565762005,256.89693445123083,208.96692734232084,60302.15299974221,32955.436728604,1698,44,6509,844,6.0,0.004834633556752005,0.0006592682122843643,0.007795282355589437,0.9061499392734901,0.7595670660997295,0.0,0.0
sungai tendang,12587,2.76566757493188,318.38870379744617,260.2632456109914,94894.65572347637,51856.3794034181,67,0,252,48,0.0,0.0,0.0,0.006139817462390358,0.8692098092643051,0.7489711934156379,0.0,0.0
sunland park,145,2.825455773126266,87.02034481774153,70.56815268474516,29565.898211152264,17088.559869293553,560,12,1785,595,10.0,0.004051316677920324,0.00337609723160027,0.005092315881697466,0.7949152542372881,0.7094147582697201,0.0,0.0
sunyani,1747,2.9426256077795787,145.19470281142233,129.99279389469967,43235.63129995848,22508.134271580435,323,0,2293,469,0.0,0.0,0.0,0.006450765801355214,0.8479740680713128,0.87558799675588,0.0,0.0
sunzha,4852,2.894582723279649,90.90178673588571,74.26529575201204,42828.00496176602,21608.589267842985,125,0,381,176,1.0,0.0,0.0014641288433382138,0.0042067432357170125,0.7408491947291361,0.896399706098457,0.0,0.0
supaul,9183,2.7941176470588234,68.46970338213632,57.72935775356591,70694.89892980919,35347.44946490458,16,0,75,11,0.0,0.0,0.0,0.0019370479177038733,0.8921568627450981,0.9095477386934674,0.0,0.0
suqian,11783,3.397814649939296,32.94562438057599,31.159014236101214,18025.473576095785,13060.496064218212,134,13,1085,1220,13.0,0.005261027923917442,0.005261027923917442,0.0025225400489064876,0.49593165174938975,0.665444919568316,6.0,0.0024281667341157424
suq al shyukh,5554,2.923076923076923,732.8099236577792,671.1850995692176,180871.26206806846,94050.98438192964,129,0,1266,138,1.0,0.0,0.000651890482398957,0.007791624175690996,0.909387222946545,0.8844270323212536,0.0,0.0
sur,5987,2.7613365155131264,241.6589354000248,206.7654614341501,66826.59742389318,35562.62496261502,121,0,676,40,1.0,0.0,0.0011933174224343676,0.006795306467226962,0.951073985680191,0.7187312986235787,0.0,0.0
surajpur,7360,2.4441489361702127,289.432250902085,197.06025593333445,95545.9321251416,48925.6792668523,120,0,225,31,0.0,0.0,0.0,0.00591575334751006,0.9175531914893617,0.678714859437751,0.0,0.0
surat,6728,2.913914900607853,108.01597504348695,91.28210540885442,41792.404260902986,25417.28827760661,943,17,3794,1291,38.0,0.002792837194020043,0.006242812551338919,0.004249704919885267,0.7803953871499176,0.7220436753193242,4.0,0.0006571381632988336
surat thani,10720,2.4513739545997613,238.8346771515632,162.24778665278237,54528.51594864285,30053.06518370024,1342,0,2463,374,4.0,0.0,0.0009557945041816009,0.007947098763193678,0.9091995221027479,0.6315600717274358,2.0,0.00047789725209080046
surendranagar,6588,2.9789915966386555,27.598984827137148,24.583969677954098,22780.346449159846,12041.6273739207,26,1,165,44,2.0,0.004201680672268907,0.008403361344537815,0.0022919646963092365,0.8059071729957806,0.9125799573560768,0.0,0.0
surigao city,13009,2.787878787878788,220.9799309976554,176.70954078095338,57098.711218656514,29385.55334074561,119,2,359,114,0.0,0.003367003367003367,0.0,0.007520019393041261,0.8074324324324325,0.821882951653944,0.0,0.0
