city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,2way_int_prop,5way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient
jagtial,8090,2.882725832012678,105.65091952739829,90.58185018117665,37832.82442075189,20172.66476621384,90,1,437,99,4.0,0.001584786053882726,0.006339144215530904,0.0052373308510211105,0.8365079365079365,0.8294820717131474
jahangirabad,7200,2.0,9.596333432185233,4.478288935019775,19079.58239169448,9539.791195847236,8,0,6,1,0.0,0.0,0.0,0.0010059269888802818,0.9333333333333333,0.64
jahanian,6361,2.8683127572016462,145.5099829185038,123.65354515502483,49774.35734029436,28798.491202642173,73,0,333,78,2.0,0.0,0.00411522633744856,0.005052694667044005,0.8353909465020576,0.8552223371251293
jahrom,5883,2.5132743362831858,472.29246564347477,338.1440440711536,75636.09586689607,42101.12615848266,1669,2,3734,462,9.0,0.0003403675970047651,0.0015316541865214432,0.011218048274186506,0.9198161389172625,0.6313548496976923
jahun,2844,3.032258064516129,277.3010059438812,266.25106073549125,79663.99854229444,39947.76560068641,21,0,448,57,1.0,0.0,0.0018975332068311196,0.006941589893055656,0.889943074003795,0.9895138226882746
jaigaon,9612,2.588235294117647,174.67577474491145,131.0068310586836,75854.92542296628,38578.266116761864,102,0,270,36,0.0,0.0,0.0,0.004527828550309486,0.9117647058823529,0.7435265104808878
jaigir,9874,1.9515151515151514,27.61657731700363,12.720362885407733,18197.293880293215,9098.646940146604,89,0,71,5,0.0,0.0,0.0,0.003035240019606547,0.9696969696969697,0.4123076923076923
jainpur,7716,2.42,37.49064366063656,25.49363768923286,54005.3689190076,38146.51772765457,16,0,31,3,0.0,0.0,0.0,0.0009828064498127822,0.94,0.3368421052631579
jairampur,7269,2.793103448275862,19.957414928860505,16.51648132043628,36290.79453737843,18145.397268689216,5,0,20,4,0.0,0.0,0.0,0.0010998610079095935,0.8620689655172413,0.9433962264150944
jalaid,10544,2.9285714285714284,13.159362249805048,10.026180761756226,10228.929458044771,6211.469009790735,30,0,45,51,0.0,0.0,0.0,0.0021185587868284943,0.5952380952380952,0.7044534412955465
jalalabad,6150,2.7138916750250752,523.0623840399005,412.1018080876047,162852.74857223555,84049.75209584375,846,1,2593,544,4.0,0.00025075225677031093,0.0010030090270812437,0.0062232471958208885,0.8625532982192124,0.7982180951185845
jalalabad,6545,2.947712418300654,29.494702495930497,25.446409996489056,20682.920312134625,10341.460156067316,21,0,98,34,0.0,0.0,0.0,0.0028520829796579556,0.7777777777777778,0.9501661129568106
jalalabat,6125,2.9616,72.24465291897961,62.823950178344674,31652.704907111252,16201.67284617248,163,0,812,272,3.0,0.0,0.0024,0.004459086021851555,0.78,0.9154308617234469
jalalpur jattan,6460,2.5060975609756095,103.55340329233259,71.98224375198728,41393.49566438798,20804.6001224251,100,0,193,32,3.0,0.0,0.009146341463414634,0.004977428197752922,0.8932926829268293,0.7188940092165899
jalapa,306,2.948687350835322,158.51311750568118,129.38302192587818,45776.98882857445,25330.022404233405,154,1,417,266,0.0,0.0011933174224343676,0.0,0.006257914619103886,0.6821983273596177,0.8244457759137208
jalaun,7615,2.6493506493506493,42.61010956602508,32.09592668609681,30921.64961777396,15460.824808886988,19,0,47,11,0.0,0.0,0.0,0.00275600494105156,0.8571428571428571,0.8590604026845637
jalesar,7318,2.1818181818181817,9.262884512654448,5.05248246144788,18415.0960811517,9207.54804057585,5,0,5,1,0.0,0.0,0.0,0.0010060099031614868,0.9090909090909091,0.5882352941176471
jalgaon,7248,2.875995449374289,80.45569800133502,70.20423249945844,33169.248240586894,16592.683808741287,224,0,1304,230,0.0,0.0,0.0,0.004848865857309335,0.8691695108077361,0.9344915978353745
jalingo,2948,2.856287425149701,119.62413301792326,103.86526519520284,38387.777651036806,20019.752378059442,286,0,1629,252,4.0,0.0,0.0018424689083371719,0.005975305326404776,0.8820819898664211,0.8584274844362463
jalna,7384,2.7340264240849037,631.2058987080517,522.3820097386757,124113.70237907287,64143.818791048405,796,0,3457,364,0.0,0.0,0.0,0.009840478951903932,0.9211609270088802,0.8233828150395492
