city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,2way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,4way_int_count,5way_int_count,5way_int_prop,6way_int_count,6way_int_prop
sagwara,6826,2.3,14.203435583764453,9.232233129446895,31148.84724766175,15574.423623830875,7,0,13,0.0,0.0009119718280958639,1.0,0.5428571428571428,0.0,0.0,0.0,0.0,0.0
sahagun,584,3.255250403877221,348.0946679964353,320.25834155730195,83543.40807322996,42915.52736985057,99,1,628,0.0008077544426494346,0.008111159044988974,0.587712206952304,1.09437019036047,505.0,5.0,0.004038772213247173,0.0,0.0
saharanpur,6965,2.737785016286645,48.337386614687354,38.77225229272561,24320.446092133592,12179.913406464902,243,1,823,0.0008143322475570033,0.003968614964785435,0.8687856560717196,0.8689260922825643,158.0,2.0,0.0016286644951140066,1.0,0.0008143322475570033
saharsa,9193,2.6231884057971016,48.195658331971615,37.19447545184766,38855.48538194221,19427.7426909711,63,0,191,0.0,0.0024807647032699374,0.9202898550724637,0.8098720292504571,22.0,0.0,0.0,0.0,0.0
sahibganj,9465,2.63905325443787,84.22219132986353,64.78630102297195,41566.48208428616,20783.241042143112,39,0,113,0.0,0.00405240891731383,0.8994082840236687,0.8348348348348348,17.0,0.0,0.0,0.0,0.0
sahiwal,6448,2.925283522348232,152.85752404575734,132.7688434340067,48968.21033095704,26416.6573742327,394,1,2046,0.000333555703802535,0.005786406731188383,0.8141474808141475,0.9038236767406913,549.0,8.0,0.00266844563042028,0.0,0.0
sahuayo de morelos,95,3.217570754716981,219.9553129727274,199.3345023815342,52606.33428518366,30969.518718236373,159,3,848,0.001768867924528302,0.007102316150725549,0.5948021264028353,0.870452528837622,682.0,4.0,0.0023584905660377358,0.0,0.0
saida,1970,3.0084427767354596,263.2167853599043,238.27785916726796,56215.94022653597,31575.6871408508,303,0,2273,0.0,0.008336058822275625,0.8055034396497811,0.894539195744015,611.0,11.0,0.0034396497811131957,0.0,0.0
saida,4334,2.7924778761061946,134.42681141754446,115.63085017509133,40759.29635402624,23065.86247960124,316,2,1777,0.0008849557522123894,0.005827955123569626,0.9269264836138176,0.6900908889381512,165.0,0.0,0.0,0.0,0.0
saidpur,9608,2.590308370044053,110.28332075795625,83.07686277361462,56689.670591350754,28383.450004488026,168,0,456,0.0,0.0038854797686862634,0.9162995594713657,0.7546057479734709,57.0,0.0,0.0,0.0,0.0
sailu,7517,2.957894736842105,41.448696665494126,39.267186314678646,28741.685958756076,14370.842979378065,5,0,84,0.0,0.002884221665004089,0.9368421052631579,1.0054054054054054,6.0,0.0,0.0,0.0,0.0
saint andre,5938,2.524569240587109,205.35568361762066,151.75614654065393,51379.65013112323,28427.104869978462,409,7,1072,0.004467134652201659,0.00722393942530864,0.9493589743589743,0.6298555377207062,78.0,1.0,0.0006381620931716656,0.0,0.0
saint brieuc,1757,2.681832849306228,152.17576904237032,123.59677659878868,32130.470295968495,18473.255997628286,582,47,2250,0.015166182639561149,0.008237625736465061,0.927916120576671,0.6235448434169536,215.0,5.0,0.0016134236850596966,0.0,0.0
saint cloud,551,2.989766081871345,63.21033557653357,52.823140081208464,25432.14309810379,14353.422483892127,562,7,1777,0.0020467836257309943,0.004403851112685511,0.6853208321125109,0.8215804134291159,1053.0,20.0,0.005847953216374269,1.0,0.00029239766081871346
saint denis,5934,2.6337741607324516,168.16013376922433,130.2399950928818,37715.11976862081,22360.136717876114,665,24,1989,0.008138351983723296,0.007520532449821134,0.9073504273504274,0.5721129170230966,268.0,3.0,0.001017293997965412,0.0,0.0
saint etienne,2168,2.7914815782597335,119.51607303256769,99.68521168538177,32694.60966725112,19393.05048693109,635,45,2664,0.011758557616932322,0.006162829984540552,0.8722897937599154,0.6354015081359968,452.0,28.0,0.0073164358505356675,3.0,0.0007839038411288215
saint helier,1798,2.7214734950584005,108.41492453067775,89.51780381284173,30584.23204883216,17562.99295667796,194,19,806,0.017070979335130278,0.006172918522378341,0.9140767824497258,0.6147503435639029,91.0,3.0,0.0026954177897574125,0.0,0.0
saint jean sur richelieu,1027,3.2570856952317437,106.79363796870894,102.02193157064059,26632.71605702463,17116.071038171576,134,10,1857,0.003334444814938313,0.00623937805180535,0.6661090665774506,0.6716892683743513,951.0,43.0,0.014338112704234745,4.0,0.001333777925975325
saint jerome,1021,3.067146282973621,75.073760019178,68.77260510150118,28004.33730161753,15980.52083638501,140,4,1134,0.002398081534772182,0.0046978293628732945,0.765625,0.8338850436352694,384.0,6.0,0.0035971223021582736,0.0,0.0
saint louis,1461,3.0819573701591114,398.8488418528779,366.0405012141242,67792.51713769961,34398.77560058994,274,2,2237,0.0006004202942059442,0.01159485577289087,0.7542805647341544,1.0067638659251466,815.0,1.0,0.0003002101471029721,2.0,0.0006004202942059442
