city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,6way_int_count,7way_int_count,2way_int_prop,5way_int_prop,6way_int_prop,7way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient
delicias,117,3.3577400557385357,194.88622929274592,185.7023330048182,54372.86380577239,30091.685676490753,186,2,2108,1575.0,19.0,55.0,2.0,0.0005067139599695972,0.004813782619711173,0.013934633899163922,0.0005067139599695972,0.006476414494951392,0.5814955640050697,1.020291693088142
delingat,3813,2.678861788617886,457.015699321192,366.60337940128136,114382.77879663938,58047.05918000681,292,0,1074,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007873192988191937,0.9254742547425474,0.7913131998642687
delmenhorst,2431,2.6213235294117645,100.63218289694676,78.00227412048876,31779.661117476357,17061.307250152648,367,16,1120,126.0,3.0,0.0,0.0,0.00980392156862745,0.001838235294117647,0.0,0.0,0.005898269190131747,0.9201732673267327,0.7186241090796406
deltona,583,2.883175935641833,72.59450826242973,62.48866206150387,32025.311790039053,16642.88764496142,398,5,1995,455.0,6.0,0.0,0.0,0.0017488632388947185,0.002098635886673662,0.0,0.0,0.004361893789771961,0.8384723195515067,0.864281956864808
demak,12438,2.7839666840187403,249.028381032203,210.00831716406498,65881.06528166775,35043.50297311382,301,0,1433,187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0071062639263906715,0.9026548672566371,0.8279906176700548
demba,3483,2.25,5.72862780607808,3.5803923787988,16941.740758394804,8470.870379197402,3,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006762738124462786,1.0,0.8181818181818182
dengfeng,10976,3.3719806763285023,17.612538364400763,16.08101328923548,17351.117839830298,10792.642740286272,18,0,78,109.0,2.0,0.0,0.0,0.0,0.00966183574879227,0.0,0.0,0.00163190228642124,0.463768115942029,0.8288508557457213
dengfeng,11534,2.791891891891892,33.5840411428503,27.13953595057362,18576.884738811314,9633.7296993046,71,1,239,52.0,7.0,0.0,0.0,0.002702702702702703,0.01891891891891892,0.0,0.0,0.0034860892085517544,0.8401084010840109,0.8240109140518418
dengi,2867,2.7,40.53575218425966,29.996456616352148,35331.461814982686,17682.176667510008,13,0,26,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022924639283093346,0.78,0.8842105263157894
dengkou,10116,2.8054054054054056,35.113304819014594,26.95183396918958,27911.807997735494,14981.175013757545,43,0,92,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023438284905402456,0.7297297297297297,0.7808219178082192
dengta,11410,3.3708920187793425,25.186589101128373,22.466910465795262,13985.292057896306,11469.21696073393,23,0,67,121.0,2.0,0.0,0.0,0.0,0.009389671361502348,0.0,0.0,0.002196016448843658,0.4225352112676056,0.5486935866983373
dengzhou,11049,3.2511627906976743,8.101195955346485,7.083836463279718,10118.752951488423,7388.058866351749,27,1,79,107.0,1.0,0.0,0.0,0.004651162790697674,0.004651162790697674,0.0,0.0,0.001096525637098353,0.4953271028037383,0.6170212765957447
denizli,3623,3.1189185860327626,505.4992305345923,490.245220006082,102625.11096324657,56693.77499033752,490,13,12868,2813.0,51.0,3.0,0.0,0.0008005912058135238,0.0031407808843453627,0.0001847518167261978,0.0,0.008916309253013156,0.8232973805855162,0.9372476498690091
denov,6024,2.4323493234932347,92.18307367207522,64.00657452384559,36001.14573033798,18000.572865168982,497,0,1058,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0051211188867466,0.9563345633456335,0.6957191253464736
denton,333,2.911490329920364,72.02669504743352,61.32511783105716,27429.487919956347,15982.376165726679,653,7,2825,896.0,14.0,0.0,0.0,0.0015927189988623437,0.0031854379977246873,0.0,0.0,0.004506632449428313,0.792616226071103,0.7587504275453198
deoband,7015,2.2903225806451615,8.868522063782814,5.149464424131957,18462.15737800907,9231.078689004533,13,0,14,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009607243489697935,0.8709677419354839,0.7017543859649122
deoghar,9341,2.8285714285714287,49.857866180336345,41.828807211035425,33175.41742234632,16587.70871117318,62,0,265,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030057114607247096,0.8493506493506493,0.9150326797385621
deoli,6918,2.7,17.584921331091746,13.628314031596101,26065.067199451933,13741.859429007933,9,0,25,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012796609819753669,0.85,0.7866666666666666
deoria,8552,2.595667870036101,47.79379801551722,36.23356528252208,30490.666308874883,15245.333154437429,67,0,188,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031349789165877277,0.9205776173285198,0.7978142076502732
depalpur,6492,2.6666666666666665,83.06542381827238,62.17321116094933,39156.93355802284,20964.065004066084,83,0,191,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003962276581481761,0.8303030303030303,0.7572519083969466
