city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,2way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,5way_int_count,5way_int_prop,6way_int_count,6way_int_prop
khoms,3039,2.9960906958561377,179.76433883460996,165.84982003505843,43733.30110363461,25236.150789020805,99,1,985,194,0.0007818608287724785,0.007123286761815431,0.8482003129890454,0.7922383379067033,0.0,0.0,0.0,0.0
khon kaen,10968,2.6077895456098394,217.72264772255016,163.2361976177439,49291.73077102486,26809.49840464348,1465,2,3756,626,0.00034164673727365904,0.008121101127533219,0.8921736158578264,0.7032224976493717,5.0,0.0008541168431841476,0.0,0.0
khorramabad,5637,2.7573956682514527,383.53093223950793,310.3399394917413,78063.83256165867,45289.78379460921,1445,11,5064,1041,0.0014527205493924987,0.008468376311506242,0.8608649649517259,0.7006019712906,10.0,0.0013206550449022716,1.0,0.00013206550449022716
khorramdarreh,5625,2.8367816091954023,233.29869464278963,195.75637596463957,64399.062119372495,37232.547084838174,140,0,598,126,0.0,0.006265988037595029,0.8482758620689655,0.7170028818443804,6.0,0.006896551724137931,0.0,0.0
khorramshahr,5703,2.958139534883721,296.52966909084284,260.07917820592195,72420.85087964908,40781.335566841015,370,1,2028,607,0.0003322259136212625,0.007271210345841365,0.7969425058158857,0.8287044736404457,4.0,0.00132890365448505,0.0,0.0
khorugh,6140,2.197278911564626,194.0993769623786,114.21493950507313,67336.6072691522,33764.97106612101,121,2,163,8,0.006802721088435374,0.0057485426711096285,0.9726027397260274,0.5958549222797928,0.0,0.0,0.0,0.0
khor fakkan,5929,2.990740740740741,285.930276123869,275.82162999827773,62673.14675731389,36721.57528715384,42,0,1073,73,0.0,0.007786438187576742,0.9385521885521886,0.7988190636862084,0.0,0.0,0.0,0.0
khouribga,1594,3.09271922767498,394.9237154366553,376.7343488165841,65486.815476084455,35043.081774296305,229,3,3818,922,0.0006033789219629927,0.011269662810487384,0.8144495874421412,0.9328500956407934,0.0,0.0,0.0,0.0
khoy,5175,2.4445627106616996,390.2947868427538,262.9660458450912,57169.76090405325,32327.216961292354,1839,2,3254,535,0.0003547986517651233,0.012073256640374615,0.903815439219166,0.59502885042166,7.0,0.0012417952811779316,0.0,0.0
khujand,6038,2.648802466208205,108.30858850090007,84.60244024708675,33717.25186186437,17608.301265541973,923,3,2924,366,0.0007114062129475931,0.006150995877884669,0.9129093497864262,0.7473584233645969,1.0,0.00023713540431586437,0.0,0.0
khujayli,5879,2.8650442477876106,193.8016214799128,163.14494905554605,82124.3334346123,41262.56777707682,143,3,591,167,0.00331858407079646,0.004696790139841422,0.8146503884572697,0.8753478018920423,0.0,0.0,0.0,0.0
khulna,9863,2.607478427612656,97.83266323947474,74.96439545636454,33921.62717545081,17563.472032511032,1219,2,3601,393,0.0003835091083413231,0.0055702348065565085,0.9246115480529445,0.7586603972747337,0.0,0.0,0.0,0.0
khurja,7163,2.3453237410071943,20.34553615487323,12.441514914850535,20163.293137142005,10922.472688815531,54,1,66,18,0.007194244604316547,0.0018627225477713294,0.8695652173913043,0.5793357933579336,0.0,0.0,0.0,0.0
khushab,6335,2.5904761904761906,90.95476372990599,66.26704214607437,36653.282889324095,20604.450395091935,57,0,127,24,0.0,0.004414326127891856,0.8761904761904762,0.7325301204819277,2.0,0.009523809523809525,0.0,0.0
khushkhera,6989,2.880794701986755,39.14577374351015,33.44241597955503,29042.633998472145,17897.609782742045,22,0,103,26,0.0,0.0021872067956949684,0.8278145695364238,0.7272727272727273,0.0,0.0,0.0,0.0
khutsong,3645,3.022163120567376,1030.684868586482,963.9827449988817,314392.80157812906,159572.0750443571,73,0,884,171,0.0,0.006459055372313589,0.848404255319149,0.9844513549533541,0.0,0.0,0.0,0.0
khwazakhela,6237,2.3245967741935485,370.6668251218918,239.13988717541406,122864.55587783098,61432.27793891555,176,0,303,17,0.0,0.006033747039145446,0.9657258064516129,0.6595744680851063,0.0,0.0,0.0,0.0
kibomango,3222,2.960676095205243,376.5970165819969,324.50477662015464,101530.29533921237,52214.88600955205,401,0,1810,688,0.0,0.007212445441575862,0.7626767850983097,0.9197307094769549,0.0,0.0,0.0,0.0
kichha,7424,2.674015748031496,256.64883520567787,202.48986840636945,74317.58091624128,37158.790458120704,134,0,440,61,0.0,0.006906813489931282,0.9039370078740158,0.8142292490118577,0.0,0.0,0.0,0.0
kidderminster,1793,2.290959155575952,204.12088266837364,129.74181849274783,33373.99447920181,17662.168737884134,794,13,1318,52,0.005966039467645709,0.011556954624182048,0.9750692520775623,0.5694476542639242,2.0,0.0009178522257916476,0.0,0.0
