city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,2way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,5way_int_count,6way_int_count,5way_int_prop,6way_int_prop,7way_int_count,8way_int_count,9way_int_count,7way_int_prop,8way_int_prop,9way_int_prop
xianyou,12553,2.8157894736842106,7.113176334084186,5.588924262494718,11155.136607556196,7190.221366483604,57,0,144,65,0.0,0.0009892847482055901,0.7556390977443609,0.5939278937381404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xiaochang,11464,2.934640522875817,23.08559962910022,18.408125194445926,20892.465551927875,12125.232744816107,31,0,73,47,0.0,0.001903930432920555,0.6797385620915033,0.7308970099667774,1.0,1.0,0.006535947712418301,0.006535947712418301,0.0,0.0,0.0,0.0,0.0,0.0
xiaochikou,11939,3.0326797385620914,19.57086396538829,15.989267945578668,23218.144025832516,14971.96944800619,28,1,65,56,0.006535947712418301,0.001307166971810414,0.6118421052631579,0.6822742474916388,3.0,0.0,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xiaogan,11494,2.9902506963788302,24.109953630933354,20.85275933817495,17889.138485472064,10154.951154283332,97,4,430,183,0.005571030640668524,0.002374206755368177,0.7380952380952381,0.83134223471539,4.0,0.0,0.005571030640668524,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xiaohe,10433,2.495614035087719,85.2101561314265,61.291515813833094,67778.92527463844,33889.46263731917,64,0,152,11,0.0,0.0025143554810335895,0.9473684210526315,0.738359201773836,1.0,0.0,0.0043859649122807015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xiaoxian,11552,3.2036199095022626,8.979232497568177,7.638442124628132,10188.67323548341,7115.739223258633,33,0,77,111,0.0,0.0012618833006440844,0.497737556561086,0.7345537757437071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xiaoxiang,11083,2.7430167597765363,13.324835884401452,10.272778503058102,13895.421361662666,7666.115894939977,41,0,103,34,0.0,0.0017381469399903695,0.8044692737430168,0.7620396600566572,1.0,0.0,0.00558659217877095,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xiaoyi,10538,2.79495990836197,36.284281452915536,28.927674560400014,18843.725155392895,11369.309227598655,177,3,519,170,0.003436426116838488,0.003191423570821395,0.8,0.7769452449567723,4.0,0.0,0.004581901489117984,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xiapu,12594,2.7533783783783785,67.25495630669707,52.82695047738874,35540.01666156236,21006.304217955156,127,0,361,100,0.0,0.003201655827168819,0.8243243243243243,0.7056827820186599,4.0,0.0,0.006756756756756757,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xiayi,11425,3.1974522292993632,10.075910468809345,8.856532768762355,14070.526160300811,7693.847917012515,19,0,70,67,0.0,0.001309606139540353,0.5668789808917197,0.8802588996763754,1.0,0.0,0.006369426751592357,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xiazhou,11301,2.719298245614035,26.330609799882257,20.325383003417883,42526.233442851335,21263.11672142566,13,0,34,10,0.0,0.0012383231557653242,0.8245614035087719,0.8623853211009175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xichang,10312,3.041847041847042,28.877714978561862,24.08559777432721,20487.620963863556,13352.089481940964,115,3,317,254,0.004329004329004329,0.0021627862079279573,0.6260869565217392,0.6916363636363636,4.0,0.0,0.005772005772005772,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xichong,10436,3.0,41.8778420433385,37.98222883000468,25001.377505510318,13754.404944596828,16,0,124,32,0.0,0.003044685845154607,0.813953488372093,0.8289085545722714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xichuan,10920,3.103448275862069,7.334342320711636,6.154103326574131,12021.25733837602,7118.561585891461,14,0,37,35,0.0,0.0010303124068277837,0.5862068965517241,0.7869822485207101,1.0,0.0,0.011494252873563218,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xiecun,12472,2.5421686746987953,10.828356142131613,7.175416720689622,14146.967849829203,8693.208092738121,28,2,33,20,0.024096385542168676,0.0012456110594174189,0.7530864197530864,0.6114649681528662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xifeng,11378,2.5,3.5366247698900097,2.475637338923007,12403.887700480305,6362.340216597734,6,0,12,2,0.0,0.0005558685404254006,0.9,0.6571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xihe,10262,2.735632183908046,47.23852783799022,36.922067735440635,66409.65885777338,33204.82942888669,19,0,53,15,0.0,0.001422640280058022,0.8275862068965517,0.8284023668639053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xihe,11396,2.9047619047619047,33.059177189273726,27.54931432439477,33214.80956287835,18263.466874380694,14,0,57,11,0.0,0.0018101260520064734,0.8452380952380952,0.8159509202453987,0.0,1.0,0.0,0.011904761904761904,0.0,0.0,1.0,0.0,0.0,0.011904761904761904
xihu township,12695,3.154639175257732,61.21993078048564,54.11968107656334,32888.67282635496,20315.745197491175,45,1,207,125,0.002577319587628866,0.003013422849389044,0.6511627906976745,0.776332899869961,5.0,4.0,0.01288659793814433,0.010309278350515464,1.0,0.0,0.0,0.002577319587628866,0.0,0.0
xiji,10208,3.1019108280254777,120.35734543558485,105.79180681599178,92973.79015728866,58984.8259768053,19,0,85,52,0.0,0.002040479791919928,0.6624203821656051,0.7734627831715211,1.0,0.0,0.006369426751592357,0.0,0.0,0.0,0.0,0.0,0.0,0.0
