city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,2way_int_prop,5way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,6way_int_count,6way_int_prop
guangshui,11399,2.8535031847133756,27.576187212569653,20.901696040100564,21587.648076389098,11557.10664138504,38,1,68,46,4.0,0.006369426751592357,0.025477707006369428,0.00238608053626689,0.6794871794871795,0.8241042345276873,0.0,0.0
guangyuan,10361,3.0948616600790513,138.86998899671298,125.6965513053252,52554.14196625734,40114.27977725888,24,1,157,69,2.0,0.003952569169960474,0.007905138339920948,0.0034618592124253853,0.7182539682539683,0.5871743486973948,0.0,0.0
guang an,10555,3.2195945945945947,51.577621139915834,46.78578133806555,43853.86505576733,30420.763928243796,55,4,295,233,4.0,0.006756756756756757,0.006756756756756757,0.0016954742248280364,0.5952380952380952,0.7070879590093937,1.0,0.0016891891891891893
guannan,11933,3.217142857142857,7.899796405702195,6.951820837017931,10407.46669778698,5824.118941400365,21,2,70,82,0.0,0.011428571428571429,0.0,0.0013563933850229283,0.5260115606936416,0.8680351906158358,0.0,0.0
guantanamo,680,3.3115100316789863,165.47335591288171,150.44620849101494,48510.4647571763,25896.092429644705,172,6,778,936,2.0,0.0031678986272439284,0.0010559662090813093,0.006389896713662293,0.503177966101695,1.0384513391673296,0.0,0.0
guantao,11038,3.2229299363057327,32.650626068459474,29.947071043682573,25519.23780800781,16043.143412225296,26,0,168,118,2.0,0.0,0.006369426751592357,0.002035176351012286,0.6178343949044586,0.7415730337078652,0.0,0.0
guanxian,11071,3.2771084337349397,9.091496811815853,8.269976015567432,13544.609601681906,6915.274859148838,15,1,75,73,2.0,0.006024096385542169,0.012048192771084338,0.0013146978243081537,0.5454545454545454,1.1353846153846154,0.0,0.0
guanyang,11619,3.042682926829268,69.6071142629649,62.81617628609028,36793.71960139224,18543.645500632658,16,0,109,39,0.0,0.0,0.0,0.003753690948232919,0.7621951219512195,0.9969040247678018,0.0,0.0
guanyun,11886,2.896694214876033,9.78835356099761,7.644623235655159,13029.943033086065,7329.260644955966,53,0,113,71,5.0,0.0,0.02066115702479339,0.0013355171872259728,0.6859504132231405,0.791231732776618,0.0,0.0
guara,1219,2.743696682464455,292.0948524345195,248.2390944955357,53093.76243142976,33147.660985392635,792,18,4217,246,2.0,0.0034123222748815166,0.0003791469194312796,0.008811929522364747,0.9528248050218756,0.5878770577600152,0.0,0.0
guarapari,1399,3.0506414584740043,177.32260968499259,161.15883365023635,47565.691509887234,25894.084605489625,135,2,1002,337,5.0,0.0013504388926401081,0.00337609723160027,0.006847996845094097,0.768762677484787,0.8743650524889942,0.0,0.0
guarapuava,1170,3.257181571815718,163.81314174778495,149.87348686735015,46556.31910601782,26556.4043272075,314,3,1797,1572,4.0,0.0008130081300813008,0.001084010840108401,0.006168498556107445,0.5725522104692161,0.8860089564391369,0.0,0.0
guaratingueta,1336,2.933004521167283,188.0043800139384,167.91348860266672,45184.891401712404,26437.331081059812,260,11,1805,346,11.0,0.004521167283189478,0.004521167283189478,0.007111322222258213,0.8526011560693642,0.7053110146724529,0.0,0.0
guarenas,869,2.5052337752965808,136.90086730061674,96.8719326188593,43160.48307650323,23921.568224655228,838,7,1761,255,5.0,0.0024424284717376133,0.0017445917655268667,0.005722905204831731,0.9090591115774747,0.6532469805706284,0.0,0.0
guasave,70,3.327967806841046,290.5386588003057,275.3394533097465,75096.64054037591,43554.85225635297,130,3,1279,1068,5.0,0.0012072434607645875,0.002012072434607646,0.006670638143604938,0.5676873489121677,0.941923774954628,0.0,0.0
guaymas,62,3.0514950166112955,375.46949214629825,328.27592917995844,82901.92435691018,45977.81281323192,454,3,2065,1085,3.0,0.0008305647840531562,0.0008305647840531562,0.008166319125955512,0.6979772790246606,0.8699570220435325,2.0,0.0005537098560354374
gucheng,11026,3.0651085141903174,43.25852972234853,37.40887879161358,23613.301872256474,15568.753224351118,81,1,323,186,8.0,0.001669449081803005,0.01335559265442404,0.0027785481020206407,0.6755852842809364,0.6809403862300588,0.0,0.0
gucheng,11029,2.9583333333333335,7.815607597395815,6.675831489442258,9440.106223113446,4968.25469176601,21,0,89,32,2.0,0.0,0.013888888888888888,0.0015731092873215175,0.7638888888888888,0.9681978798586572,0.0,0.0
gudivada,8730,2.8020781791192477,554.1239123362274,445.82161378461444,109018.37497937331,54534.31430840809,395,0,1236,390,0.0,0.0,0.0,0.010161013654677835,0.8070262246412667,0.8865494178845678,0.0,0.0
gudiyatham,8420,2.7320872274143304,166.23145848589428,138.0083603940524,63098.01997684341,31549.0099884216,109,0,487,46,0.0,0.0,0.0,0.005268991278867412,0.9283489096573209,0.8592650508209538,0.0,0.0
