city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,2way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,5way_int_count,5way_int_prop
dhubri,9739,2.88,17.40071442177236,14.716032768127482,25322.396025974067,12661.198012987035,27,0,115,33.0,0.0,0.0013743339614406026,0.8114285714285714,0.9391304347826087,0.0,0.0
dhudial,6319,2.2793296089385473,103.87962268060814,64.99730581133024,89867.52554645891,44933.762773229435,67,0,107,5.0,0.0,0.0023118389440222303,0.9720670391061452,0.5949008498583569,0.0,0.0
dhule,7109,2.8639522126051444,408.4180590237495,357.7827833895726,74691.62781947684,40535.154690025185,1017,5,6261,917.0,0.0006095330976472023,0.010075650682646889,0.8877775067089534,0.8749313647733512,3.0,0.00036571985858832134
dhulian,9550,2.6745562130177514,30.66837329817714,24.679874370130715,38167.43297219371,19083.716486096873,33,0,125,11.0,0.0,0.001607044064007138,0.9349112426035503,0.8108108108108109,0.0,0.0
dhupguri,9573,2.3076923076923075,14.963126450791641,9.399912770369108,44887.160972961115,22443.580486480565,29,0,45,4.0,0.0,0.0006666996141638383,0.9487179487179487,0.6423841059602649,0.0,0.0
dhuri,6688,2.742424242424242,24.16093976489535,19.951079048284797,18503.980793407405,9260.228728051261,23,0,97,12.0,0.0,0.002609108314107466,0.9090909090909091,0.8687258687258688,0.0,0.0
diancheng,11971,2.718954248366013,21.85276041531625,17.139419933581376,23086.690386531478,13177.10526663362,33,0,97,23.0,0.0,0.0016583885438519396,0.8496732026143791,0.7508305647840532,0.0,0.0
dianjiang,10652,2.763485477178423,84.25664140816066,67.82484827046959,47376.97473130652,25954.774347111532,94,3,308,77.0,0.006224066390041493,0.0032462868018552997,0.8392484342379958,0.7995802728226653,0.0,0.0
diankou,12433,3.006849315068493,18.703848726316654,16.013569114997136,16842.50485859022,9196.297452528373,21,0,84,39.0,0.0,0.0020338455582658795,0.7191780821917808,0.8989547038327527,2.0,0.0136986301369863
diaobingshan,11291,2.8580246913580245,14.716138342082306,12.0817678981293,11930.614080880494,6115.166927599281,29,0,98,35.0,0.0,0.0024064982225856643,0.7839506172839507,0.9184952978056427,0.0,0.0
dias d avila,1422,3.014851485148515,267.0401000902464,236.1388013793083,74470.14675707286,38087.87510941582,187,1,1029,399.0,0.0006188118811881188,0.007011157732562262,0.7529411764705882,0.9417054263565892,0.0,0.0
dibiyapur,7614,2.2295081967213113,47.32240683969685,26.376423484421196,28351.732117409,14175.86605870449,54,0,54,14.0,0.0,0.0033382374412771203,0.8852459016393442,0.6317991631799164,0.0,0.0
dibrugarh,10074,2.4717887154861944,129.79123667031052,88.34529554869877,45523.832042644775,22761.916021322348,532,0,955,174.0,0.0,0.005702122639795696,0.8925570228091236,0.7270814547640517,5.0,0.003001200480192077
didwana,6691,2.260869565217391,5.20948156072044,2.94448957779851,15128.633431273902,7564.316715636951,10,0,10,3.0,0.0,0.0006886916236533833,0.8695652173913043,0.6341463414634146,0.0,0.0
diegonefla,1617,2.8652694610778444,98.35531261455347,76.56401580773623,37420.85825874844,18710.429129374173,74,0,157,103.0,0.0,0.005256710679080147,0.6916167664670658,0.9306184012066365,0.0,0.0
dien bien phu,10726,2.4619692020531962,511.76142713030634,350.56732385781135,116019.38012885132,60701.49296214751,675,4,1263,201.0,0.0018665422305179655,0.008430788143043412,0.906030855539972,0.6515328808799439,0.0,0.0
dien chau,11239,2.834784903668514,288.6652010547276,235.86895288082258,59833.13127827624,29916.56563913798,693,0,2337,758.0,0.0,0.009649008664185868,0.7996832937450514,0.898983229895682,1.0,0.0002639218791237794
diepsloot,3693,2.937211449676824,547.0572699057523,498.05952735648356,150516.85282088834,78810.1745197899,97,1,858,127.0,0.0009233610341643582,0.006941454872281517,0.8826247689463955,0.9217230199166281,0.0,0.0
diffa,3020,3.14962325080732,272.1233323271117,257.4772972180099,72460.52991557408,36230.26495778712,50,0,643,233.0,0.0,0.007510939614826723,0.7459634015069968,1.0372369131138695,3.0,0.0032292787944025836
digboi,10099,2.0,6.716977355047711,3.3584886775238556,24094.74150787452,12047.37075393726,6,0,6,0.0,0.0,0.0005575471604750359,1.0,0.6842105263157895,0.0,0.0
