city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,2way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,5way_int_count,5way_int_prop,6way_int_count,6way_int_prop,7way_int_count,8way_int_count,7way_int_prop,8way_int_prop
rishikesh,7081,2.5107881990312637,391.57205687817594,281.22149923747463,117705.38333991372,58878.98493181034,640,1,1460,170,0.00044033465433729633,0.006650455291164891,0.9251101321585903,0.7439911797133407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rishtan,6081,2.8331735378715246,57.19383020954955,48.96844714969104,30040.365533922723,15065.134704727048,150,0,767,126,0.0,0.0037964366950933143,0.8791946308724832,0.8760211436809227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rishton,1786,2.5570552147239263,205.58684792365196,148.66157346790047,38319.53758274514,20205.03950981216,677,8,1482,277,0.0032719836400817996,0.010175028255887002,0.8859253180139516,0.7190388170055453,1.0,0.00040899795501022495,0.0,0.0,0.0,0.0,0.0,0.0
risod,7554,2.7096774193548385,28.92673321958262,23.328010660953726,32712.37852851111,16356.189264255552,6,0,23,1,0.0,0.0017685496757364168,0.9354838709677419,0.8421052631578947,1.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0
rivera,1127,3.1829760795278035,170.36489888597413,151.57659844965204,52379.993181963735,28563.961913783784,355,3,1578,1267,0.0009319664492078285,0.005964330137401671,0.6010572139303483,0.9170686167729889,13.0,0.00403852127990059,3.0,0.0009319664492078285,0.0,0.0,0.0,0.0
river glen village,13074,2.5631993369249897,145.72706694663162,110.3974630660765,36433.48351383646,20571.466106179476,585,4,1708,112,0.0016576875259013675,0.0070839417178368514,0.9518472395184724,0.5362559734053605,4.0,0.0016576875259013675,0.0,0.0,0.0,0.0,0.0,0.0
rivne,3402,2.745792736935341,52.45941139071268,42.09763217004932,22378.371383445738,11509.64257906522,223,5,742,154,0.0044286979627989375,0.004557866243920607,0.858540925266904,0.792242532322782,5.0,0.0044286979627989375,0.0,0.0,0.0,0.0,0.0,0.0
rize,4550,2.7350785340314134,162.4983912679045,131.35995608253643,64720.22187530328,38465.17098846922,183,1,660,109,0.0010471204188481676,0.004224559181515584,0.8836477987421384,0.6731476615869679,1.0,0.0010471204188481676,1.0,0.0010471204188481676,0.0,0.0,0.0,0.0
rizhao,11764,3.3748169838945827,17.426242832241147,16.23557714336181,12531.936327564443,8845.864659996121,140,9,891,972,0.004392386530014641,0.0019699875028665417,0.5053921568627451,0.7114110429447853,30.0,0.014641288433382138,4.0,0.0019521717911176184,2.0,1.0,0.0009760858955588092,0.0004880429477794046
roanoke,762,2.9935319935319935,70.87813886562944,59.97380980937876,28479.610436318664,15487.512260507487,666,11,2365,1261,0.002541002541002541,0.00457647023443305,0.7019453450671608,0.8716255358591125,24.0,0.005544005544005544,2.0,0.000462000462000462,0.0,0.0,0.0,0.0
robe,5369,3.1263399693721285,287.89182951744067,263.42322838693843,91655.69984542632,46734.39131431636,111,0,808,387,0.0,0.006160170731254383,0.7036753445635529,1.0218642117376295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
robertsganj,8573,2.635294117647059,155.66428090285567,121.78440800046943,97346.12313818563,48673.0615690929,37,0,121,12,0.0,0.0031981608693729996,0.9294117647058824,0.8208955223880597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rochester,564,2.888851802403204,82.60078096922824,66.9408198241943,30188.38204912133,17335.171455213724,568,26,1590,795,0.008678237650200267,0.0047649243725469605,0.7265993265993266,0.7565290648694187,17.0,0.005674232309746329,0.0,0.0,0.0,0.0,0.0,0.0
rochester,910,2.9016604071950978,56.4899386229139,48.94715278781243,24890.520479536986,13747.464149822146,1351,45,7024,1649,0.004447519272583514,0.004109116998398917,0.8314305569343791,0.8427585522069411,44.0,0.004348685510970548,5.0,0.0004941688080648349,0.0,0.0,0.0,0.0
rockford,628,2.9926671638081035,61.94685496495017,52.84653398948769,25177.766161906264,13668.018651710257,1182,18,4557,2255,0.0022371364653243847,0.004532248348753815,0.7148729446935725,0.8725936078748988,34.0,0.004225702212279393,0.0,0.0,0.0,0.0,0.0,0.0
rockingham,11609,2.7354933726067747,119.18427276665946,98.15588414008243,29342.94994798405,16441.65346992741,599,13,2500,259,0.003829160530191458,0.007248922560291964,0.9163217031342401,0.6160674656014203,18.0,0.005301914580265096,6.0,0.0017673048600883653,0.0,0.0,0.0,0.0
rogers,402,2.816861826697892,63.39938863619134,52.11518831686923,27168.964476370627,13954.549309982822,380,2,1385,365,0.000936768149882904,0.004543277409241488,0.8274730426629161,0.8528514433231635,3.0,0.001405152224824356,0.0,0.0,0.0,0.0,0.0,0.0
roha,6940,2.591549295774648,45.44657399773868,34.5649999419421,48792.05121211936,24396.025606059702,17,0,49,5,0.0,0.0018628679413441123,0.9295774647887324,0.8029197080291971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rohtak,6891,2.7848771266540644,232.94936733348877,193.66943620655644,55163.01836296561,31502.99479415119,892,0,3764,623,0.0,0.007394514993118619,0.8801512287334594,0.7947044917257683,10.0,0.001890359168241966,1.0,0.0001890359168241966,0.0,0.0,0.0,0.0
rondonopolis,1084,3.409676160749122,187.92430948043247,180.55544755972102,56413.19005334127,30645.24608072767,201,4,2425,2486,0.0007803355442840422,0.0061322499739564894,0.5126903553299492,1.0469772438714717,10.0,0.0019508388607101053,0.0,0.0,0.0,0.0,0.0,0.0
