city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,2way_int_prop,5way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,6way_int_count,6way_int_prop,7way_int_count,8way_int_count,7way_int_prop,8way_int_prop
unnamed,11500,3.289090909090909,21.235571591374757,18.880353651240465,12361.548617926122,9169.989505389085,61,5,200,282,2.0,0.00909090909090909,0.0036363636363636364,0.0023157683636273393,0.47889908256880737,0.6506912442396313,0.0,0.0,0.0,0.0,0.0,0.0
unnamed,11501,2.973333333333333,17.209198266092034,15.0523120834085,16755.856723297922,9177.143377068289,47,0,245,82,1.0,0.0,0.0026666666666666666,0.0018752238642249096,0.7786666666666666,0.8201342281879195,0.0,0.0,0.0,0.0,0.0,0.0
unnamed,11506,3.0620945319740502,55.05402490039561,47.24747642054341,24615.447229288384,16325.800548329453,153,5,548,368,5.0,0.004633920296570899,0.004633920296570899,0.003372209818282329,0.6527001862197392,0.703686420905273,0.0,0.0,0.0,0.0,0.0,0.0
unnamed,11524,2.7291666666666665,28.772707696510167,21.579530772382626,27610.88644010876,13912.078021792548,24,0,52,19,0.0,0.0,0.0,0.0020681818813436223,0.7916666666666666,0.8128342245989305,1.0,0.010416666666666666,0.0,0.0,0.0,0.0
unnamed,11544,3.037696335078534,18.324493059467546,15.76290162131161,11162.099520250564,7105.479198810313,267,2,1043,588,10.0,0.0010471204188481676,0.005235602094240838,0.0025789243127382114,0.6865828092243187,0.7706638677512464,0.0,0.0,0.0,0.0,0.0,0.0
unnamed,11554,2.8333333333333335,6.731903102283042,5.609919251902535,12439.928248068232,6255.914543570699,3,0,12,3,0.0,0.0,0.0,0.001076086167001997,0.8333333333333334,0.6774193548387096,0.0,0.0,0.0,0.0,0.0,0.0
unnamed,11556,2.28,2.2713476474318584,1.2719546825618409,5688.7608974822715,3476.4879133273143,11,0,11,2,1.0,0.0,0.04,0.0006533454751056427,0.88,0.5111111111111111,0.0,0.0,0.0,0.0,0.0,0.0
unnamed,11569,2.9327731092436973,82.46729600737297,68.2607450145062,58021.507135877524,40129.26815163535,41,4,123,70,0.0,0.01680672268907563,0.0,0.002055041116019263,0.7008547008547008,0.5442764578833693,0.0,0.0,0.0,0.0,0.0,0.0
unnamed,11589,3.426630434782609,11.420284351119854,10.396182765285737,10498.792716778524,7899.136319544738,33,3,111,216,5.0,0.008152173913043478,0.01358695652173913,0.0014457636745504418,0.39452054794520547,0.6289655172413793,0.0,0.0,0.0,0.0,0.0,0.0
unnamed,11590,3.098,13.503428398818071,11.585941566185905,13715.241610284262,7617.915380085206,71,1,255,158,11.0,0.002,0.022,0.0017725883952608352,0.6533066132264529,0.8318227593152064,4.0,0.008,0.0,0.0,0.0,0.0
unnamed,11592,3.1471774193548385,19.54442545723126,17.101372275077352,17132.97549282943,9725.776277043586,62,1,255,165,8.0,0.0020161290322580645,0.016129032258064516,0.0020095491506794474,0.6404040404040404,0.8314720812182741,4.0,0.008064516129032258,0.0,1.0,0.0,0.0020161290322580645
unnamed,11631,3.1846153846153844,19.620400369349852,17.50743417572756,17900.363142475868,10149.048008086738,56,4,272,174,5.0,0.007692307692307693,0.009615384615384616,0.00193322569306169,0.6356589147286822,0.8802336903602727,8.0,0.015384615384615385,1.0,0.0,0.0019230769230769232,0.0
unnamed,11660,2.9578544061302683,29.06055267204813,24.940857465665825,21002.062640863474,13149.815686021615,37,0,162,61,1.0,0.0,0.0038314176245210726,0.0022099589352373803,0.7624521072796935,0.7021276595744681,0.0,0.0,0.0,0.0,0.0,0.0
unnamed,11681,2.272727272727273,1.0976734359612645,0.5987309650697807,4660.369754438045,2330.184877219023,5,0,4,2,0.0,0.0,0.0,0.00047106710145303644,0.8181818181818182,0.5882352941176471,0.0,0.0,0.0,0.0,0.0,0.0
unnamed,11701,3.1875,12.38313488491251,10.990032210359852,12404.690393553692,6958.563121604273,45,0,201,148,2.0,0.0,0.005,0.0017795534320104896,0.615,0.8528301886792453,3.0,0.0075,1.0,0.0,0.0025,0.0
unnamed,11703,3.4641350210970465,11.863735365612406,11.112866038674913,13596.475413804896,8691.49467025816,15,0,86,135,0.0,0.0,0.0,0.0013649821826629532,0.42616033755274263,0.8038379530916845,0.0,0.0,0.0,1.0,0.0,0.004219409282700422
unnamed,11704,3.113899613899614,22.449475591560518,19.372423917813805,22657.376847929776,11637.140773161815,71,0,247,199,1.0,0.0,0.0019305019305019305,0.0019291229717985946,0.6138996138996139,0.9641125121241513,0.0,0.0,0.0,0.0,0.0,0.0
unnamed,11720,2.8703703703703702,9.245613350439207,7.533462729987502,11378.898577132306,6973.015906641945,10,2,28,13,1.0,0.037037037037037035,0.018518518518518517,0.0013259131305913938,0.7307692307692307,0.7575757575757576,0.0,0.0,0.0,0.0,0.0,0.0
unnamed,11757,3.1782608695652175,26.941657840548377,23.07611562864361,20722.686731042675,14584.389721774727,33,1,88,108,0.0,0.004347826086956522,0.0,0.001847294151796016,0.5283842794759825,0.5960264900662252,0.0,0.0,0.0,0.0,0.0,0.0
unnamed,11761,3.209230769230769,20.824656830972344,18.133470409738997,12387.644190842651,8716.670737188972,42,3,126,153,1.0,0.009230769230769232,0.003076923076923077,0.002389060853489123,0.5217391304347826,0.6087636932707355,0.0,0.0,0.0,0.0,0.0,0.0
