city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,6way_int_count,2way_int_prop,5way_int_prop,6way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient
daming,11052,3.080745341614907,51.46738812423709,45.28703923975313,28201.78410214217,18074.02262276243,58,1,281,131,11.0,1.0,0.002070393374741201,0.022774327122153208,0.002070393374741201,0.002847589006523597,0.7033195020746889,0.7539103232533889
damoh,7812,2.642857142857143,2.5738190618344503,1.6545979683221466,10159.097319218328,5079.548659609164,5,0,5,3,1.0,0.0,0.0,0.07142857142857142,0.0,0.0005067023143809174,0.7142857142857143,0.9130434782608695
damshir,3910,2.6103286384976525,186.57696953632794,146.57533444011992,63730.51860838815,31865.259304194067,137,0,477,25,0.0,0.0,0.0,0.0,0.0,0.005855184411186351,0.9608763693270735,0.7855459544383346
danane,1549,2.5528846153846154,129.92716005092743,93.07282138263551,43408.66271549866,21716.5521107001,177,0,372,75,0.0,0.0,0.0,0.0,0.0,0.005982863181439846,0.8798076923076923,0.7538213998390989
dancheng,11360,3.073529411764706,11.161240752416766,9.355745924819937,14090.165754211033,9091.81622888343,22,2,57,54,1.0,0.0,0.014705882352941176,0.007352941176470588,0.0,0.0012276139850868372,0.5895522388059702,0.6806083650190115
dandeli,7373,2.8641975308641974,28.59484590421753,25.77066359268987,20845.236334944504,10435.739848025794,8,0,68,5,0.0,0.0,0.0,0.0,0.0,0.0027400880359840537,0.9382716049382716,0.9299363057324841
dandong,11767,2.97583081570997,32.553136595210646,27.406266055988016,22340.330908342676,13074.560940172047,157,12,529,289,5.0,1.0,0.012084592145015106,0.005035246727089627,0.0010070493454179255,0.002489807248149343,0.6992864424057085,0.829330608073582
danfeng,10711,3.4313725490196076,24.915020609019408,22.71663643763534,27052.402306561573,16680.010291363138,9,5,40,31,15.0,2.0,0.049019607843137254,0.14705882352941177,0.0196078431372549,0.0014937053499253733,0.5051546391752577,0.9735449735449735
danghara,6064,2.7275204359673024,73.72535237847939,60.86861517896255,33690.87171290046,16883.121363820228,64,0,275,28,0.0,0.0,0.0,0.0,0.0,0.0043668081742555915,0.9237057220708447,0.8395061728395061
dangshan,11431,3.4112676056338027,16.391237539398308,14.95989003595789,12160.745426882304,9366.089708267522,31,0,118,204,2.0,0.0,0.0,0.005633802816901409,0.0,0.00175006198423763,0.4197183098591549,0.6212765957446809
dangtu,12092,3.2790697674418605,31.105634419830935,28.03124032019648,28133.05285943351,18355.510645914448,17,0,74,80,1.0,0.0,0.0,0.005813953488372093,0.0,0.001694621033425425,0.5290697674418605,0.7728613569321534
dangyang,11197,2.7746478873239435,9.28213450615298,7.451854462686196,12378.966836254462,6400.886155937057,28,0,90,24,0.0,0.0,0.0,0.0,0.0,0.0014501327285040776,0.8309859154929577,0.8172043010752689
danhai,12701,2.6821983273596177,186.07829845461058,138.5027239393338,54122.40141527607,31826.479574867302,428,9,913,316,7.0,1.0,0.005376344086021506,0.004181600955794504,0.0005973715651135006,0.005846650365991238,0.8054054054054054,0.6688721804511278
danjiangkou,10980,2.74,13.229825043307482,9.701871698425487,16225.897967996712,8145.055299811116,40,0,69,41,0.0,0.0,0.0,0.0,0.0,0.0016242768841132707,0.7266666666666667,0.8067796610169492
danli,369,3.0858843537414966,367.9186591573069,320.9902587545892,92536.97614826118,48327.214943449835,150,0,629,393,4.0,0.0,0.0,0.003401360544217687,0.0,0.007613073908517747,0.6624149659863946,0.9710268427780144
danyang,12185,2.9577586206896553,27.78274556753461,23.11237023506112,19129.865433178064,11876.361955978376,195,3,633,316,11.0,2.0,0.002586206896551724,0.009482758620689655,0.0017241379310344827,0.0023393313264209845,0.7156439066551427,0.7011693373754873
danzhou,11847,3.05078125,15.112990489441565,12.397375010870032,15054.704703108908,8815.682338076023,46,0,107,101,2.0,0.0,0.0,0.0078125,0.0,0.0017143302026851272,0.59765625,0.8264299802761341
daoukro,1683,3.0552763819095476,190.85834732974985,176.7917354662507,63155.1441400492,31985.47759901668,44,0,432,121,0.0,0.0,0.0,0.0,0.0,0.005967031342236933,0.7973199329983249,0.9915895710681245
dapu,12440,2.9195402298850577,39.251438054435766,34.06302957597587,25551.66653838019,12976.433157358744,23,0,119,32,0.0,0.0,0.0,0.0,0.0,0.0030248248943645084,0.8160919540229885,0.8396501457725948
daqing,10779,3.154260089686099,30.84852977683779,28.19251286331633,23938.735968922483,14532.934358090813,96,10,645,354,10.0,0.0,0.008968609865470852,0.008968609865470852,0.0,0.002122663532135457,0.6705882352941176,0.8507936507936508
