city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,2way_int_prop,5way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,6way_int_count,7way_int_count,8way_int_count,6way_int_prop,7way_int_prop,8way_int_prop
chenzhou,11887,2.920086393088553,45.64939632106141,38.74775972824435,22750.916756806688,14712.412167922335,140,2,583,194,7.0,0.0021598272138228943,0.00755939524838013,0.0031027812298918176,0.7824675324675324,0.6516549104720565,0.0,0.0,0.0,0.0,0.0,0.0
cheonan si,12492,3.1371204701273263,106.70830026549982,99.41325681933735,34649.87771350909,21316.94638985571,349,15,3380,1316,40.0,0.002938295788442703,0.007835455435847209,0.005005796717501718,0.7326129666011788,0.8446191646191646,4.0,0.0,1.0,0.0007835455435847208,0.0,0.0001958863858961802
cheongju si,12524,3.039055914582748,192.00021073338917,171.68886503484435,50933.513391080196,27799.60628494294,753,20,4590,1713,35.0,0.0028097780275358245,0.004917111548187693,0.006906580214316991,0.7527472527472527,0.9491931505884011,7.0,0.0,0.0,0.0009834223096375386,0.0,0.0
cherbourg,1823,2.7406601378309756,108.64182693246441,89.49060172782977,27090.26252760864,15974.685090000912,486,39,1950,268,14.0,0.014145810663764961,0.005077983315197679,0.006800874403493998,0.8962472406181016,0.664518504879396,0.0,0.0,0.0,0.0,0.0,0.0
cherepovets,3613,2.9332615715823467,22.70317233336451,19.281811594213778,12503.092191591913,7285.5691668234185,140,3,576,201,7.0,0.0032292787944025836,0.007534983853606028,0.003116183761832752,0.7732181425485961,0.6740660530590146,2.0,0.0,0.0,0.002152852529601722,0.0,0.0
cheria,2497,3.277667984189723,470.0838380388021,458.7033498649379,88175.50188795727,45581.09407318353,49,0,1316,658,1.0,0.0,0.0004940711462450593,0.01031313195958067,0.674407114624506,1.071976255255998,0.0,0.0,0.0,0.0,0.0,0.0
cherkasy,3592,2.9537869062901154,43.91728134171086,37.46217387877646,21547.089093142746,11360.523972391828,229,7,930,391,1.0,0.004492939666238768,0.0006418485237483953,0.0038657795580941483,0.7472598323662153,0.8750403616402971,0.0,0.0,0.0,0.0,0.0,0.0
cherkessk,4563,2.888700084961767,53.56774027224323,43.73712693426146,24078.471509830997,12648.551778987321,216,2,659,297,3.0,0.0016992353440951572,0.002548853016142736,0.0042350888234678205,0.7446808510638298,0.8498933901918977,0.0,0.0,0.0,0.0,0.0,0.0
chernihiv,3532,2.784073506891271,58.03319510798139,47.45746736242276,25093.75432577502,13112.68044876785,357,15,1286,296,5.0,0.007656967840735069,0.002552322613578356,0.004425730904884101,0.845164609053498,0.7862477465876899,0.0,0.0,0.0,0.0,0.0,0.0
chernivtsi,3413,2.7110638297872343,54.970171617563764,44.70127572815504,23945.32527951591,12414.141853953022,439,3,1707,200,1.0,0.001276595744680851,0.000425531914893617,0.0044280283135366034,0.9143587558585429,0.7649818724674771,0.0,0.0,0.0,0.0,0.0,0.0
chernogorsk,6358,3.1936305732484076,63.36958754349027,57.153717172982304,31954.789707633252,16588.89894187056,77,2,406,292,8.0,0.0025477707006369425,0.01019108280254777,0.00381999961332845,0.6168582375478927,1.0102498398462525,0.0,0.0,0.0,0.0,0.0,0.0
chervonohrad,3355,2.784565916398714,41.22073606663654,34.32852296224715,21098.941645351544,10889.362962769912,52,1,220,38,0.0,0.003215434083601286,0.0,0.003785412995008781,0.8774193548387097,0.7821138211382114,0.0,0.0,0.0,0.0,0.0,0.0
chester,1760,2.401736892891605,211.91251948271952,144.36497789141202,39392.009757826534,21011.249200977578,991,25,1952,136,4.0,0.008041170794467674,0.001286587327114828,0.010085669702725718,0.9542801556420234,0.6167450916761318,1.0,0.0,0.0,0.000321646831778707,0.0,0.0
chesterfield,1845,2.394300144300144,176.10533217606948,120.4529977654501,33721.30425413441,18115.238012430676,876,21,1782,92,1.0,0.007575757575757576,0.00036075036075036075,0.009721392126077836,0.9661941112322792,0.6197926141531744,0.0,0.0,0.0,0.0,0.0,0.0
chesterfield,484,2.88982241741455,106.05517085819633,95.68659200018668,34688.94567751864,18757.00571165423,512,101,4107,490,23.0,0.019285850677869008,0.004391827382088982,0.005654163169140659,0.8993380062305296,0.8347131586636798,4.0,0.0,0.0,0.0007637960664502578,0.0,0.0
chettia,2018,2.850296442687747,431.71907881007076,378.3940937791826,89809.7774677674,46546.80395022382,250,0,1577,197,0.0,0.0,0.0,0.009274945692764257,0.9026679841897233,0.8800395745733366,0.0,0.0,0.0,0.0,0.0,0.0
chetumal,363,3.4076222038111017,260.2899998334865,249.0222678605787,54010.15922297126,34420.46491948831,209,8,2251,2327,32.0,0.0016570008285004142,0.006628003314001657,0.007562071007533501,0.5103734439834025,0.8183705241307733,1.0,0.0,0.0,0.00020712510356255177,0.0,0.0
cheyenne,312,3.127127474817645,79.79896283160406,70.87389647808669,30963.96447480711,16794.01269768865,322,6,1554,981,13.0,0.0020840569642236887,0.0045154567558179926,0.004751631683748026,0.6529759832927253,0.9548859083783313,3.0,0.0,0.0,0.0010420284821118443,0.0,0.0
chhapra,8821,2.6908212560386473,73.53545649912488,59.325706450984804,55429.42282825991,27714.711414129968,40,0,151,16,0.0,0.0,0.0,0.002653300458385211,0.9227053140096618,0.8264058679706602,0.0,0.0,0.0,0.0,0.0,0.0
chhatarpur,7768,2.5074626865671643,262.7007018182193,188.91637986927574,52736.298656890285,26368.14932844505,414,0,959,100,1.0,0.0,0.0006784260515603799,0.009962803932349808,0.9314789687924017,0.7505946313285763,0.0,0.0,0.0,0.0,0.0,0.0
