city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,2way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,5way_int_count,6way_int_count,7way_int_count,8way_int_count,5way_int_prop,6way_int_prop,7way_int_prop,8way_int_prop
tshela,3046,2.7364341085271318,66.4008314198693,56.10612887415313,40676.560470826305,20357.309993068917,20,0,103,6,0.0,0.0032617684479175728,0.9534883720930233,0.8695652173913043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tshikapa,3434,3.0979046242774566,182.3637246241298,165.82712965279433,62714.208874329925,31358.774402667066,251,0,1744,773,0.0,0.005815397065027508,0.7207369942196532,1.042668595190743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tsuchiura,12989,2.9837551606533834,205.65975646354474,184.2299433910106,51146.08488951734,26865.90690670189,1161,5,7883,2046,0.00044875246813857474,0.0076550461213815,0.8120678818353237,0.9324621671381741,43.0,3.0,0.0,1.0,0.003859271225991743,0.00026925148088314486,0.0,8.975049362771496e-05
tual,13038,2.8396039603960395,221.55466448404226,186.45689585290685,63276.86549114248,34715.63553305445,160,0,692,158,0.0,0.00638198497829859,0.8435643564356435,0.8099255583126551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tuanfeng,11672,2.8378378378378377,14.050647583274255,10.253175263470402,18327.83540400373,11221.247223711713,20,0,26,28,0.0,0.0012521466912861264,0.6216216216216216,0.7482517482517482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tuban,12570,2.579809337570276,345.7983857844992,261.1027166189973,72043.52327394334,37022.29465258989,1002,2,2800,287,0.0004888780249327792,0.009340274259858956,0.929811689899731,0.7398751988254008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tubarao,1277,2.9298986486486487,187.21114019650634,154.00646161435571,50388.247667350646,27167.422659269752,420,1,1285,651,0.0004222972972972973,0.00689101585176054,0.7203210815378116,0.8371748784098118,9.0,2.0,0.0,0.0,0.003800675675675676,0.0008445945945945946,0.0,0.0
tubingen,2516,2.7455357142857144,129.76862909006203,104.8576868986662,36066.572972125985,20919.383522188386,258,22,880,174,0.01636904761904762,0.006203272144823075,0.8608169440242057,0.6676771504357711,8.0,2.0,0.0,0.0,0.005952380952380952,0.001488095238095238,0.0,0.0
tucupita,971,2.8845108695652173,314.3737749182301,261.4086280570065,94335.18000284293,48884.79737469108,124,1,447,164,0.001358695652173913,0.006430910872118895,0.7768707482993197,0.8689419795221843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tucurui,1143,3.09748427672956,205.46956556721085,180.91659861263847,56258.507689388796,29250.87556751464,190,0,865,535,0.0,0.007024390264590941,0.6635220125786163,0.9502362204724409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tudun wada,2460,2.7869674185463658,246.47705146067707,215.59020290670753,82092.5844842154,41167.54721442382,50,0,334,15,0.0,0.005987168732129837,0.9624060150375939,0.8701134930643127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tudun wada,2719,3.081924577373212,391.8966771601589,376.60812018381984,92633.73670271758,46327.05358801628,30,0,619,118,0.0,0.008459348195231078,0.8439531859557867,1.0358773646444879,1.0,1.0,0.0,0.0,0.0013003901170351106,0.0013003901170351106,0.0,0.0
tufanganj,9694,2.769230769230769,19.74425864905819,15.1878912685063,23118.295776819807,11559.1478884099,12,0,29,10,0.0,0.001708106760088719,0.7884615384615384,0.9393939393939394,1.0,0.0,0.0,0.0,0.019230769230769232,0.0,0.0,0.0
tuga nama,2323,2.8772727272727274,73.82106736775246,62.07680665015548,33275.80109218593,16667.095436035677,35,0,143,41,0.0,0.0044291500970316065,0.8090909090909091,0.9356321839080459,1.0,0.0,0.0,0.0,0.004545454545454545,0.0,0.0,0.0
tuguegarao,12813,2.5434782608695654,166.29410122024538,119.40749033601283,48355.61211294991,24962.074726872313,428,0,927,163,0.0,0.0066618701786524785,0.8926218708827405,0.7172550313427911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tujmazy,5093,2.8525280898876404,63.313755003730535,53.17644029807705,30295.735899070354,15414.233318564588,114,1,476,120,0.0014044943820224719,0.004107486483124447,0.829817158931083,0.884968242766408,0.0,0.0,1.0,0.0,0.0,0.0,0.0014044943820224719,0.0
tukh,3917,2.750777325998565,552.7089526801248,462.0229106952968,149336.39239821848,76663.41728621288,686,3,3159,333,0.0007175316909830184,0.007209552772956336,0.9202967927237913,0.8160699317447012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tukurwa,2644,3.0232558139534884,66.14610892289599,62.300404915750875,41215.526637017894,20607.763318508933,5,0,69,12,0.0,0.0032097665283008486,0.8604651162790697,1.0119760479041917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tula,3743,2.892318014089232,40.246671292268495,33.82016490678718,19592.658551196742,10188.556450932489,476,12,1853,637,0.004025494800402549,0.003950183864229853,0.7844392051195689,0.8683633912017529,3.0,0.0,0.0,0.0,0.0010063737001006373,0.0,0.0,0.0
tulancingo,186,2.911442168425409,456.56824485296136,382.12674331268954,90547.2639819373,49897.857248497174,788,2,2925,1090,0.0004138216428719222,0.00915005713730748,0.768577934175119,0.8186807497152325,24.0,4.0,0.0,0.0,0.004965859714463066,0.0008276432857438444,0.0,0.0
