city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,2way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,5way_int_count,5way_int_prop,6way_int_count,7way_int_count,8way_int_count,6way_int_prop,7way_int_prop,8way_int_prop
kafr al sharaqwah,3933,2.7032898820608318,412.71878807563985,334.3252752568032,117921.61939284393,61300.41630744742,306,0,1171,134,0.0,0.0067327240651300175,0.9168218497827436,0.7998134908299658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kafr al sheikh,3850,2.936851851851852,433.31539813136186,385.16924278343276,73670.49215087907,40007.24093268806,600,2,3940,855,0.00037037037037037035,0.01083092430343828,0.8410522415709522,0.8639607079974052,3.0,0.0005555555555555556,0.0,0.0,0.0,0.0,0.0,0.0
kafr al shurafa al qibli,3964,2.7719298245614037,266.52235541599316,224.0502256786492,106815.74403157172,53407.87201578582,109,0,513,62,0.0,0.004990319691771597,0.9093567251461988,0.8473954512105649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kafr al zaiyat,3840,2.822841726618705,301.9842654449465,258.8048605836637,82616.19732974934,43835.85936188598,477,0,2496,363,0.0,0.006888977878862189,0.8911870503597122,0.8446077696115194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kafr awn,3901,2.6932367149758454,443.5879421781763,360.5491365771892,154408.77215907836,78961.29434173345,155,0,617,56,0.0,0.005617789650944546,0.9323671497584541,0.7861901877649909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kafr dinshawai,3848,2.627237354085603,413.9288824972265,323.73426218654674,136595.89535201152,68297.94767600574,280,0,924,81,0.0,0.006060634273533916,0.9369649805447471,0.7820662768031189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kafr haggag,4003,2.8721070234113713,584.9907487161993,509.31368463478594,100754.8827774523,51350.81277804012,967,0,5531,976,0.0,0.01139204458641728,0.8692976588628762,0.9019739043158247,1.0,0.00013377926421404682,0.0,0.0,0.0,0.0,0.0,0.0
kafr ismail,3980,2.8665097511768662,630.6107415744639,543.8858615126093,93126.223906342,46841.99255627051,409,0,2146,417,0.0,0.013462508897693062,0.8591123066577001,0.9187279151943463,2.0,0.0006724949562878278,0.0,0.0,0.0,0.0,0.0,0.0
kafr sarawa,3904,2.636029411764706,488.4419501096674,383.39101598681617,135813.39153177378,69283.83045914865,234,0,782,72,0.0,0.007049869311103751,0.9338235294117647,0.7871948410870566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kafue,3792,2.8225225225225223,168.52290372635474,144.38313643582285,61278.19379914118,30768.963381986032,159,0,830,121,0.0,0.005477041967069257,0.890990990990991,0.8948081264108352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kagal,7253,2.793181818181818,410.91502658130236,353.9472615325309,127846.17205345235,71577.95061372854,61,3,343,32,0.006818181818181818,0.00574080457819771,0.9244851258581236,0.8158803222094362,1.0,0.0022727272727272726,0.0,0.0,0.0,0.0,0.0,0.0
kaghaznagar,8178,2.8645833333333335,190.43606147381252,162.00289951765302,55099.659811044054,27565.638743569627,86,0,396,94,0.0,0.006908458144044875,0.8368055555555556,0.9241499564080209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kagoshima,12811,3.083583318628316,209.0486837895892,193.99806388732128,50894.06016705187,26939.943253945257,1224,13,11954,3752,0.0007646609022998647,0.007759804162132925,0.7757240404991759,0.9752141532483589,47.0,0.0027645432621610493,9.0,1.0,1.0,0.0005293806246691371,5.88200694076819e-05,5.88200694076819e-05
kahalgaon,9384,2.5217391304347827,32.53147825201864,21.923387517664736,32685.31395502405,16342.656977512024,15,0,23,8,0.0,0.0019905868609237107,0.8260869565217391,0.8160919540229885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kahama,4439,2.927299703264095,199.6604592380341,173.4439152579658,69214.11957814898,34659.03749418442,177,0,919,248,0.0,0.005760704095476855,0.8130563798219584,0.9271646228167967,4.0,0.002967359050445104,0.0,0.0,0.0,0.0,0.0,0.0
kahinda,3531,2.5,23.99029267968634,16.79320487578044,16201.421495887882,8100.71074794393,33,0,66,11,0.0,0.0029615046662140607,0.9,0.7488372093023256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kahk al qibliya,3849,2.5264054514480407,273.2857482190836,201.58897611390663,78407.6775001511,39203.838750075556,154,0,403,30,0.0,0.0069708925689976435,0.948892674616695,0.7425149700598802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kahnuj,5940,2.697142857142857,288.8853829467439,229.2217079381511,72565.74498559357,40481.35259630804,253,0,841,127,0.0,0.007136258163791956,0.893061224489796,0.6785276073619632,4.0,0.0032653061224489797,0.0,0.0,0.0,0.0,0.0,0.0
kahramanmaras,4372,3.088848411252783,599.6642555928764,568.2914140485011,130050.01245282165,73107.86315996927,517,10,7470,1849,0.0010119409026512851,0.008202459074487446,0.8090559157212318,0.9138760828816049,35.0,0.003541793159279498,1.0,0.0,0.0,0.00010119409026512852,0.0,0.0
kahror pakka,6381,2.552380952380952,44.94613070507314,31.67632068738488,26341.93881942624,13170.969409713114,62,0,118,30,0.0,0.003412515002269081,0.8571428571428571,0.7879518072289157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
