city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,2way_int_prop,5way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,6way_int_count,6way_int_prop
yuanyang,11041,2.9885714285714284,56.63399727431455,47.89618055199173,28902.966464690668,18554.292064782134,135,2,479,256,3.0,0.002285714285714286,0.0034285714285714284,0.0030523394304982103,0.7033218785796106,0.7156806433084434,0.0,0.0
yuba city,55,2.826183844011142,83.9982173861993,69.07040048023964,29429.756672743497,15590.197413794407,319,7,1146,313,10.0,0.0038997214484679664,0.005571030640668524,0.005387886705775553,0.819351230425056,0.8280593671240549,0.0,0.0
yucheng,11155,3.0610328638497655,7.902238501902931,6.900546297436363,10123.416023890772,5156.896596153166,27,0,120,65,1.0,0.0,0.004694835680751174,0.0015323631867657922,0.6901408450704225,1.004750593824228,0.0,0.0
yucheng,11362,3.0,7.299940788679649,6.220819106874831,11374.414610219692,7132.516773646769,17,1,63,33,1.0,0.008695652173913044,0.008695652173913044,0.0010234733433297316,0.7017543859649122,0.757847533632287,0.0,0.0
yueqing,12602,3.010770059235326,18.68059679498517,15.98463559893992,16615.36385893606,10548.915617154586,268,7,1024,553,5.0,0.003769520732364028,0.0026925148088314485,0.00177085469947327,0.6983783783783784,0.7883626522327469,0.0,0.0
yueyang,11537,2.7096227214921575,55.5374966614155,43.365862166310876,24472.970822015952,15867.758415672075,517,6,1492,333,11.0,0.002543450614667232,0.0046629927935565915,0.0035000215661566227,0.8538036549086273,0.6385875345671134,0.0,0.0
yueyang,11563,2.727272727272727,39.00972170786215,29.38394622150655,29644.844760148026,17410.94184794543,38,0,82,34,0.0,0.0,0.0,0.0022405290907605594,0.7792207792207793,0.7029702970297029,0.0,0.0
yugan,12139,3.141509433962264,12.952243513107266,11.241569841564797,16104.758244327351,8052.379122163672,14,0,50,41,1.0,0.0,0.009433962264150943,0.0016084989686410843,0.6037735849056604,1.038647342995169,0.0,0.0
yugorsk,5380,3.080508474576271,45.339685600725545,41.40128070744218,24055.24117693332,12404.676796873036,41,1,315,109,6.0,0.00211864406779661,0.012711864406779662,0.00365504771653178,0.7558386411889597,0.9338313767342583,0.0,0.0
yuhuan,12630,2.7027027027027026,51.78039055535051,39.88489542776998,26621.484485476027,15014.007534239798,238,6,622,166,4.0,0.005791505791505791,0.003861003861003861,0.0034488054196898533,0.8349514563106796,0.7250608272506083,0.0,0.0
yuksekova,5131,2.7801204819277108,675.8728425587107,569.3346535208416,233456.915133607,126667.3631497403,157,0,745,93,1.0,0.0,0.001004016064257028,0.005335808891511581,0.9056224899598394,0.7911424257674887,0.0,0.0
yulin,10296,3.050251256281407,42.79757202351668,36.91917854624973,21386.75516262986,12473.685427425815,82,1,323,187,4.0,0.0016750418760469012,0.006700167504187605,0.0034310286460662153,0.6795302013422819,0.7801179443976411,0.0,0.0
yulin,11689,2.9413841807909606,22.981989648072744,18.340147106159748,13486.308466695145,8936.663726990173,286,7,637,477,8.0,0.0049435028248587575,0.005649717514124294,0.0025716520560870398,0.6550745209368346,0.6605047991468184,1.0,0.0007062146892655367
yuma,60,2.925046554934823,77.07100003782887,64.2258333648574,29793.500242558348,15447.148290646199,358,9,1230,540,9.0,0.004189944134078212,0.004189944134078212,0.004989335156735572,0.7424029920523609,0.8921132693657852,2.0,0.000931098696461825
yumurtalk,4294,2.7522935779816513,91.37556501505652,74.60940629669753,41881.83094614332,24255.44840749768,20,1,74,14,0.0,0.009174311926605505,0.0,0.0037672181309503696,0.8703703703703703,0.8104265402843602,0.0,0.0
yun,10302,2.749271137026239,63.057577527300715,50.1886841543822,29869.44534058082,16983.333756011998,70,4,213,55,0.0,0.011661807580174927,0.0,0.003712909281134437,0.8348082595870207,0.8098068350668648,1.0,0.0029154518950437317
yunan,11876,2.798449612403101,44.38210138767975,36.12496624578584,33888.52566521876,17637.267154727295,24,0,83,22,0.0,0.0,0.0,0.0025163819881122607,0.8294573643410853,0.8063241106719368,0.0,0.0
yuncheng,10654,2.9005649717514124,15.894607722235516,12.787526212691173,10958.892632867959,7512.794568255787,173,7,449,248,7.0,0.007909604519774011,0.007909604519774011,0.0021156718153050335,0.7084282460136674,0.6270702455739577,1.0,0.0011299435028248588
yundum,1457,3.2721758908263836,261.1619202995454,250.66792350206552,80141.48653070944,40225.34755817323,53,0,804,459,3.0,0.0,0.002274450341167551,0.006492471442834828,0.6497346474601972,1.0865932396505886,0.0,0.0
yunfu,11975,3.061963775023832,66.52662601339466,59.23343059724558,27228.585032203802,19502.11647747753,115,5,633,292,4.0,0.004766444232602479,0.0038131553860819827,0.00341125159878029,0.7164750957854407,0.6361017762842055,0.0,0.0
