city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,2way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,5way_int_count,5way_int_prop,6way_int_count,6way_int_prop
melitopol,3825,2.8940719144800777,30.44949578984106,25.981202432925606,19111.390781287213,9610.350193783433,151,0,685,193,0.0,0.0031684064759198547,0.8124392614188533,0.9050170482221139,0.0,0.0,0.0,0.0
mellit,3621,3.4303621169916436,391.5147952831031,365.613746848636,133689.6497906978,66844.82489534903,95,0,535,804,0.0,0.005857069651929692,0.4387186629526462,1.1981164980816184,2.0,0.001392757660167131,0.0,0.0
melun,2065,2.880522713130056,92.64212222176305,81.80408925493576,25214.322929183738,15176.815555947389,188,25,1195,192,0.015556938394523958,0.006104187132027118,0.8742098609355247,0.6134852801519468,4.0,0.002489110143123833,3.0,0.001866832607342875
memphis,443,2.8155339805825244,75.84346192083206,61.49702066105007,29520.174448330148,15981.662731474298,3507,60,11406,3487,0.003236245954692557,0.004745655267237363,0.8069805194805195,0.8174807197943444,73.0,0.003937432578209278,7.0,0.0003775620280474649
mendoza,966,3.11973720229948,243.68558724736775,219.7372911012399,66290.36771300127,38075.64247669936,1795,28,10710,5661,0.0015329865863673692,0.006400038749089862,0.6856939189559687,0.858592229016425,69.0,0.0037777169449767314,2.0,0.00010949904188338352
mengcheng,11610,3.0357142857142856,6.520872884011339,5.356431297580743,11925.440178409712,6390.853898241991,15,0,36,33,0.0,0.0010203445404697977,0.6071428571428571,0.7791411042944786,0.0,0.0,0.0,0.0
mengjin,10866,2.875968992248062,17.861691507590024,14.538586110829089,16237.160003344894,10433.905155680559,24,0,73,32,0.0,0.0017118893876340762,0.751937984496124,0.616600790513834,0.0,0.0,0.0,0.0
mengshan,11635,2.8045977011494254,86.17168998125452,69.33354366307834,35580.32050763591,18172.5981377883,51,0,160,49,0.0,0.00474184755134535,0.8084291187739464,0.8936170212765957,1.0,0.0038314176245210726,0.0,0.0
mengzhou,10897,3.310077519379845,12.138604086114604,11.2917247312694,10653.419999309303,8298.70300540522,18,0,124,116,0.0,0.0014627109896821625,0.5503875968992248,0.5616438356164384,0.0,0.0,0.0,0.0
mengzi,10659,3.18970189701897,28.28910287200885,25.29919769041442,20530.027764370596,12795.878882917425,39,2,180,146,0.005420054200542005,0.002210797955408516,0.5967302452316077,0.7750342935528121,2.0,0.005420054200542005,0.0,0.0
menongue,3318,3.019681349578257,178.0211743618809,163.83954378947237,64456.05577647457,32571.093335905905,170,0,1582,382,0.0,0.00546561862464816,0.8209934395501406,0.9570724841660803,0.0,0.0,0.0,0.0
merauke,13063,2.566265060240964,238.1173660573974,176.9742773333217,74542.6753329594,38819.81982884542,341,0,881,106,0.0,0.006133912189887654,0.9201807228915663,0.7031308940022633,0.0,0.0,0.0,0.0
merca,5742,2.8718159408381267,468.8389784027828,401.4217054196382,79035.99585790164,39517.99792895073,175,0,849,192,0.0,0.011863935497079248,0.8414133114215283,0.937834499794154,1.0,0.0008216926869350862,0.0,0.0
merced,39,2.747829861111111,89.25334871957557,66.90127310707769,32324.08431119776,17235.41685376702,577,3,1157,560,0.0013020833333333333,0.005178485062290101,0.7535853976531942,0.7913856863171633,5.0,0.002170138888888889,2.0,0.0008680555555555555
mersin,4182,3.093233186328556,218.3574859528486,207.4486396659264,50440.18531785927,28401.793136288445,725,7,11005,2740,0.0004823594266813671,0.007688158452004825,0.8086866597724922,0.9136700568867436,35.0,0.0024117971334068357,0.0,0.0
merta city,6670,2.7613293051359515,130.29090650742614,108.24773199257459,41897.659008064846,20971.13463805856,112,0,485,64,0.0,0.006212868724373801,0.9018126888217523,0.8642911296436695,1.0,0.0015105740181268882,0.0,0.0
meru,11143,2.5134276638752526,210.85144758081447,152.095557625433,53913.9849294315,30196.994777236792,965,17,2228,246,0.004909038406006353,0.006982530849055193,0.9265815438189204,0.592710904602875,5.0,0.0014438348252959862,2.0,0.0005775339301183945
meru,4995,2.4475043029259895,373.34915412039203,265.3927722060618,166969.32051768896,83707.94939950634,168,0,398,15,0.0,0.004460139769265376,0.9741824440619621,0.6551426101987899,0.0,0.0,0.0,0.0
meshginshahr,5458,2.689149560117302,251.41654980531018,196.70948823477053,51968.05550539205,28697.687859268004,371,0,1128,200,0.0,0.008760864326012746,0.8791788856304985,0.718942731277533,6.0,0.0035190615835777126,0.0,0.0
messaad,2128,3.1579565472695243,411.92737150759524,390.6416353404382,87162.59917337618,44990.98302121293,88,0,1172,441,0.0,0.009155776198830205,0.739870816206694,1.0079388415172008,2.0,0.0011743981209630064,0.0,0.0
