city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,6way_int_count,7way_int_count,2way_int_prop,5way_int_prop,6way_int_prop,7way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient
yangon,10248,2.957755598722844,237.400455556978,207.64257587097816,62956.42880123279,32955.964915483564,5614,55,29790,9272,51,3,2.0,0.0012280349208475673,0.0011387232902404715,6.698372295532186e-05,4.4655815303547905e-05,0.007203565611439315,0.7914691943127962,0.9096792944253792
yaounde,2961,2.5634147273491537,173.87539210421144,126.71395937251772,40007.30266122188,20501.52417094347,7098,6,16361,2633,69,2,0.0,0.00022927891780350797,0.0026367075547403416,7.642630593450266e-05,0.0,0.008481095876307706,0.8966479379276077,0.735689302574492
yazd,5878,2.5629234079859726,751.6552303031579,555.1597209866393,118382.94295318397,66270.0305417138,6560,10,16403,2081,39,1,0.0,0.0003985016338566988,0.0015541563720411255,3.985016338566988e-05,0.0,0.011342310002860598,0.9154441077977994,0.6561409804038834
yogyakarta,12394,2.7545157734056986,358.059240509753,294.19871301678535,73831.86542636281,37577.69473390805,33650,42,133975,20985,19,1,0.0,0.00022260854816824965,0.0001007038670284939,5.300203527815468e-06,0.0,0.009528504689955341,0.8886444361978476,0.8529747783329578
