city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,2way_int_prop,5way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient
muscat,5966,2.7421875,361.36226657387346,300.8663514108366,79643.47061673882,49708.30192159179,300,7,1341,143,1.0,0.00390625,0.0005580357142857143,0.0072696562265167335,0.9193277310924369,0.6131837307152875
muse,10196,2.9801432291666665,122.01418447233016,104.45875819082953,37706.833302512234,20453.025449536766,442,4,1811,803,12.0,0.0013020833333333333,0.00390625,0.005965581217965658,0.734354628422425,0.8992007829065405
musiri,8373,2.715867158671587,147.76615002194575,119.41249761921078,71327.37274959835,35908.62676212464,104,0,385,52,1.0,0.0,0.0018450184501845018,0.0041150598991383635,0.9022140221402214,0.809082483781279
musoma,4537,2.602543720190779,495.6430741874781,366.6760633628614,123241.65486196952,61673.766812956674,491,0,1172,216,8.0,0.0,0.0042395336512983575,0.008036529951067484,0.881293057763646,0.7779251790925975
mutare,4329,2.917971662938106,156.2311407789426,136.30904900176202,58215.9176448325,29726.205989682843,171,0,938,232,0.0,0.0,0.0,0.005255670395110839,0.8269947800149142,0.8954053044452746
mutubis,3806,2.7963446475195823,771.4588622031356,656.6464466794314,108386.85257960828,55528.17928538301,228,0,1160,144,0.0,0.0,0.0,0.01389310566511247,0.9060052219321149,0.8558352402745996
mutum biyu,2922,2.904255319148936,90.65990868150534,78.12183620427588,66185.39638359638,33146.17499984784,13,0,64,17,0.0,0.0,0.0,0.0027351544690125337,0.8191489361702128,0.9344262295081968
muvattupuzha,7972,2.4337050805452294,187.40119773226144,129.11408418728297,83229.38765476969,41903.91866474744,251,1,510,44,1.0,0.0012391573729863693,0.0012391573729863693,0.004472164029134504,0.9441687344913151,0.6608587429993777
muyuka,2832,2.4583333333333335,152.6565934048623,106.1746178488946,54258.897393298415,27129.448696649237,95,0,196,21,0.0,0.0,0.0,0.005626969980547999,0.9326923076923077,0.7189014539579968
muzaffarabad,6339,2.606060606060606,64.27836747927324,50.921823587476204,53449.41957095718,26899.02562241843,48,3,172,8,0.0,0.012987012987012988,0.0,0.0023896169467827037,0.9649122807017544,0.7649667405764967
muzaffargarh,6324,2.6804347826086956,37.3311642049335,28.079527858493464,22718.350593045423,12581.148183607016,114,0,266,79,1.0,0.0,0.002173913043478261,0.00296723030840502,0.8260869565217391,0.780327868852459
muzaffarnagar,7030,2.712514092446449,133.36603615421234,102.24228250830257,38104.44241385738,20260.549570496143,621,1,1565,470,4.0,0.0003757985719654265,0.001503194287861706,0.006582547807509767,0.8218045112781955,0.8500470366886171
muzaffarpur,8913,2.4968304278922346,151.70709509138925,106.50751683912114,74151.43132459075,39843.40803381824,752,1,1540,227,4.0,0.0003961965134706815,0.001584786053882726,0.003807583301173019,0.9084423305588585,0.6873636183296965
mwadingusha,3749,2.4705882352941178,28.66269658843174,20.232491709481227,25164.849468385404,12582.424734192702,15,0,33,3,0.0,0.0,0.0,0.0022779946786044302,0.9411764705882353,0.7422680412371134
mwanza,4470,2.6674157303370785,203.78082754130537,162.0433739389449,68489.23182198484,34585.05837630737,1276,1,4472,481,0.0,0.00016051364365971107,0.0,0.005892163758234575,0.922780542623214,0.7910543644101823
mweka,3457,3.1176470588235294,174.54627654646214,151.56679476023322,76256.38552049806,38152.81649729578,47,0,174,136,0.0,0.0,0.0,0.004574925066379666,0.6190476190476191,1.0493653032440056
mwene ditu,3538,2.960559796437659,368.5445697486447,320.7181752011106,117793.82902081496,58896.91451040785,204,0,1024,342,2.0,0.0,0.001272264631043257,0.006257451223247324,0.7811704834605598,0.941382605925454
myan aung,10180,2.6898395721925135,172.2532310863523,128.95963824646697,80236.30484820537,40118.15242410266,47,0,104,36,0.0,0.0,0.0,0.004293648153718664,0.8074866310160428,0.8401084010840109
myaungmya,10191,2.6240601503759398,563.3573625634378,415.9525789754105,225383.31275723016,112970.75335829888,174,0,393,98,0.0,0.0,0.0,0.004986754056394486,0.8526315789473684,0.8015094339622642
myawaddy,10403,2.7482517482517483,251.4741773154583,194.41865301389353,71175.64167355339,37147.27209907076,292,0,735,260,0.0,0.0,0.0,0.006769653950491532,0.797979797979798,0.8131568703775788
