city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,6way_int_count,7way_int_count,8way_int_count,9way_int_count,2way_int_prop,5way_int_prop,6way_int_prop,7way_int_prop,8way_int_prop,9way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient
sarnia,812,3.0433145009416194,51.574304745767265,44.678305429478236,21954.4561229459,11952.593316055783,426,13,1768,965,10.0,2.0,0.0,0.0,2.0,0.004080351537978657,0.003138731952291274,0.0006277463904582549,0.0,0.0,0.0006277463904582549,0.004314905006973515,0.6914591868893791,0.9091625926510014
sarpol e zahab,5440,2.930122757318225,348.9293966305178,306.7547386808423,76478.12966733397,41855.50517951544,128,1,750,177,3.0,0.0,0.0,0.0,0.0,0.0009442870632672333,0.0028328611898017,0.0,0.0,0.0,0.0,0.008336523358969937,0.8298676748582231,0.8465182378019895
sarwar,6841,2.8658536585365852,79.19598738846574,71.46954959446909,46573.854415169495,23286.927207584762,8,0,69,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003400877525939571,0.9390243902439024,0.9245283018867925
saryagash,6006,2.3971119133574006,132.03443330382353,86.51353662326343,44214.03368281839,22284.137577911344,382,1,628,97,0.0,0.0,0.0,0.0,0.0,0.0009025270758122744,0.0,0.0,0.0,0.0,0.0,0.005925041202164347,0.912375790424571,0.6690810321412404
sar hpo su,10326,2.5977528089887643,335.6671515494055,230.81831095307433,82368.0362448829,41177.559735584065,139,2,203,101,0.0,0.0,0.0,0.0,0.0,0.0044943820224719105,0.0,0.0,0.0,0.0,0.0,0.00815170091925906,0.7720090293453724,0.8013620885357549
sasaram,8760,2.3945945945945946,20.112786636130746,13.263567403286222,20332.096244175602,10166.04812208779,63,0,108,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019784272506473445,0.9243243243243243,0.6684931506849315
sasebo,12738,2.86381135707411,100.94494853418446,85.15711972109015,39865.12010150729,20681.308956561723,325,8,1381,355,7.0,2.0,0.0,0.0,0.0,0.0038498556304138597,0.003368623676612127,0.0009624639076034649,0.0,0.0,0.0,0.00488097483317935,0.8241545893719807,0.8623941958887545
saskatoon,462,3.1196551724137933,81.80926657356088,73.76939037581438,31465.95048459581,18451.601745348053,570,17,3411,1756,43.0,3.0,0.0,0.0,0.0,0.0029310344827586207,0.007413793103448276,0.0005172413793103448,0.0,0.0,0.0,0.004433721673739588,0.6883970257651738,0.825966611884785
sasolburg,3669,3.01,139.70997680322623,133.5394528277504,50175.12322891355,27337.07805525782,106,6,2048,239,0.0,1.0,0.0,0.0,0.0,0.0025,0.0,0.0004166666666666667,0.0,0.0,0.0,0.0051106404466791724,0.899749373433584,0.8858457035333472
sassari,2556,2.9614643545279384,205.9121532922533,186.27313289154705,44449.79055080551,28913.28682401714,198,19,1531,321,7.0,0.0,0.0,0.0,0.0,0.009152215799614644,0.003371868978805395,0.0,0.0,0.0,0.0,0.007121713783201227,0.8405444822557122,0.5668045753224629
satana,7024,2.71875,94.89922390156329,78.29185971878971,54773.892533093785,27386.94626654693,28,0,121,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034651261582048817,0.93125,0.8603174603174604
satara,7139,2.616733708769107,675.2864509264299,516.4338698718135,119493.36336176064,62143.07625065242,1462,1,4214,534,3.0,1.0,0.0,0.0,0.0,0.00016090104585679806,0.0004827031375703942,0.00016090104585679806,0.0,0.0,0.0,0.010866640206266587,0.913421306726746,0.7788778877887789
