city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,2way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,5way_int_count,5way_int_prop,6way_int_count,6way_int_prop,7way_int_count,7way_int_prop
lucheng,10781,2.9411764705882355,19.104438027177935,16.257502164304363,15087.276070451748,11735.776940488073,38,0,156,61,0.0,0.0016278801245163588,0.7607843137254902,0.4910891089108911,0.0,0.0,0.0,0.0,0.0,0.0
luchuan,11748,2.77720207253886,21.683960568502293,16.8528190946909,18348.13074677464,9582.615402381347,43,0,107,43,0.0,0.0022628436661575376,0.7772020725388601,0.8556430446194225,0.0,0.0,0.0,0.0,0.0,0.0
ludhiana,6659,2.8770032051282053,156.75776646258655,135.94622605331585,41299.62899581552,21712.1346519423,2651,6,14486,2798,0.00030048076923076925,0.007219822876723154,0.8584811141168219,0.8957388712142088,27.0,0.0013521634615384615,0.0,0.0,0.0,0.0
ludian,10448,3.01,30.030572544317238,27.027515289885514,28446.50879243777,15751.373744046963,10,0,70,19,0.0,0.001906536727037343,0.8,0.7076923076923077,1.0,0.01,0.0,0.0,0.0,0.0
luena,3399,3.1387327542156362,237.83599465036403,222.6446306588998,73852.3536193835,37429.454545637775,250,0,2624,1037,0.0,0.00635424687689131,0.7342871742462953,1.0139332736801738,3.0,0.0007664793050587634,0.0,0.0,0.0,0.0
luena,3650,2.76425855513308,215.57534526793344,173.77176120456994,96282.47547384152,48171.06746302347,51,0,172,40,0.0,0.004475203822987958,0.8479087452471483,0.8790786948176583,0.0,0.0,0.0,0.0,0.0,0.0
lueyang,10335,2.2439024390243905,31.835165354006186,20.96462108678456,44839.52757881312,23727.633134763695,14,4,22,1,0.0975609756097561,0.0013416915700438755,0.972972972972973,0.6376811594202898,0.0,0.0,0.0,0.0,0.0,0.0
lufeng,10408,3.0970149253731343,30.706450009114164,27.727466053006072,28248.55978017081,15110.073688633793,13,1,80,40,0.007462686567164179,0.0020321840013402706,0.6992481203007519,0.8773946360153256,0.0,0.0,0.0,0.0,0.0,0.0
lufeng,12411,2.675409836065574,25.038999578967868,19.128153776719714,20895.166156797455,11740.710636248165,72,1,187,44,0.003278688524590164,0.002132664738509327,0.8519736842105263,0.7313432835820896,1.0,0.003278688524590164,0.0,0.0,0.0,0.0
lugano,2543,2.511574074074074,182.9268168284016,132.43139343306157,55806.309827026635,30609.976428708316,477,20,1104,124,0.011574074074074073,0.005976052195088893,0.9256440281030445,0.6109645265318089,3.0,0.001736111111111111,0.0,0.0,0.0,0.0
lugazi,4471,2.7791411042944785,191.3500421961556,166.1106194524909,94858.71360058253,47784.93741842717,43,0,270,12,0.0,0.00400440081192543,0.9601226993865031,0.8346213292117465,1.0,0.003067484662576687,0.0,0.0,0.0,0.0
luhansk,4213,2.9456438912877827,51.55962803726203,42.86377001929353,21564.489693910957,11476.135329486207,664,3,2169,1085,0.000762001524003048,0.0044927692604658735,0.7201321809862735,0.8922803001398957,16.0,0.004064008128016256,0.0,0.0,0.0,0.0
luhe,12055,2.8338493292053664,18.890452606309793,14.660082930799756,16131.416031129347,10781.95428450857,217,4,481,258,0.0041279669762641896,0.001752043470769622,0.7233160621761658,0.5527272727272727,8.0,0.008255933952528379,1.0,0.0010319917440660474,0.0,0.0
luiza,3485,3.0373563218390807,90.61001486713278,78.37245538795105,39933.50931647323,19966.754658236612,47,0,196,104,0.0,0.004538044184849772,0.6982758620689655,1.020260492040521,0.0,0.0,1.0,0.0028735632183908046,0.0,0.0
lujan,1097,3.3897264098269124,151.98401626384927,146.46812510966154,42380.80547689399,26014.187662212677,65,7,897,810,0.003908431044109436,0.005842351036954196,0.5392376681614349,0.8464776873421275,11.0,0.006141820212171971,1.0,0.0005583472920156337,0.0,0.0
lujiang,11967,3.255892255892256,28.495808488119113,25.04177109561983,28480.341692457387,18492.705215323764,36,1,116,139,0.003367003367003367,0.0015409215772555762,0.5135135135135135,0.8143100511073254,5.0,0.016835016835016835,0.0,0.0,0.0,0.0
lukalaba,3544,3.2273449920508743,435.7986581057993,379.67832216530684,139833.54313494574,69916.77156747301,81,0,243,305,0.0,0.006233106139422254,0.5151033386327504,1.1013567438148444,0.0,0.0,0.0,0.0,0.0,0.0
lukou,11717,2.7762237762237763,39.39935431583498,30.858235548066556,27792.84124727258,18727.658718311086,31,1,80,31,0.006993006993006993,0.002103805654964868,0.7816901408450704,0.6487455197132617,0.0,0.0,0.0,0.0,0.0,0.0
luliang,10435,3.070615034168565,25.92412363122497,22.380963226046156,21274.7674066923,14574.43713266332,60,3,233,135,0.00683371298405467,0.0017787392676129794,0.6720183486238532,0.6793540945790081,6.0,0.01366742596810934,1.0,0.002277904328018223,1.0,0.002277904328018223
luliang,10589,3.1066666666666665,15.75336332840896,13.862959728999886,15857.350964672527,9747.848726630817,18,1,78,53,0.006666666666666667,0.0016160861509238718,0.6442953020134228,0.7986348122866894,0.0,0.0,0.0,0.0,0.0,0.0
