city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,2way_int_prop,5way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient
kampong luak,12684,2.4024896265560165,391.62396125391274,263.04617729451087,88398.29693799943,48577.4631215529,633,3,1176,115,1.0,0.0015560165975103733,0.0005186721991701245,0.008061844651581992,0.9397402597402598,0.5989596879063719
kamptee,7982,2.6549413735343386,328.84409674150487,257.78733211896866,85685.46972946764,45110.27630426296,129,0,417,50,1.0,0.0,0.0016750418760469012,0.007289782366294858,0.914572864321608,0.8057190916736754
kamra,6280,2.675040518638574,66.2252470402902,50.87644586239474,36295.49776568039,20081.48826108505,286,0,778,169,1.0,0.0,0.0008103727714748784,0.003297825648143067,0.8622366288492707,0.7409663012586277
kamrej,6773,2.573248407643312,74.54227681932977,54.126239219131165,82903.30797522895,48316.47968506957,43,0,95,19,0.0,0.0,0.0,0.0015427919688106812,0.8789808917197452,0.6181229773462783
kamsar,1493,2.754639175257732,157.5234565627125,127.80511372665438,54782.86934739261,27497.54872625672,183,0,660,126,1.0,0.0,0.0010309278350515464,0.005728636327946473,0.8690721649484536,0.8434108527131783
kamyaran,5503,2.950149551345962,421.0252166561794,370.23354046934224,85422.90725337747,45890.699200726325,121,0,691,190,1.0,0.0,0.0009970089730807576,0.009174521722029368,0.8095712861415753,0.8640679660169915
kamyshin,4579,2.9792122538293215,51.26559816086362,44.59097433029166,21356.10890844399,10902.30986791345,119,1,575,218,1.0,0.0010940919037199124,0.0010940919037199124,0.004702269407306357,0.76013143483023,0.9099395936298736
kanakapura,8085,2.64010989010989,249.98420429306677,194.35585113993926,94264.4709256403,47132.235462820165,81,0,252,31,0.0,0.0,0.0,0.005303890253418269,0.9148351648351648,0.8063623789764869
kananga,3486,2.863405336721728,158.59376071392407,134.10946347537035,47505.658086551244,23974.456384543082,729,0,3180,813,0.0,0.0,0.0,0.006615113943362376,0.8278271918678526,0.8974467634283293
kanata,985,2.968407479045777,76.7870476391775,69.95493121480195,31370.250273057187,17247.737273536015,138,11,1171,224,7.0,0.0070921985815602835,0.004513217279174726,0.004452007032655545,0.85,0.8019512195121952
kanchanaburi,10617,2.6457211250748056,272.6435716567244,210.96836514191781,75286.74005649058,42411.876482632564,378,2,1126,164,1.0,0.0011968880909634949,0.0005984440454817474,0.00642847226456416,0.9011384062312762,0.6708670867086709
kanchipuram,8615,2.6638418079096047,369.8304898317752,289.8620069251612,80703.33979391289,40741.266990694596,842,0,2678,373,1.0,0.0,0.00025680534155110427,0.009077540222699637,0.903954802259887,0.8065013490941796
kandahar,6056,2.763321346845374,233.0644990283188,183.08401149560316,91734.24182655787,48830.58028467919,656,5,1806,591,1.0,0.0016345210853220007,0.00032690421706440013,0.004772920937444682,0.8061558611656844,0.7725708667868262
kandangan,12723,2.6407942238267146,171.49872197656876,133.73185540411137,54359.48029559669,28272.88491990951,122,0,387,45,0.0,0.0,0.0,0.006065837372535016,0.9187725631768953,0.7243880326382592
kandhkot,6233,2.7392739273927393,125.39776410706621,98.91110766200931,55012.172518598774,28567.30498189416,64,0,190,49,0.0,0.0,0.0,0.004389555269093209,0.8382838283828383,0.8402662229617305
kandhla,6976,2.210526315789474,18.013373314891673,10.428795077042547,22545.831943325134,11272.915971662569,8,0,10,1,0.0,0.0,0.0,0.0015979337875109698,0.9473684210526315,0.7272727272727273
kandi,2121,3.0252100840336134,284.9551190958127,253.1414023180089,95792.02757866666,47951.27045246364,93,0,533,207,0.0,0.0,0.0,0.005942597900055686,0.751500600240096,0.9668874172185431
kandi,9609,2.640625,52.848605790225086,41.287973273613346,37194.76906937197,18710.711144407815,28,0,90,10,0.0,0.0,0.0,0.002824510804658554,0.921875,0.8286852589641435
kandiaro,6201,2.588235294117647,189.93802531717384,141.75521742421432,68881.91731067128,38623.27246834784,69,0,177,26,0.0,0.0,0.0,0.004917709276779434,0.9044117647058824,0.7458256029684601
kandy,9006,2.492392807745505,217.106054635228,158.4904227337114,144455.52447840053,72959.9098881021,976,6,2512,119,2.0,0.0016597510373443983,0.0005532503457814661,0.0029756897310893263,0.9664727071210861,0.6929155691113268
