city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,2way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,5way_int_count,6way_int_count,7way_int_count,8way_int_count,5way_int_prop,6way_int_prop,7way_int_prop,8way_int_prop
dadu,6183,2.852367688022284,95.67631189044565,81.55139676455812,40665.73378596133,22263.90922483095,53,0,253,53,0.0,0.004297372528977876,0.8523676880222841,0.8807854137447405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
daegu,12651,3.070786635652358,122.84133202820944,113.19767702388025,38851.40480004082,21848.407957859017,1485,58,13122,4155,0.003066187354620427,0.005622438589811419,0.7745784282532612,0.9406008856832224,80.0,13.0,2.0,1.0,0.004229223937407486,0.0006872488898287165,0.00010573059843518714,5.286529921759357e-05
daejeon,12540,3.133623275344931,187.7361506454687,176.08006690713276,54791.06880813297,31105.846119032445,828,121,8901,3421,0.009073185362927415,0.006035397652488236,0.7362088535754824,0.972147587511826,57.0,8.0,0.0,0.0,0.004274145170965807,0.0005998800239952009,0.0,0.0
daet,12919,2.832506203473945,296.3171108781108,248.5240284784155,91711.41784804531,46197.02432489739,130,0,554,119,0.0,0.006414203408300777,0.8486352357320099,0.8711885500933416,3.0,0.0,0.0,0.0,0.0037220843672456576,0.0,0.0,0.0
dafang,10681,2.8823529411764706,40.230099172749,34.07726047574033,57968.79229813555,29692.260126109024,13,0,56,16,0.0,0.001354901883584599,0.8117647058823529,0.793939393939394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dafeng,12176,2.9453781512605044,26.779750922435483,21.491312715063767,19950.025810815645,11475.328562934023,94,1,221,158,0.0021008403361344537,0.0023336805369508665,0.6631578947368421,0.8074074074074075,1.0,1.0,0.0,0.0,0.0021008403361344537,0.0021008403361344537,0.0,0.0
dagana,1487,3.2554945054945055,545.1423144015822,514.4406181234712,108518.63949778466,54259.31974889225,41,0,419,268,0.0,0.010046980259326082,0.6318681318681318,1.1171605789110959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dagon seikkan,10261,3.2206008583690986,492.60916110087345,471.04429653765925,175982.38555429853,88154.82379815134,51,0,755,359,0.0,0.005588000064849585,0.6918454935622318,1.084731182795699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dagupan,12772,2.4111663652802893,171.03722032810998,114.63050593870842,64379.31919794989,32349.042163721693,1459,2,2648,315,0.0004520795660036166,0.005287242183631705,0.9287652645861602,0.6789229550854169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dahegam,6678,2.592436974789916,175.80871621646227,130.74849903493202,67613.50297515254,33806.75148757624,61,0,153,23,0.0,0.005200402537376914,0.8991596638655462,0.7919320594479831,1.0,0.0,0.0,0.0,0.004201680672268907,0.0,0.0,0.0
dahekan,10405,3.0608695652173914,27.63454845647383,23.789741714703556,26469.20651677652,14470.756565801477,16,1,60,36,0.008695652173913044,0.0019096823535669273,0.6666666666666666,0.8295964125560538,2.0,0.0,0.0,0.0,0.017391304347826087,0.0,0.0,0.0
dahod,6906,2.4894772572980313,347.9237346438496,238.7989787677746,80152.13130137109,42018.21632779912,462,1,845,159,0.0006788866259334691,0.008280307091799714,0.8879076086956522,0.726097312010888,5.0,0.0,1.0,0.0,0.0033944331296673455,0.0,0.0006788866259334691,0.0
dahra djoloff,1485,3.3651960784313726,886.711719832521,876.5695923180967,224517.49818873752,112335.48877776909,14,0,735,475,0.0,0.00789342468244104,0.6119281045751634,1.154727793696275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dahua,11289,2.6666666666666665,16.655597566816102,12.5842292727055,17358.503017321098,8679.251508660558,22,0,55,12,0.0,0.0019190131257512675,0.8555555555555555,0.8628571428571429,1.0,0.0,0.0,0.0,0.011111111111111112,0.0,0.0,0.0
dai,10470,2.7098765432098766,24.872916846337112,19.345601991595533,14612.175062367445,7306.087531183721,36,0,101,25,0.0,0.003404409917096523,0.845679012345679,0.8307210031347962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dairut,3966,2.6810308407266583,406.90757164826914,327.94423778947254,105842.8895812957,53319.96626141074,1378,1,5232,488,0.0001408252358822701,0.007631429653449732,0.9309859154929577,0.822824938358577,2.0,0.0,0.0,0.0,0.0002816504717645402,0.0,0.0,0.0
daishan,12575,2.883177570093458,24.087923204700065,19.698068041226687,18285.671313394414,11286.0857508891,39,1,120,54,0.004672897196261682,0.002134302692392928,0.7464788732394366,0.7173396674584323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
daiwan,10592,2.5454545454545454,8.878736875962428,6.45726318251813,22647.097465728282,11480.644663778985,6,0,14,2,0.0,0.0007733657068905302,0.9090909090909091,0.6410256410256411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dajie,10525,2.9691629955947136,22.377497160811252,19.12438083346865,22854.88882731172,13595.592325803547,33,3,130,60,0.013215859030837005,0.0016459376410059181,0.7276785714285714,0.7674943566591422,1.0,0.0,0.0,0.0,0.004405286343612335,0.0,0.0,0.0
dajing,12615,2.41,28.223211794837738,17.780623430747774,26595.572397058608,14921.309240868168,37,0,48,15,0.0,0.001891470201390694,0.85,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
