city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,2way_int_prop,5way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,max_info_centrality,avg_info_centrality,max_betweenness_centrality,avg_betweenness_centrality,global_efficiency,avg_closeness_centrality,6way_int_count,6way_int_prop
ankpa,2624,3.029895366218236,146.78627732491537,138.2292297678575,61865.0008172286,30983.89271977308,39,0,533,96,1.0,0.0,0.0014947683109118087,0.004737502761595878,0.8550074738415545,0.9939984996249063,0.0006407406247787415,9.577587814330965e-07,0.2428391793630753,0.00036298830995975384,0.08494509644081016,0.00012044695195284537,0.0,0.0
anliu,12385,2.5,20.72304829604346,15.07130785166797,29578.421293908745,15027.066498447768,12,0,30,2,0.0,0.0,0.0,0.001379048152757164,0.9545454545454546,0.6626506024096386,0.008418348546009383,0.00019132610331839506,0.459579180509413,0.010444981375213932,0.2524603274338995,0.005516844515055606,0.0,0.0
anlu,11418,2.8,11.137670106688912,8.353252580016685,13207.893113775694,8115.1736324394,25,0,45,30,0.0,0.0,0.0,0.0013724500067586302,0.7,0.5282051282051282,0.005108251208447145,5.1082512084471455e-05,0.22707043866598597,0.0022707043866598596,0.20290541613268143,0.001708090075062552,0.0,0.0
annaba,2480,2.829136203628486,102.50355438587042,86.40497286845779,30124.304793556345,17516.57247242224,580,10,2586,498,16.0,0.0027078256160303275,0.004332520985648524,0.005851804315441853,0.8596253054575075,0.7204184214101345,4.317318877272992e-05,1.1783075538408821e-08,0.33479286824881943,9.065607047084198e-05,0.03759411641637318,8.61393285447024e-06,3.0,0.0008123476848090983
annecy,2280,2.7574842076352652,191.43799762201587,161.67861650307574,34264.098703664095,21122.084171150582,566,59,2725,275,15.0,0.016204339467179345,0.004119747322164241,0.009063404731787303,0.9187604690117253,0.5145970107556921,5.930862877036759e-05,1.69114995068057e-08,0.3069862541841551,8.431371990776025e-05,0.03496108838278358,9.367631805562822e-06,1.0,0.00027464982147761604
anning,10460,2.7676767676767677,16.063393825795657,13.021084389091932,14895.23681107598,9348.158521524003,75,6,253,60,2.0,0.015151515151515152,0.005050505050505051,0.0017183484628346768,0.841025641025641,0.6787096774193548,0.0009738183732190879,2.5098411680904326e-06,0.24697465177504258,0.0006236733630682893,0.10701447518466196,0.0002441778052886934,0.0,0.0
ann arbor,763,2.9042316258351892,80.03373716474347,68.48321117749319,29078.31687660026,16365.016371855034,324,9,1487,411,11.0,0.004008908685968819,0.004899777282850779,0.004890538166670429,0.8099284436493739,0.7824042981867025,0.0001242001347871927,5.56951277072613e-08,0.21965921296555,9.784374742340757e-05,0.05082111461220576,2.319666137211643e-05,3.0,0.0013363028953229399
anpara,8549,2.8490945674044266,237.17894726344966,199.4784707366639,75979.46113922048,40719.84660749965,79,0,336,81,1.0,0.0,0.002012072434607646,0.005824652277048775,0.8350100603621731,0.8028311425682507,0.0004757349679316322,9.572132151541895e-07,0.47864336881274877,0.0009630651283958727,0.08872584545026228,0.00017962345708520382,0.0,0.0
anping,10850,3.16688567674113,31.5051471237961,28.93836772606238,17100.425482758597,11287.635297344945,62,0,448,251,0.0,0.0,0.0,0.0027911202208319645,0.6701708278580815,0.7290705339485827,0.000646885730397913,8.500469519026452e-07,0.13488021255212837,0.00017724075236810562,0.08912154046304102,0.00010306436493375826,0.0,0.0
anpu,11773,3.2263868065967016,146.22905539593222,136.58276088705514,54130.66285511943,27719.242222533245,44,0,388,231,4.0,0.0,0.005997001499250375,0.005275362660421546,0.6476761619190404,1.0504138449962377,0.0005266470911378316,7.919505129892205e-07,0.2851955077770649,0.00042757947192963256,0.08505364270874378,0.00012506461096682114,0.0,0.0
