city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,6way_int_count,2way_int_prop,5way_int_prop,6way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,7way_int_count,8way_int_count,9way_int_count,7way_int_prop,8way_int_prop,9way_int_prop
fresnillo,113,3.2887994143484627,173.39327025479196,162.34992141718809,45503.850608130924,25873.339499304588,174,2,1442,1091,21.0,2.0,0.0007320644216691069,0.0076866764275256225,0.0007320644216691069,0.006701619257902613,0.591941391941392,0.9976168652612283,0.0,0.0,0.0,0.0,0.0,0.0
fresno,46,2.9347023654795943,68.49633057215681,58.39013945368626,25402.508766835865,14578.221312575679,2838,41,12003,4247,104.0,2.0,0.0021315310631661033,0.005406810501689628,0.00010397712503249285,0.004698538258098023,0.773210378243201,0.8052262720475211,0.0,0.0,0.0,0.0,0.0,0.0
fria,1505,2.7186440677966104,61.111742869462546,48.47507739476012,27594.901841896146,13797.450920948058,61,0,195,39,0.0,0.0,0.0,0.0,0.0,0.00442920530898061,0.8677966101694915,0.8615384615384616,0.0,0.0,0.0,0.0,0.0,0.0
fryazino,3715,2.7337278106508878,26.803587256182627,21.728351799390648,15856.067267225846,8181.757421487148,32,1,116,20,0.0,0.0,0.005917159763313609,0.0,0.0,0.00327601832655052,0.8809523809523809,0.8006042296072508,0.0,0.0,0.0,0.0,0.0,0.0
fuding,12588,2.9055232558139537,78.11548053906769,64.49068742178844,31537.030909866586,20030.48630870975,120,3,388,176,1.0,0.0,0.00436046511627907,0.0014534883720930232,0.0,0.0038998294567167417,0.7416058394160584,0.5853479853479854,0.0,0.0,0.0,0.0,0.0,0.0
fufeng,10390,2.772727272727273,10.73153657748864,7.967352913590051,15078.865785125392,8451.969918742827,17,0,30,19,0.0,0.0,0.0,0.0,0.0,0.0012697083260661773,0.7121212121212122,0.6771653543307087,0.0,0.0,0.0,0.0,0.0,0.0
fugou,11202,2.8765822784810124,32.516562592731,25.930929662557634,21799.404854873446,13978.728770407579,64,22,124,102,3.0,1.0,0.06962025316455696,0.00949367088607595,0.0031645569620253164,0.0023261458982999435,0.6394557823129252,0.6003430531732419,0.0,0.0,0.0,0.0,0.0,0.0
fuhe,11380,2.0,7.986518728096948,3.1058683942599243,17004.100573555093,8502.050286777547,11,0,3,4,0.0,0.0,0.0,0.0,0.0,0.0009393638544478669,0.7777777777777778,0.6129032258064516,0.0,0.0,0.0,0.0,0.0,0.0
fujieda,12969,3.0457559346054563,222.89149557385372,199.74155636660828,55448.32976164969,28574.083411743108,2052,4,12745,4906,44.0,6.0,0.00020245988763476237,0.002227058763982386,0.00030368983145214357,0.00780047752930727,0.7491014023186351,0.9847092478671426,0.0,0.0,0.0,0.0,0.0,0.0
fujin,11514,3.0492957746478875,9.30469477868206,8.125226426454757,11901.973860933389,5986.519659571914,18,0,81,43,0.0,0.0,0.0,0.0,0.0,0.0015542744879831268,0.6971830985915493,0.967741935483871,0.0,0.0,0.0,0.0,0.0,0.0
fukang,7086,2.6933333333333334,16.510265696549595,11.667254425561715,15089.435377532222,10391.042146654816,22,0,32,21,0.0,0.0,0.0,0.0,0.0,0.001588894113172733,0.72,0.4413793103448276,0.0,0.0,0.0,0.0,0.0,0.0
fukaya,12962,3.057284541723666,209.6025565469324,190.28385306218604,47696.8792774191,24272.83194913505,539,3,3902,1392,12.0,0.0,0.0005129958960328317,0.002051983584131327,0.0,0.008635274078696922,0.7597946963216424,0.9800599058622165,0.0,0.0,0.0,0.0,0.0,0.0
fukui,12878,3.1959699040041514,249.3706705142013,240.0971784860852,58033.17141611851,29497.64437605495,430,0,8029,3083,20.0,1.0,0.0,0.0017296549338406987,8.648274669203493e-05,0.00845391812766686,0.7315575542679236,1.0629730547986678,0.0,0.0,0.0,0.0,0.0,0.0
