city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,2way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,5way_int_count,5way_int_prop,6way_int_count,6way_int_prop
daquf,3883,2.6654888103651353,229.7329790724592,184.27344964469341,88315.98883490117,44157.99441745052,168,0,629,52,0.0,0.005202522942972982,0.9387514723203769,0.8033077377436503,0.0,0.0,0.0,0.0
darab,5891,2.662058371735791,480.2936376781423,381.8002419330855,85577.71255640812,48306.46368562488,534,0,1887,178,0.0,0.009942637093119877,0.9297235023041475,0.7024793388429752,5.0,0.0019201228878648233,0.0,0.0
darbhanga,9047,2.745131729667812,249.99613511129675,210.83580123217897,98973.02667003724,50574.5823885524,547,0,2741,204,0.0,0.004943118129787733,0.9415807560137457,0.8478292018913884,0.0,0.0,0.0,0.0
dargaz,5908,2.968668407310705,229.2735835873655,197.8457424951026,55421.541010942834,31226.414371759904,105,1,475,183,0.0013054830287206266,0.0073422962001911,0.7581699346405228,0.8072131147540984,2.0,0.0026109660574412533,0.0,0.0
darlington,1837,2.372621035058431,192.78071150045236,129.12123781966858,37150.9958133543,18995.394572092842,989,15,1877,114,0.005008347245409015,0.010148813217266722,0.961744966442953,0.6337531486146095,0.0,0.0,0.0,0.0
darmstadt,2461,2.9105504587155964,83.68189617323479,71.78217699263719,24869.602678186573,14180.388419481063,310,35,1390,431,0.016055045871559634,0.0059012414679891515,0.7925407925407926,0.7526254375729288,13.0,0.005963302752293578,1.0,0.00045871559633027525
darou mousti,1470,3.376543209876543,231.40722783018768,211.40907233868995,67749.90430282937,33874.952151414655,70,0,296,443,0.0,0.00683121932677103,0.45185185185185184,1.173374613003096,1.0,0.0012345679012345679,0.0,0.0
daryapur,7596,2.9020172910662825,151.0795032417285,131.48706045821905,42214.90299457608,21107.451497288064,45,0,247,54,0.0,0.007157638299495303,0.8414985590778098,0.9433962264150944,1.0,0.002881844380403458,0.0,0.0
dar bouazza,1574,2.9469111969111967,286.4212224774513,266.2390320905266,82099.35980843227,45883.20571158434,73,10,852,101,0.009652509652509652,0.006242397801885434,0.9015594541910331,0.7928676111382511,0.0,0.0,0.0,0.0
dashiqiao,11421,3.0112994350282487,3.389290206867982,2.6999430461490705,4587.385414543021,3364.2361523911045,36,0,68,72,0.0,0.0010074471747350646,0.5875706214689266,0.6504297994269341,1.0,0.005649717514124294,0.0,0.0
dashoguz,5887,3.0316319194823866,164.66822434556045,145.9639975687103,73732.92625535367,41284.343308017924,158,1,872,359,0.0007189072609633358,0.003988636154800599,0.7410071942446043,0.8327927927927928,1.0,0.0007189072609633358,0.0,0.0
dassa zoume,2077,2.9410150891632374,192.66488614888493,174.16482849398514,60824.189592559036,30452.009859959337,70,0,562,97,0.0,0.006326836456276591,0.8669410150891632,0.9353062629043358,0.0,0.0,0.0,0.0
datia,7487,2.4077380952380953,150.92237728727022,103.75913438499829,74103.23266265719,40269.86736223959,105,0,220,11,0.0,0.0037477743825098304,0.9672619047619048,0.6746626686656672,0.0,0.0,0.0,0.0
datian,10281,2.792307692307692,185.50174624581663,151.25527001581972,91918.43760397156,46070.340412467136,48,0,170,42,0.0,0.004026489593630566,0.8384615384615385,0.8796116504854369,0.0,0.0,0.0,0.0
datong,10398,3.116048092002091,23.916493776371624,21.25354909557332,18872.166982449922,13114.497718630188,213,10,1044,635,0.005227391531625719,0.001823668301256886,0.6605359957961114,0.6406208892396738,10.0,0.005227391531625719,1.0,0.0005227391531625719
daudnagar,8825,2.0,13.460386418256778,5.768737036395763,35937.553034268014,17968.776517134,8,0,4,2,0.0,0.0007490986604136192,0.8571428571428571,0.5652173913043478,0.0,0.0,0.0,0.0
daugavpils,3362,3.100563909774436,91.02681170430999,83.66938143497666,31240.362252119285,16863.16353268196,86,8,688,277,0.007518796992481203,0.005397967678359628,0.7329545454545454,0.8761271950640721,5.0,0.004699248120300752,0.0,0.0
daule,429,3.21943231441048,384.96069956121823,360.1651959868603,84086.72815669022,46295.29303877979,59,1,541,311,0.001091703056768559,0.008315331306764845,0.6557377049180327,0.9868493150684932,3.0,0.0032751091703056767,1.0,0.001091703056768559
daund,7209,2.7364864864864864,55.10177109260995,46.1663487532678,36237.935163210124,18118.967581605066,24,0,116,7,0.0,0.003041109867018636,0.9459459459459459,0.8625429553264605,1.0,0.006756756756756757,0.0,0.0
daura,2708,3.1638418079096047,150.61752638360866,147.69999560620218,45612.977165897915,23344.393610815594,24,0,965,249,0.0,0.006451978530460807,0.7982243744955609,1.0412454508693894,1.0,0.0008071025020177562,0.0,0.0
