city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,2way_int_prop,5way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,6way_int_count,6way_int_prop,7way_int_count,7way_int_prop
contai,9690,2.668122270742358,19.340095920905167,15.455185823256095,18252.035721580385,9128.071078004079,46,0,168,14,1.0,0.0,0.004366812227074236,0.002118749487776121,0.9344978165938864,0.8189845474613686,0.0,0.0,0.0,0.0
contramaestre,655,2.8897550111358576,219.78684658145136,178.66859465975446,57848.14521925265,29024.941310874612,168,1,494,232,3.0,0.0011135857461024498,0.0033407572383073497,0.007572344220351793,0.738015607580825,0.9340413638904416,0.0,0.0,0.0,0.0
cooch behar,9632,2.6666666666666665,59.02192196177865,46.374367255683225,93645.9267471074,46822.96337355373,18,0,58,8,0.0,0.0,0.0,0.0012605336721407741,0.9047619047619048,0.7791411042944786,0.0,0.0,0.0,0.0
cooch behar,9647,2.796208530805687,107.12450168845461,89.22810981870094,65577.31401101807,32831.71223391665,141,0,594,108,1.0,0.0,0.001184834123222749,0.003262836276257019,0.8708530805687204,0.8597742127153892,0.0,0.0,0.0,0.0
copiapo,882,2.918831168831169,595.2781393151762,501.3800994827228,109705.00835321812,62814.306850612586,583,3,2262,828,19.0,0.0008116883116883117,0.005140692640692641,0.009476792297189392,0.7703763877606282,0.7937948787427178,1.0,0.00027056277056277056,0.0,0.0
corby,1900,2.296280991735537,184.5310034226306,118.49635509039999,33942.108686258325,18016.006100847335,866,12,1502,39,1.0,0.0049586776859504135,0.00041322314049586776,0.010242614394649416,0.9833887043189369,0.5738931615048847,0.0,0.0,0.0,0.0
cork,1593,2.385143048352016,288.19267354160394,193.88033132186538,56355.95059693208,30564.96735210782,1956,18,3754,244,4.0,0.0030115442529697173,0.0006692320562154927,0.009428855925858844,0.9582144655143481,0.6192394862754974,1.0,0.00016730801405387318,0.0,0.0
corlu,3536,3.118821603927987,267.37983097406226,254.07648095505817,57649.63871192617,32194.68075295933,152,2,2251,632,17.0,0.0006546644844517185,0.005564648117839607,0.008305093410484736,0.787094660989191,0.9298475659727914,1.0,0.0003273322422258593,0.0,0.0
coro,782,3.121059691482227,185.55237331770283,167.3829256286454,52651.08321837885,28707.406956634775,292,0,1757,921,12.0,0.0,0.004024144869215292,0.006463571356270423,0.6871227364185111,0.9327068300050344,0.0,0.0,0.0,0.0
coronel,916,2.830105633802817,329.9751755937038,272.655544152544,63083.83193995276,34344.11255632003,592,24,2168,620,3.0,0.007042253521126761,0.0008802816901408451,0.009607910964436361,0.8156028368794326,0.847109271033565,1.0,0.00029342723004694836,0.0,0.0
coronel fabriciano,1370,2.953759265795976,191.1977055880705,166.49655477789267,53820.39757426559,29505.087175928034,366,8,1854,601,4.0,0.0028238616307800918,0.0014119308153900459,0.006480160673582443,0.7858407079646018,0.7821080602302923,0.0,0.0,0.0,0.0
coronel oviedo,1086,3.378875968992248,308.14912249624496,290.5320699504325,115505.17576271898,58606.19215375858,59,1,469,497,5.0,0.0009689922480620155,0.0048449612403100775,0.005257961849624834,0.5121241513094084,1.1103548857559553,1.0,0.0009689922480620155,0.0,0.0
corpus christi,253,3.0667889347394164,74.62947556074542,67.93415198529722,31201.62933467291,17272.828237087957,587,11,4392,1507,33.0,0.00168118600030567,0.0050435580009170105,0.004320628592861367,0.7622473974280466,0.9026724864078414,3.0,0.0004585052728106373,10.0,0.0015283509093687911
corrientes,1069,3.353509040760037,194.96652881395767,183.67364682013664,46686.49994187711,28193.744804396087,378,10,3101,3006,26.0,0.0015323322096230463,0.00398406374501992,0.006915240602715453,0.5339165131982812,0.8851615874721732,5.0,0.0007661661048115232,0.0,0.0
cortazar,128,3.096774193548387,222.42327844820227,201.35642022867455,47570.24941146115,28192.372813929698,138,3,896,420,0.0,0.002059025394646534,0.0,0.007889484149354897,0.7111416781292985,0.8122631760248019,0.0,0.0,0.0,0.0
corum,4103,3.154418011894647,484.4661768386069,471.50042954003754,111503.3580106831,62719.53303653825,126,1,3631,921,28.0,0.00021240441801189465,0.00594732370433305,0.007724326910348225,0.7981729339281921,0.9150813051333829,1.0,0.00021240441801189465,0.0,0.0
corumba,1057,3.1530218602657523,173.455308308204,154.19901818740468,57453.80176868867,29467.53914021762,259,2,1197,873,2.0,0.0008572653236176596,0.0008572653236176596,0.005886318076403953,0.6246246246246246,1.0,0.0,0.0,0.0,0.0
cosenza,3118,2.8408972352634323,220.8216658580388,190.0655965914262,57882.526792941535,35159.6225870357,267,15,1403,220,12.0,0.00782472613458529,0.006259780907668232,0.006280547105174607,0.8780231335436383,0.594630165833114,0.0,0.0,0.0,0.0
cosmopolis,1289,3.2540106951871657,187.25408874444585,174.90399732992802,53011.948452242395,29486.85011839786,74,0,615,433,0.0,0.0,0.0,0.006350426986693014,0.6140819964349377,0.9566770879857079,0.0,0.0,0.0,0.0
cotabato,13003,2.5907568653717346,237.8588214415017,173.01720032516468,61417.1265605098,30926.475974666166,407,1,881,204,0.0,0.0006697923643670462,0.0,0.0076911065339726045,0.8632707774798928,0.7737495803961061,0.0,0.0,0.0,0.0
