city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,2way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,5way_int_count,5way_int_prop,6way_int_count,6way_int_prop,7way_int_count,8way_int_count,7way_int_prop,8way_int_prop
tagum,13027,2.6220437304774653,1714.4166965016507,1298.6266587735618,418064.1877602811,214399.88990685297,1087,2,2911,482,0.0004462293618920125,0.007996350638269856,0.8924107142857143,0.7663874930206589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tahma,4088,2.5939825299255905,811.9184511488313,617.8040107091722,169213.79594031235,85035.76650844344,739,3,2124,224,0.0009705596894208993,0.009547964162447029,0.9271373056994818,0.7796143250688705,1.0,0.00032351989647363315,0.0,0.0,0.0,0.0,0.0,0.0
tahoua,2315,3.2591562355122856,1356.1259755794176,1281.9382773326065,394808.69309865695,202384.65883854937,118,0,1251,782,0.0,0.0067007350426756184,0.6346777932313398,1.066372708284985,5.0,0.0023180343069077423,1.0,0.0004636068613815484,0.0,0.0,0.0,0.0
taigu,10593,3.03862660944206,18.387338231900266,16.019869790024696,12566.04197229744,8518.516833164498,30,0,134,69,0.0,0.0021585140455805908,0.703862660944206,0.6681127982646421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
taihe,11482,3.243801652892562,30.139818706409415,26.34120519175864,23243.95590697832,16861.592671530667,61,0,183,240,0.0,0.001787483501324159,0.5041322314049587,0.6002076843198338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
taihe,12062,2.6538461538461537,25.29908165819396,19.65544036521223,25389.284366196312,12776.336518026406,29,2,84,15,0.015384615384615385,0.0019801514794557063,0.8828125,0.8087649402390438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
taihu,11920,3.373913043478261,17.59192079813272,16.521108227811595,19452.754560094076,11054.909118975835,7,1,50,56,0.008695652173913044,0.0015913220641439786,0.5,0.9103139013452914,1.0,0.008695652173913044,0.0,0.0,0.0,0.0,0.0,0.0
taikang,11280,3.185840707964602,7.8153270633191,6.7778942673032905,13830.614164977269,7807.388489239616,15,1,46,50,0.008849557522123894,0.0010010168027491425,0.5446428571428571,0.9178082191780822,1.0,0.008849557522123894,0.0,0.0,0.0,0.0,0.0,0.0
tailai,10641,2.7868852459016393,84.76255960506045,69.47750787300036,31960.986721262492,16363.868251596105,88,2,324,74,0.004098360655737705,0.0051798607946377745,0.8477366255144033,0.8748707342295761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tailandia,1156,3.400655021834061,185.9507004786874,177.22157370949137,64083.24086718765,32242.961701082728,43,0,420,453,0.0,0.005767171831254048,0.5054585152838428,1.1718664477285168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tainan,12703,3.2647317502198767,39.923643808203714,36.605451776651165,21371.40403848038,13554.71138303862,378,17,2236,1865,0.0037379067722075636,0.0029453702613071687,0.5769145883910837,0.8407861322733797,44.0,0.009674582233948988,8.0,0.001759014951627089,0.0,0.0,0.0,0.0
taiping,11019,2.8335904027420735,204.08116094409925,178.09447669706142,55257.15594797929,28946.487314349713,743,14,4567,495,0.002399314481576692,0.007050291067370016,0.912214396151864,0.8471255478216035,14.0,0.002399314481576692,2.0,0.00034275921165381317,0.0,0.0,0.0,0.0
taiping,12149,2.9289340101522843,44.16783907277867,37.89017666649541,27215.007708970585,17322.77647563485,28,4,120,44,0.02030456852791878,0.002549697453806116,0.7668393782383419,0.6929133858267716,1.0,0.005076142131979695,0.0,0.0,0.0,0.0,0.0,0.0
taiqian,11174,2.9344262295081966,48.61758432187148,41.88728120991842,27695.87883743362,15496.087216702048,76,0,360,110,0.0,0.00313741034378474,0.7941712204007286,0.7630375114364135,3.0,0.00546448087431694,0.0,0.0,0.0,0.0,0.0,0.0
taishan,12130,2.8584825234441604,111.73731303991448,94.11463366021782,49028.22900451201,31667.421211531746,185,2,784,198,0.0017050298380221654,0.0035284626523117437,0.8274978650725875,0.6178861788617886,4.0,0.0034100596760443308,0.0,0.0,0.0,0.0,0.0,0.0
taishun,12525,2.5428571428571427,8.813858543344544,6.04378871543626,16061.654332113192,9144.311253395037,11,0,18,6,0.0,0.0009638624822697495,0.8285714285714286,0.7846153846153846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
taitung,12724,3.1497674418604653,155.07253046003524,137.04084087165904,49054.95042631221,27486.47215677775,125,2,552,381,0.0018604651162790699,0.005641776419161042,0.6309412861136999,0.9584306398879029,13.0,0.012093023255813953,2.0,0.0018604651162790699,0.0,0.0,0.0,0.0
taixing,12231,3.12465564738292,47.78382398301597,41.79439150029634,22882.629103858297,14881.773869345188,182,13,705,546,0.008953168044077135,0.003210895717307288,0.6164002779708131,0.6672467803689524,6.0,0.004132231404958678,0.0,0.0,0.0,0.0,0.0,0.0
taiyuan,10532,2.9865343727852585,34.30491361755843,29.620708545281374,17168.940668251365,12876.922027149783,1156,37,5096,2128,0.004370422867942357,0.002664061609228489,0.7417249970340491,0.5273245119563282,43.0,0.005079140089770848,4.0,0.0004724781478856603,1.0,1.0,0.00011811953697141507,0.00011811953697141507
taizhou,12175,3.1666666666666665,15.959710580491722,14.053221548344284,12909.210668782433,8487.09161809398,167,5,667,546,0.00357653791130186,0.0018804687516824439,0.5987078248384781,0.7137720244516361,13.0,0.009298998569384835,0.0,0.0,0.0,0.0,0.0,0.0
