city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,2way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,5way_int_count,6way_int_count,5way_int_prop,6way_int_prop
share,2289,2.5454545454545454,10.231330074033025,7.4409673265694725,29640.637586140743,14820.31879307037,3,0,7,1,0.0,0.0006903582990952227,0.9090909090909091,0.9411764705882353,0.0,0.0,0.0,0.0
shariatpur,9916,2.4175824175824174,11.04055389969908,7.643460392099364,11286.060512920876,5658.208894889074,28,1,58,4,0.01098901098901099,0.0019512453684189268,0.9555555555555556,0.7257142857142858,0.0,0.0,0.0,0.0
sharurah,5788,3.0375083724045546,214.43852081468918,205.67713449875077,52283.65686349339,31843.923712491734,61,0,1254,178,0.0,0.00673404831486169,0.8807769591426657,0.8030862126803087,0.0,0.0,0.0,0.0
shashamane,5146,3.0746962115797,394.52002757703235,373.79292105314966,110639.30679626974,55454.05021284751,147,0,2154,492,0.0,0.007114359114668067,0.822373123659757,1.0076909318547667,4.0,1.0,0.0014295925661186562,0.00035739814152966406
shawan,10344,2.963636363636364,12.340670472398209,10.770039685002073,15435.633441591272,7717.816720795632,7,0,36,12,0.0,0.0015989846505613838,0.7818181818181819,0.9523809523809523,0.0,0.0,0.0,0.0
shaxi,12391,3.05,13.579587157392353,11.429485857471898,14207.837477844556,9165.768621752977,38,1,112,89,0.004166666666666667,0.001481554653819662,0.6276150627615062,0.6342494714587738,0.0,0.0,0.0,0.0
shaxian,12428,2.7405541561712847,56.568110961824715,44.59903962481395,27434.66563134624,18174.018024143,84,0,248,65,0.0,0.0031125814273254087,0.836272040302267,0.6134347275031685,0.0,0.0,0.0,0.0
shayuan,11931,2.920570264765784,37.17370645849329,32.1011232961327,20191.887589516704,12489.331623031385,67,0,329,95,0.0,0.0029764368166781503,0.8065173116089613,0.7359263050153532,0.0,0.0,0.0,0.0
sha tin,12291,2.839458413926499,67.19064434552813,56.585699319232,21511.575499860923,15742.184048367988,408,58,1670,439,0.02243713733075435,0.004268190750348511,0.8223189552829442,0.4434541493365023,10.0,0.0,0.0038684719535783366,0.0
she,10818,2.935483870967742,7.630690413166033,6.2768582430881885,15765.025101100104,8185.475452007453,11,2,29,20,0.03225806451612903,0.0009322232358896928,0.6666666666666666,0.9739130434782609,0.0,0.0,0.0,0.0
sheberghan,5999,2.785982478097622,204.4125616249998,161.1763627331037,88341.08241753619,47708.983923098225,169,1,464,162,0.0012515644555694619,0.004284571684747907,0.793233082706767,0.7674418604651163,3.0,0.0,0.0037546933667083854,0.0
shegaon,7488,2.769230769230769,39.16871959135967,31.636273516098193,28235.267754979082,14155.628590035598,25,2,81,22,0.015384615384615385,0.002767006731084428,0.828125,0.9043824701195219,0.0,0.0,0.0,0.0
sheki,5325,2.422857142857143,238.37931154391106,159.26881474582189,44987.77826411258,23372.13703659529,755,0,1325,193,0.0,0.01019929462037061,0.9142857142857143,0.6543454345434544,2.0,0.0,0.0008791208791208791,0.0
shema,2592,2.950171821305842,105.48872891497915,88.99478676504255,27545.860520527458,14788.80783558596,91,0,338,153,0.0,0.007133010996406627,0.7371134020618557,0.8878343399482312,0.0,0.0,0.0,0.0
shenbei,11365,3.028368794326241,18.680014767205396,16.16284965673091,21286.774925245503,13498.40640798392,19,2,77,42,0.014184397163120567,0.0013838681546998542,0.6906474820143885,0.6923076923076923,1.0,0.0,0.0070921985815602835,0.0
shencottai,8176,2.6231404958677684,486.3464923289246,369.78410986992617,130892.273970005,65446.13698500254,145,0,398,62,0.0,0.007431248271236765,0.8975206611570248,0.8033195020746888,0.0,0.0,0.0,0.0
shendam,2839,3.0085470085470085,58.40043127911476,50.41404751444949,40807.17057924729,20464.793433945015,16,0,68,33,0.0,0.0028537024557621867,0.717948717948718,0.9606986899563319,0.0,0.0,0.0,0.0
shendi,4431,3.3032613299449385,226.53047772616236,217.99120940018673,61052.96995343886,30527.686998669826,89,0,1383,886,0.0,0.0074204926739465365,0.6234646336298179,1.1305914776340895,1.0,2.0,0.00042354934349851756,0.0008470986869970351
shengfang,10896,2.9949748743718594,6.460395404765407,5.161823464109044,9105.474997945614,5680.81166737643,40,1,78,80,0.005025125628140704,0.001137231047785996,0.5959595959595959,0.7161125319693095,0.0,0.0,0.0,0.0
shengze,12401,2.8453237410071943,9.360612973716119,7.222487348424848,8938.70277224847,5785.071418153381,127,3,259,164,0.00539568345323741,0.0016180635116003574,0.6980108499095841,0.6784741144414169,2.0,1.0,0.0035971223021582736,0.0017985611510791368
