city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,2way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,5way_int_count,6way_int_count,5way_int_prop,6way_int_prop,7way_int_count,8way_int_count,7way_int_prop,8way_int_prop
zliten,3058,2.7133379888268156,124.72313930428243,100.0746418021093,32527.31547841024,17469.493352473386,566,0,1987,311,0.0,0.007139482341462623,0.8914106145251397,0.7281146251965752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zoetermeer,2144,2.705646630236794,136.6221309787231,110.24335887718459,29950.358251779195,17268.93671820643,1060,59,3820,540,0.010746812386156648,0.007911438509974042,0.8985453875897624,0.6843511098830247,10.0,1.0,0.0018214936247723133,0.00018214936247723133,0.0,0.0,0.0,0.0
zonguldak,3720,2.602816901408451,69.63893043234866,53.16098633004644,37136.07433365743,19004.960414971047,252,2,741,62,0.0018779342723004694,0.0036642502226677093,0.9341486359360301,0.7666195190947667,3.0,5.0,0.0028169014084507044,0.004694835680751174,0.0,0.0,0.0,0.0
zongyang,12004,2.838709677419355,32.87245509801749,25.096175397411198,34237.33993478819,20036.89742601247,22,0,44,26,0.0,0.0016405960663022376,0.7096774193548387,0.7624309392265194,0.0,1.0,0.0,0.010752688172043012,0.0,0.0,0.0,0.0
zoucheng,11389,2.96042868920033,28.11949957333969,23.06587145546001,18646.440145519835,12782.959173582725,218,6,598,388,0.00494641384995878,0.0021997644826599674,0.676056338028169,0.6430053964300539,3.0,0.0,0.00247320692497939,0.0,0.0,0.0,0.0,0.0
zouping,11313,3.336594911937378,10.776641591410932,9.426925227711717,8596.75621726783,7391.580957867846,64,2,152,287,0.003913894324853229,0.0014579616529722121,0.4243614931237721,0.47087857847976305,5.0,0.0,0.009784735812133072,0.0,0.0,1.0,0.0,0.0019569471624266144
zrenjanin,3266,2.9017699115044246,70.86240733822635,61.01692242486216,27995.40802369516,15390.614841072365,157,19,732,222,0.016814159292035398,0.0046042609778732466,0.8001800180018002,0.7911592241768155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zuata,843,2.5405405405405403,244.45064574418336,175.74019396743992,76669.1609430114,38334.58047150565,104,0,228,38,0.0,0.006376765905287137,0.8972972972972973,0.7551020408163265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zucheng,11669,3.122100122100122,15.373420506874083,13.45878205546852,10874.398625042559,7564.226758401182,102,6,404,304,0.007326007326007326,0.0020323849347588167,0.6223862238622386,0.6280074028377545,3.0,0.0,0.003663003663003663,0.0,0.0,0.0,0.0,0.0
zug,2475,2.5141874462596734,102.29633034109688,74.67720073911542,32438.15931444095,17902.820345154476,314,21,746,80,0.018056749785038694,0.005713978488801854,0.9281961471103327,0.6388767003071523,2.0,0.0,0.0017196904557179708,0.0,0.0,0.0,0.0,0.0
zugdidi,4595,2.8570048309178744,86.24910891948743,73.41590817204678,36392.42192926927,18546.980132338405,154,0,725,152,0.0,0.004650304702117193,0.8492753623188406,0.8387409200968523,4.0,0.0,0.003864734299516908,0.0,0.0,0.0,0.0,0.0
zumpango,164,2.458442408376963,424.2534509459354,287.7871085768731,76088.74956433768,40989.23383580808,983,1,1769,294,0.0003272251308900524,0.010350363040338382,0.9008183306055646,0.6414414414414414,9.0,0.0,0.0029450261780104713,0.0,0.0,0.0,0.0,0.0
zunhua,10905,2.8990536277602525,12.486722170467903,9.76879210812631,13334.131994955098,7299.510774609891,69,1,147,94,0.0031545741324921135,0.0017106245275917457,0.6835443037974683,0.8229665071770335,5.0,1.0,0.015772870662460567,0.0031545741324921135,0.0,0.0,0.0,0.0
zunyi,10809,2.8495518565941103,70.13458005926985,57.248136732118475,33719.19460698576,23823.885648089105,287,13,926,321,0.008322663252240717,0.002943876624294295,0.7830858618463525,0.566763659877142,14.0,1.0,0.008962868117797696,0.0006402048655569782,0.0,0.0,0.0,0.0
zuogezhuang,10898,2.869047619047619,5.2738582667658145,4.332097861986204,9247.557591668146,4873.763099408243,15,0,50,19,0.0,0.0010820916321119813,0.7738095238095238,0.8343558282208589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zuoyun,10375,2.621468926553672,51.24010907964858,38.21296270346674,31139.4225497621,15731.797346030618,45,0,109,23,0.0,0.003257104573151476,0.8700564971751412,0.7793696275071633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zurich,2463,2.688492233759547,98.94750693286815,78.95931236323187,31207.602239622574,17856.57341209342,2354,400,7493,1342,0.034325924654595386,0.005541237092322295,0.8750555407446903,0.6803697613439402,56.0,8.0,0.004805629451643353,0.0006865184930919077,0.0,0.0,0.0,0.0
zuru,2320,2.967741935483871,353.97940873843794,333.8725839784004,92716.59033348504,46743.39025914561,81,0,1229,116,0.0,0.007572822740840451,0.9186535764375876,0.9329118370214261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zwickau,2830,2.801094890510949,97.89785731818884,79.58667050228674,36687.8099530724,20399.726037530374,205,18,666,204,0.016423357664233577,0.004798979022467329,0.8079777365491652,0.7452347745234774,3.0,0.0,0.002737226277372263,0.0,0.0,0.0,0.0,0.0
zwolle,2233,2.753592108084924,212.33716093884314,172.44710025206928,43740.81627491805,25045.050147408645,876,32,3133,610,0.006862534848809779,0.008478208655565946,0.8656877564240985,0.7412768715566598,11.0,1.0,0.0023589963542783618,0.0002144542140253056,0.0,0.0,0.0,0.0
