city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,6way_int_count,2way_int_prop,5way_int_prop,6way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient
fuzhou,12566,2.9346385985573384,40.22060664186566,34.20498227146443,20557.52546500963,14388.221774293703,1016,33,4186,1505,43.0,10.0,0.004857941999116737,0.006330045635212719,0.0014721036360959812,0.0027953841185381664,0.7695266272189349,0.5933407325194229
fu an,12543,2.8727272727272726,34.69821991544913,28.074014295227023,19389.012102932666,12247.977758823406,63,5,175,85,2.0,0.0,0.015151515151515152,0.006060606060606061,0.0,0.0028329754183667286,0.7323076923076923,0.7193798449612403
gabela,3145,2.6782945736434107,145.67797242322888,116.3165206169967,53849.129881559726,27327.9742081375,104,2,366,44,0.0,0.0,0.003875968992248062,0.0,0.0,0.005330727089893479,0.914396887159533,0.7869012707722385
gabes,2790,2.9478995057660624,163.60184914089666,148.50843307517968,37844.29029456771,19512.28813046037,448,3,3773,619,12.0,1.0,0.0006177924217462932,0.002471169686985173,0.00020593080724876442,0.008384554801930177,0.8697712754996909,0.8898051747242552
gaborone,3587,2.8503937007874014,126.46904460256181,110.55585300611348,35900.76761166375,19686.336251087665,799,9,4891,645,6.0,0.0,0.0014173228346456694,0.0009448818897637795,0.0,0.006424204229244252,0.8973348052357673,0.78504378007415
gabu,1498,3.1303763440860215,163.30867063057605,151.01662015300582,51604.114699909376,25929.78722923018,56,0,479,209,0.0,0.0,0.0,0.0,0.0,0.0062981107090027,0.7190860215053764,1.0269723533378288
gadag,7561,2.885104450499546,658.2989145169909,572.050396425187,120749.81397675042,62767.42974416828,577,1,3177,649,0.0,0.0,0.00022706630336058128,0.0,0.0,0.010487906183192938,0.8526004996593232,0.9011475968639927
gadarwara,7751,2.5952380952380953,20.018071184979316,14.298622274985226,28967.088900769293,14483.544450384637,12,0,23,7,0.0,0.0,0.0,0.0,0.0,0.0013821251595943216,0.8333333333333334,0.8227848101265823
gadchiroli,8249,2.6087735004476276,825.1812597800109,633.8455871900173,163375.87940414963,81687.93970207532,259,0,777,81,0.0,0.0,0.0,0.0,0.0,0.010101628989414293,0.927484333034915,0.7931807985643786
gadwal,7984,2.8410104011887074,332.57229975055844,292.05086055361073,76828.03397753042,38414.016988765106,82,0,534,57,0.0,0.0,0.0,0.0,0.0,0.008657576734238061,0.9153046062407132,0.8978374347501864
gafargaon,9885,2.6357615894039736,16.377275555727643,12.798135864740807,19179.37946453253,9609.544196261179,33,0,107,11,0.0,0.0,0.0,0.0,0.0,0.0017042718386268115,0.9271523178807947,0.7845117845117845
gagnoa,1603,3.00109649122807,148.65787400248465,131.7871613278606,49068.36463384374,24601.714312739743,207,3,1195,419,0.0,0.0,0.001644736842105263,0.0,0.0,0.006042581915744942,0.7699066447007139,0.9815782238108332
gaibandha,9732,2.3375,9.090226201053161,5.567763548145061,13269.032728912453,6634.516364456224,31,0,40,9,0.0,0.0,0.0,0.0,0.0,0.0013701414996507,0.8875,0.6645161290322581
gaiyara,5062,2.610850636302746,96.53954462550092,74.03736007782891,36642.35421581516,18662.354809719902,348,0,1033,109,3.0,0.0,0.0,0.0020093770931011385,0.0,0.005172956232469671,0.9249832551908909,0.7715531700771553
gaizhou,11444,2.711864406779661,7.41415808230331,5.696754232730227,8200.423138083055,4704.715963327848,41,2,102,31,1.0,0.0,0.011299435028248588,0.005649717514124294,0.0,0.0015758991913847563,0.8171428571428572,0.7217391304347827
gajraula,7186,2.48,27.424728695294835,19.380141611341685,32541.5778974903,20216.173861389318,22,0,48,5,0.0,0.0,0.0,0.0,0.0,0.0013565736465925963,0.9333333333333333,0.6137931034482759
gajwel,8097,2.9605522682445757,795.529917263095,701.3843649242672,150186.77111963578,81093.15412160249,120,0,694,200,0.0,0.0,0.0,0.0,0.0,0.009810074917916812,0.8027613412228797,0.9125061789421651
galati,3490,2.850121359223301,46.23882925179678,39.05609849423611,16077.445414216008,8630.88456672507,256,8,1113,269,2.0,0.0,0.0048543689320388345,0.0012135922330097086,0.0,0.005357368517018851,0.8347560975609756,0.7621374045801527
galkayo,5837,3.1790773701416635,289.94309753299245,279.20056358879873,67167.78511356664,33583.89255678316,102,0,1957,691,3.0,0.0,0.0,0.0010897203051216855,0.0,0.008633397604007957,0.7479113694151834,1.0754408289401927
gallaorol,5996,2.637323943661972,30.881266096757166,24.030844392194837,22189.512148119553,12083.403171409047,63,0,199,21,1.0,0.0,0.0,0.0035211267605633804,0.0,0.0025556762162688065,0.9225352112676056,0.6856127886323268
