city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,6way_int_count,2way_int_prop,5way_int_prop,6way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient
maseru,3631,2.7175382056346815,341.9143764246009,279.06952586646656,79909.51694958887,40373.660263580794,1768,6,7035,796.0,13.0,1.0,0.0006237654641854663,0.0013514918390685102,0.00010396091069757771,0.00846874854032063,0.9157391032976178,0.825867540710681
mashan,11303,2.6666666666666665,5.821883271886033,4.204693474139913,10908.191645522757,5454.095822761378,5,0,9,4.0,0.0,0.0,0.0,0.0,0.0,0.0010674332576977802,0.7777777777777778,0.9354838709677419
mashi,2658,2.8774193548387097,163.49418178726,132.90494777545007,43704.72672677223,21873.063309002122,58,0,174,78.0,0.0,0.0,0.0,0.0,0.0,0.007474681505629437,0.7483870967741936,0.9414634146341463
masjed soleyman,5731,2.7576099210822997,284.4512559567643,236.66857598206548,79316.55625208704,43263.94183972135,149,2,651,85.0,0.0,0.0,0.002254791431792559,0.0,0.0,0.006574788238449527,0.903954802259887,0.7269121813031162
maski,7741,2.1666666666666665,11.255188107307067,6.565526395929123,20424.521609680243,10212.260804840123,5,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.001102125016428551,1.0,0.5789473684210527
masohi,13033,2.8908045977011496,356.8110806621822,299.90586521174794,95955.00820141974,50567.8015680655,111,2,435,148.0,0.0,0.0,0.0028735632183908046,0.0,0.0,0.00705609240658615,0.7867435158501441,0.871294287780188
massa,2710,2.6849103277674704,111.59554141043947,88.64840627192919,32983.29478381463,18614.255287294312,665,38,2196,324.0,8.0,3.0,0.011750154607297465,0.0024737167594310453,0.0009276437847866419,0.00599516551632405,0.8951814768460575,0.6218882104274307
massinga,4522,2.9140722291407224,223.95123326815343,200.80309832262822,110869.45846310398,55635.02097920681,83,0,623,97.0,0.0,0.0,0.0,0.0,0.0,0.004025364407642689,0.8792029887920298,0.8931917551530294
masuri,2893,2.6785714285714284,23.478607651159535,16.770434036542525,26920.40047439235,13460.200237196175,8,0,14,5.0,1.0,0.0,0.0,0.03571428571428571,0.0,0.001744298542177575,0.7857142857142857,0.803921568627451
masvingo,4135,2.997969543147208,640.2086161224756,604.4609268973628,211768.99833977726,108620.05501517194,55,0,823,106.0,1.0,0.0,0.0,0.0010152284263959391,0.0,0.005894018522022033,0.8913705583756345,0.9094147582697201
matabhanga,9615,2.761904761904762,26.388123778338006,21.990103148615006,34371.79156834001,17185.89578417,7,0,31,4.0,0.0,0.0,0.0,0.0,0.0,0.0015354523331070247,0.9047619047619048,0.9493670886075949
matadi,3089,2.5876068376068377,77.21486118395316,58.73609098608402,31593.594505440764,15898.939851159525,224,0,650,62.0,0.0,0.0,0.0,0.0,0.0,0.004856604396696412,0.9337606837606838,0.7675415104445634
matagalpa,377,2.8528138528138527,236.9589239852504,192.0803398971348,74259.04644637262,38307.2443371377,175,0,538,208.0,3.0,0.0,0.0,0.003246753246753247,0.0,0.006185747058697354,0.7716450216450217,0.8654367878459034
matala,3178,2.989032901296112,164.31466490972912,149.2429309399434,64383.332748511784,32636.690855679015,92,0,739,171.0,1.0,0.0,0.0,0.0009970089730807576,0.0,0.005034660702469387,0.8285144566301097,0.9300349825087456
matale,9030,2.589820359281437,238.71857809447496,183.32729126117613,126918.84886731039,63939.68154238863,155,0,477,36.0,0.0,0.0,0.0,0.0,0.0,0.003733496513213272,0.9461077844311377,0.7535687453042825
matamoros,130,3.3225371120107963,305.3678148427273,290.9442338447577,69292.15568619201,41409.52472008418,70,4,787,620.0,1.0,0.0,0.002699055330634278,0.0006747638326585695,0.0,0.007374337592786226,0.5798376184032477,0.8864791596069129
matamoros,245,3.173474369406021,194.85621645351813,180.42829481212664,52281.834241143944,28226.011484487775,910,9,7460,3864.0,44.0,3.0,0.0007323026851098454,0.003580146460537022,0.00024410089503661513,0.00690342723627834,0.6815405911570719,0.9694995317017551
matanzas,490,3.0914728682170542,163.9343575669355,139.95842826903225,44385.572208803205,25106.90209484454,283,10,899,733.0,10.0,0.0,0.00516795865633075,0.00516795865633075,0.0,0.006529453811053728,0.614025974025974,0.8608582574772432
matao,1248,3.30173564753004,223.4739341785446,217.60612727309996,59302.49073174593,34765.304477912454,59,1,1404,770.0,12.0,1.0,0.0004450378282153983,0.0053404539385847796,0.0004450378282153983,0.006428073550183488,0.6513802315227071,0.8194784934254513
matara,9007,2.4052618264609156,262.4273890499521,177.71771325239612,77948.2864979429,39422.64971409266,1276,0,2476,201.0,0.0,0.0,0.0,0.0,0.0,0.00665676688282423,0.9491525423728814,0.66776357423111
