city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,6way_int_count,2way_int_prop,5way_int_prop,6way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,max_info_centrality,avg_info_centrality,max_betweenness_centrality,avg_betweenness_centrality,global_efficiency,avg_closeness_centrality
antofagasta,844,3.1150395778364115,839.6719363845432,756.8124893640104,147686.45135559695,105931.5975664909,187,8,1111,580,7.0,2.0,0.004221635883905013,0.0036939313984168864,0.0010554089709762533,0.00792654841118109,0.6878643349231585,0.617139824887238,0.00012971668493182113,6.907171721609219e-08,0.19947308707882636,0.00010526284278566035,0.04854195235377645,2.0166700238314527e-05
antsirabe,5767,2.9079646017699115,450.97974571797215,390.31698346210334,172386.96948737116,87321.23343082059,76,0,390,98,1.0,0.0,0.0,0.0017699115044247787,0.0,0.0051646057665373744,0.8247787610619469,0.8791111111111111,0.0005221954422566625,9.308296653416445e-07,0.33457268980127786,0.0005921640527456245,0.08417034919126155,0.00014408799512673817
antu,11908,2.7711864406779663,26.900490747345156,21.65717475421856,19508.76523691976,10117.893737304223,23,0,76,19,0.0,0.0,0.0,0.0,0.0,0.0026587046124199,0.8389830508474576,0.8571428571428571,0.0037578547422044543,3.1846226628851305e-05,0.2741922976270199,0.002323663539212033,0.17786055450595187,0.0013424913270830066
antwerp,2133,2.8323092170465807,70.38112799574189,60.173888091503144,21507.0955844524,13219.697050859671,2195,246,10673,1952,61.0,8.0,0.016253716551040635,0.004030393128510076,0.0005285761480013215,0.005323959219713362,0.8642622069984552,0.6590870923319786,1.488790293668905e-05,9.918656187001365e-10,0.22150067530823478,1.4634996716764769e-05,0.02885630322994232,2.2789964272556396e-06
anxi,12527,2.760259179265659,47.60137773090078,37.83435638222783,31971.811002704515,17740.338171197458,95,0,292,73,3.0,0.0,0.0,0.0064794816414686825,0.0,0.0026832283168189306,0.8358531317494601,0.7709011943539631,0.0007375305456221292,1.5929385434603224e-06,0.29668853487038604,0.0006407959716423025,0.1036292998975813,0.00022852048354045316
anxiang,11392,2.873684210526316,12.083891544417156,9.285516660446866,15539.597565495988,8866.476557423905,22,2,37,34,0.0,0.0,0.021052631578947368,0.0,0.0,0.0013628741322616264,0.6344086021505376,0.8287292817679558,0.005783826851913357,6.088238791487744e-05,0.3202084082317439,0.003370614823492041,0.22039324182101053,0.0021333326755824797
anyang,10923,3.0673076923076925,32.34141338843305,28.47150067528721,16800.58706797702,11036.841461578628,448,8,2145,1131,11.0,1.0,0.002136752136752137,0.002938034188034188,0.0002670940170940171,0.0029303142118168265,0.6940578158458244,0.7436721574929691,7.21039872934105e-05,1.9361972957414207e-08,0.2027456182435879,5.415214162488993e-05,0.04352964313945787,9.086262180722839e-06
anyang,11292,2.523076923076923,14.15516542237829,10.23527345925815,16128.784640421052,8456.33044904113,18,0,42,5,0.0,0.0,0.0,0.0,0.0,0.001673913467275082,0.9230769230769231,0.696,0.004288624577687679,6.597883965673353e-05,0.48478835978835977,0.007458282458282458,0.20749479804697804,0.002995014245014245
anyi,11973,3.081818181818182,27.715424894309354,23.684090364227995,25526.80380350867,14684.601393001176,16,0,56,35,3.0,0.0,0.0,0.02727272727272727,0.0,0.0018873801305576328,0.6545454545454545,0.8790697674418605,0.005145926143924291,4.67811467629481e-05,0.34264196078151377,0.0031149269161955795,0.2018021539205822,0.0017548956215073114
anyuan,12268,2.7828947368421053,32.34362950424051,23.832148055756164,21422.465521894264,13259.627759123121,40,0,67,44,0.0,1.0,0.0,0.0,0.006578947368421052,0.0024392562213510767,0.7039473684210527,0.6789297658862876,0.0035467510737450998,2.3645007158300667e-05,0.21424295068938606,0.0014094930966406978,0.17462024498384124,0.0010208482256263624
