city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,2way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,5way_int_count,5way_int_prop
nawalgarh,6757,2.8684210526315788,18.68556268221228,16.718661347242563,17973.057590872828,9581.869753917046,8,0,62,6,0.0,0.0019500956663049674,0.9210526315789473,0.782312925170068,0.0,0.0
nawnghkio,10178,3.163978494623656,240.48627552477183,215.92047318621985,83192.71927980821,41596.35963990415,38,0,198,135,0.0,0.0057814260095508194,0.6344086021505376,1.0757780784844384,1.0,0.002688172043010753
naxi,10541,2.8161764705882355,51.3224982654212,40.75610156371683,41768.401991727755,23643.943996240025,28,0,77,31,0.0,0.0021706403243715497,0.7720588235294118,0.6441947565543071,0.0,0.0
nayong,10682,2.929411764705882,53.59229664118251,43.50433492048933,46259.60820445843,27497.37136676313,16,0,43,26,0.0,0.0019489970850799603,0.6941176470588235,0.7393939393939394,0.0,0.0
naypyidaw,10200,2.969485903814262,477.6038115163909,413.76489408982195,141532.58394273027,73297.38647802411,403,2,1894,716,0.0006633499170812604,0.006515973276340286,0.762363093262529,0.9274206942368377,0.0,0.0
nazarabad,5724,2.977761304670126,304.2232120238953,274.45489179620506,82260.62011409711,45706.8383867053,132,0,993,214,0.0,0.0066559670885568065,0.8339510748702743,0.7686594875603416,10.0,0.007412898443291327
nazareth,4348,2.6330121491411815,112.59238050884751,88.44185733309136,31774.346983054606,18169.294890976293,512,25,1679,169,0.010473397570171765,0.0061968491999525015,0.9276037256562235,0.5655859292222929,2.0,0.0008378718056137411
nazilli,3591,3.1815528312901344,263.5196711377675,252.1358674809112,64139.40850770274,34521.09076421411,74,0,1196,427,0.0,0.007633584724702328,0.7413893753648569,0.9611224788073662,16.0,0.009340338587273789
nazira,10078,2.1818181818181817,9.973321666130303,5.74221550474169,23801.492333810365,11900.746166905183,14,0,18,1,0.0,0.000838041709843803,0.9696969696969697,0.6557377049180327,0.0,0.0
nazlat dahrut,3924,2.7506276150627613,431.57123931467873,357.1748583114789,103799.12982315198,53519.43577736545,206,0,875,114,0.0,0.008063822666404112,0.9046025104602511,0.8494758909853249,0.0,0.0
nazlet abu haseiba,3914,2.6735419630156474,339.0577492563696,271.0532789218773,70144.6532482743,35892.0379199378,282,0,1019,105,0.0,0.009446600664266688,0.9253200568990043,0.8186676166726042,0.0,0.0
nazlet al barsha,3978,2.751453488372093,412.7672388524742,344.3726672984305,108175.09999164134,54707.346702838746,114,0,517,57,0.0,0.007545005629583125,0.9171511627906976,0.849744711889132,0.0,0.0
nazlet al khalayfa,4008,2.4556616643929057,802.7414852049756,568.3803967549554,191022.56779923843,95661.88362321268,428,0,980,58,0.0,0.008391445524601688,0.9604365620736699,0.6976426375128117,0.0,0.0
nazlet al mughrebi,4058,2.670846394984326,592.0237614878625,475.10370827866086,185029.84256531793,93022.60887761784,189,0,705,63,0.0,0.006364299696934315,0.9341692789968652,0.785751702462022,0.0,0.0
nazlet al sibaat,3943,2.780804150453956,518.8053844734718,440.0761627051239,180016.97260963684,90488.29975248716,351,0,1767,195,0.0,0.0057333974214629,0.9156939040207522,0.8511144773858472,0.0,0.0
nazlet husein ali,3929,2.5511482254697286,150.3599278807802,113.31927758864646,54782.79846113523,27391.399230567593,118,0,340,21,0.0,0.005489311685581405,0.9561586638830898,0.7639034627492131,0.0,0.0
nazlet rimeih,3984,2.4914022336465167,495.61673445421286,358.81913552756697,115899.0107609203,58437.91366340264,1557,0,3840,243,0.0,0.008481081944658781,0.9567452579329906,0.7200496585971446,1.0,0.0001772735330615139
nazran,4823,2.9489516864175025,87.83630189028923,77.18705106858597,42026.17405724299,21350.839588482544,133,0,757,204,0.0,0.004113950719655609,0.8113035551504102,0.8652352672453175,3.0,0.0027347310847766638
nchelenge,3938,2.9,118.98454944873828,109.59103238699578,88481.09045893977,44240.545229469855,15,0,164,11,0.0,0.002689491027553597,0.9421052631578948,0.92,0.0,0.0
ndiuka,4665,2.879194630872483,177.27662369122353,152.76723813391345,67104.4944287222,34174.38191652063,103,0,527,114,0.0,0.0051874127270030955,0.8456375838926175,0.8572390572390572,1.0,0.0013422818791946308
