city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,6way_int_count,2way_int_prop,5way_int_prop,6way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient
seremban,11216,2.806328720261235,203.02466134953846,171.67596150191108,50816.813911704936,28853.68943824202,1986,31,9350,1479,15.0,1.0,0.0024102005908878867,0.0011662260923651065,7.774840615767377e-05,0.007036350127219926,0.8834853090172239,0.7737849319873719
seririt,12704,2.3026409707351894,457.86130391661186,286.9394895351786,95010.29261968978,47819.733628395006,523,0,809,69,0.0,0.0,0.0,0.0,0.0,0.009574735557387906,0.9507494646680942,0.6220951018948874
serov,5319,2.960377358490566,68.84260872798161,56.957516843811206,28982.331713413645,14575.59904320669,183,0,553,324,0.0,0.0,0.0,0.0,0.0,0.004723140951113593,0.6943396226415094,0.9408983451536643
serpukhov,3712,2.9172852598091197,34.340602967749106,28.62323852879194,16686.95279939639,8525.929479919216,157,1,550,233,2.0,0.0,0.0010604453870625664,0.0021208907741251328,0.0,0.004027784073118382,0.7505307855626328,0.893560404470463
serra,1401,2.990404386566141,225.08959040789233,205.3421828875289,59101.10588990681,31381.356463478314,128,0,1091,238,2.0,0.0,0.0,0.0013708019191226869,0.0,0.007172717045225627,0.8355037697052776,0.8688637143837967
serra talhada,1416,3.1801980198019804,301.90378145463933,284.56673261863034,69701.3757391017,37658.927894999586,87,0,981,447,0.0,0.0,0.0,0.0,0.0,0.008016791723237734,0.7049504950495049,0.932892561983471
serrekunda,1455,3.0317293718714677,187.98863168979204,171.00499864757685,50462.47306194082,25482.40593192574,1119,0,8665,2574,27.0,1.0,0.0,0.002179880510253512,8.073631519457452e-05,0.007377193197219643,0.7899241078637171,0.9953971009811443
sertaozinho,1254,3.3551401869158877,297.2559727323759,288.1737449529898,56766.14417243008,48189.89275197029,85,7,1530,1155,5.0,0.0,0.0025161754133716753,0.0017972681524083393,0.0,0.006168429846115859,0.581981981981982,0.47844905320108205
serui kota,13052,2.849246231155779,91.53414913508199,77.73503117501939,41719.60652179156,22278.25001374672,30,0,139,30,0.0,0.0,0.0,0.0,0.0,0.004108677704873639,0.8492462311557789,0.7659033078880407
sete lagoas,1345,3.2325679376448284,156.04482623368742,148.8129193932806,44692.37706142167,24689.353203674917,220,1,2992,1524,9.0,1.0,0.0002106593638087213,0.0018959342742784916,0.0002106593638087213,0.006320328643135971,0.6767804466919511,0.9222093390956045
setif,2261,3.0113871635610767,267.47955252695,241.06387001031334,58435.71274713939,33680.54146508985,477,8,3353,969,21.0,2.0,0.0016563146997929607,0.004347826086956522,0.00041407867494824016,0.00794166426345,0.7942762339278308,0.8651312376802572
settat,1577,3.131111111111111,452.9176461965274,435.05256126321996,75285.14634626824,41571.73031341493,142,2,2701,753,1.0,1.0,0.0005555555555555556,0.0002777777777777778,0.0002777777777777778,0.010894847118027554,0.7901612006670372,0.9078014184397163
setubal,1559,2.7789330922242317,254.25519242025527,211.7260689141547,41372.09916070901,26329.033459263217,370,33,1544,250,11.0,4.0,0.014918625678119348,0.004972875226039783,0.0018083182640144665,0.009656837301439255,0.8783845800826067,0.5750057431656329
sevastopol,3755,2.741097612065354,45.97751345058832,36.808977044019386,18094.078437859123,9672.193408322664,476,17,1551,336,6.0,1.0,0.007121910347716799,0.0025136154168412233,0.00041893590280687055,0.004753576723458187,0.8552742616033755,0.7461457233368533
severodvinsk,3539,2.9854014598540144,15.94653484893184,14.006567105752785,10745.528781079782,5811.527961996962,50,2,268,86,5.0,0.0,0.004866180048661801,0.012165450121654502,0.0,0.002743948743464753,0.7775061124694377,0.7539975399753998
seville,1632,2.9958391123439667,223.2014507905382,205.1385944339741,40064.971186864954,28764.8839721212,1342,190,12323,2655,69.0,4.0,0.011457516734004703,0.004160887656033287,0.00024121087861062534,0.007759511597782354,0.8335875068626853,0.5416552271132669
sfax,2837,2.5476386883893585,201.82735893393604,150.08022261828003,41230.860125119114,21278.366907810774,4973,5,13244,1171,3.0,0.0,0.0002577851103320272,0.00015467106619921633,0.0,0.009485096286212177,0.9394564488680316,0.7174613817469119
shabqadar,6202,2.34703196347032,66.59241820753584,43.17864559575384,77916.32452259096,38958.16226129554,77,0,131,11,0.0,0.0,0.0,0.0,0.0,0.0017093316096610288,0.9497716894977168,0.6327944572748267
shabunda,3773,2.375586854460094,133.2927141113046,85.73287245656682,39866.156158438585,19933.078079219285,76,0,118,19,0.0,0.0,0.0,0.0,0.0,0.006687011086876015,0.9107981220657277,0.6888361045130641
shadegan,5722,3.0,294.64279316664073,263.5416094434953,83932.53834802717,45989.69904196779,114,0,743,218,5.0,0.0,0.0,0.004629629629629629,0.0,0.006406712792309538,0.7935185185185185,0.8654292343387471
