city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,2way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,5way_int_count,6way_int_count,5way_int_prop,6way_int_prop
ranaghat,9733,2.326530612244898,12.801522821451663,7.968294817434199,14655.008284767453,7327.504142383722,37,0,53,8,0.0,0.0017470509156596913,0.9183673469387755,0.675392670157068,0.0,0.0,0.0,0.0
rancagua,946,2.856263982102908,564.1547800253934,472.96868862307866,95515.40942593866,56379.261426992955,1156,52,4625,1303,0.00727069351230425,0.010006423740685798,0.8142253521126761,0.7404015498414935,15.0,1.0,0.0020973154362416107,0.00013982102908277405
ranchi,9160,2.5500311720698257,162.174182237623,119.53268513119065,45095.90255181851,23301.267439333657,1687,1,4252,464,0.00015586034912718204,0.006959886738343908,0.9257989088074825,0.7441715399610136,12.0,0.0,0.0018703241895261845,0.0
ranebennur,7592,2.914772727272727,265.17515161761247,232.0282576654109,82831.3827480019,42133.23047410785,88,0,502,112,0.0,0.00629372940630723,0.8380681818181818,0.9379900213827512,2.0,0.0,0.002840909090909091,0.0
ranghulu,10747,3.136094674556213,20.679172783359455,18.63980663115438,12667.951651548994,8516.414342591037,50,1,288,166,0.0019723865877712033,0.0024281548491531025,0.6679841897233202,0.6852035749751738,2.0,0.0,0.0039447731755424065,0.0
rangkasbitung,11874,2.4507726269315673,346.8250995962524,239.1791636067754,77524.54833317037,39326.30112618681,703,0,1400,162,0.0,0.00881916401146882,0.928476821192053,0.6965745856353591,0.0,0.0,0.0,0.0
raniganj,9484,2.626086956521739,28.800078910725624,21.53745031584699,19775.911771061652,10866.79706489632,58,0,142,30,0.0,0.0026502822072347596,0.8695652173913043,0.7736263736263737,0.0,0.0,0.0,0.0
ranipettai,8509,2.70311027332705,92.24202128377733,74.59345359234774,46911.63639365468,25396.384192844984,203,0,768,89,0.0,0.0036320926862401545,0.9151743638077285,0.8039678790741616,1.0,0.0,0.000942507068803016,0.0
ranjangoan,7257,2.773313674898636,286.9272774935438,234.68176511543444,65032.2316894194,36826.01319948843,494,0,1847,371,0.0,0.007791429279603084,0.8628824179874678,0.7681239623685667,1.0,0.0,0.00036859565057132326,0.0
rano,2741,3.0779220779220777,452.9881318900717,430.8138876716766,94568.76471138437,47344.56551717909,49,0,779,170,0.0,0.009567901340771706,0.8271728271728271,1.0185277916875313,3.0,0.0,0.002997002997002997,0.0
ranong,10618,2.6030283080974326,215.8142177725025,159.55192005169212,58002.682534679116,30985.758469703436,396,1,935,184,0.0006583278472679394,0.006964948687104643,0.8768115942028986,0.7251732101616628,3.0,0.0,0.0019749835418038184,0.0
rantau prapat,10907,2.567208271787297,226.61878559722405,168.29039063368447,57382.485558224515,29223.436536122106,697,2,1785,224,0.0007385524372230429,0.007754693234558782,0.9172209903917221,0.7384871462918439,0.0,0.0,0.0,0.0
rantepao,12896,2.4956413449564137,519.8285924822438,374.17300928360766,132185.44096305987,66861.97196043505,225,0,533,45,0.0,0.00777465242559474,0.9439601494396015,0.6970643347907558,0.0,0.0,0.0,0.0
raoping,12497,2.7899608401566396,100.71959857846618,81.75175676714235,32313.907895006196,19444.98475644615,529,8,1796,476,0.002847988608045568,0.005179721138381295,0.8300606926097822,0.6850098266928711,0.0,0.0,0.0,0.0
raoyang,12473,2.489130434782609,12.521860850782856,8.710859722283725,16599.794842467985,9013.52303487152,28,0,55,9,0.0,0.001389230470964381,0.9021739130434783,0.6536312849162011,0.0,0.0,0.0,0.0
rasht,5611,2.454022210184182,365.7081846489609,248.65085875272322,55831.404346095056,31205.305079721296,4727,10,8680,1303,0.0006771397616468039,0.011719423467089115,0.9084564304106247,0.6105519975602318,46.0,2.0,0.003114842903575298,0.00013542795232936077
rasipuram,8313,2.62,21.31046724362442,16.622164450027046,27581.77632789862,14637.264483812036,11,1,34,4,0.02,0.0014559050475034157,0.9183673469387755,0.7634408602150538,0.0,0.0,0.0,0.0
rason,12214,2.7122507122507122,52.79329180539248,40.00859151063931,24767.164707033036,12440.34529476342,85,0,197,69,0.0,0.004243715954380707,0.8034188034188035,0.8149210903873745,0.0,0.0,0.0,0.0
rasra,8636,2.245614035087719,50.61631415079761,30.192187388195066,40528.438340268054,20264.21917013404,23,0,31,3,0.0,0.002497817148829367,0.9473684210526315,0.6605504587155964,0.0,0.0,0.0,0.0
ras al khaimah,5923,3.0425150676005863,441.5100447658941,420.9412432016254,104029.51069295098,60640.14031456936,286,15,4997,834,0.0024433946896888744,0.007280821622040627,0.8626714565643371,0.8144245691415503,7.0,0.0,0.0011402508551881414,0.0
