city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,2way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,5way_int_count,6way_int_count,5way_int_prop,6way_int_prop,7way_int_count,7way_int_prop
mundaragi,7624,2.4347826086956523,19.856978039836857,12.950203069458821,35003.21956492099,17501.6097824605,8,0,12,3,0.0,0.0011345800921545414,0.8695652173913043,0.7804878048780488,0.0,0.0,0.0,0.0,0.0,0.0
mundra,6421,2.688888888888889,170.32858386423152,127.27330294299522,62752.9337872951,33303.80815598935,91,1,199,68,0.002777777777777778,0.005114387611964419,0.807799442896936,0.8106591865357644,0.0,1.0,0.0,0.002777777777777778,0.0,0.0
mungeli,8493,2.6666666666666665,34.72067637231495,27.776541097851958,28912.838308031365,16046.205722344639,12,0,44,4,0.0,0.0021637935455336814,0.9333333333333333,0.808695652173913,0.0,0.0,0.0,0.0,0.0,0.0
munger,9217,2.916943521594684,38.98815975438983,34.45465280620496,26124.059835566863,13067.51526689757,35,0,223,41,0.0,0.002983593970091165,0.8571428571428571,0.9413735343383585,2.0,0.0,0.006644518272425249,0.0,0.0,0.0
munich,2784,2.96575423628392,81.29702027853139,72.4004924639534,27005.122520329845,15695.495458193924,1847,217,11557,3186,0.012856973575068136,0.005179640266538372,0.8045135346017646,0.8010625206351112,66.0,5.0,0.0039104159260575895,0.00029624363076193863,0.0,0.0
munster,2359,2.6076500229042603,100.44347947117149,75.48214753662704,28595.402489271703,15897.42523670261,1085,53,2733,482,0.012139257901969767,0.006318223106926537,0.8852306978900997,0.6712678343579631,11.0,2.0,0.0025194686211635364,0.0004580852038479157,0.0,0.0
muntok,11758,2.403730846102598,762.6388800020275,513.6761543517987,142712.43629234884,73876.26280474814,490,0,927,83,0.0,0.01032319247141196,0.944037308461026,0.64330997664331,1.0,0.0,0.0006662225183211193,0.0,0.0,0.0
murcia,1846,2.8611906789502206,236.99528985981308,203.65779340744177,53526.39481629962,31568.89602974959,1817,76,9154,1829,0.005883719129828908,0.00750724034304132,0.8543727124055759,0.6687307707286677,37.0,2.0,0.002864442207943021,0.000154834713942866,2.0,0.000154834713942866
murfreesboro,535,2.7290470723306544,69.58191684757702,53.817471851876455,27088.420135164415,14622.197941734108,592,8,1541,462,0.0030616150019135095,0.004758649631528994,0.818809980806142,0.7625360230547551,8.0,2.0,0.0030616150019135095,0.0007654037504783774,0.0,0.0
muriae,1376,2.7880268784361637,213.64058805334088,182.3188158280496,58755.317852828455,30314.771505923265,240,4,1259,131,0.002443494196701283,0.007047408818885447,0.9179424372320881,0.7963814780742103,3.0,0.0,0.0018326206475259622,0.0,0.0,0.0
muridke,6494,2.662968099861304,236.643032793836,180.40885856543483,64765.154028948855,34567.45191936125,514,0,1352,295,0.0,0.006845833859720857,0.8626907073509015,0.7824577644063874,2.0,0.0,0.0009246417013407304,0.0,0.0,0.0
murmansk,3316,2.6217532467532467,22.174391463398933,17.17075442863846,14254.073349505272,7638.419934866941,139,17,398,62,0.027597402597402596,0.002903007644575803,0.8964941569282137,0.6580050293378038,0.0,0.0,0.0,0.0,0.0,0.0
murom,4093,2.805327868852459,27.90058743871446,21.611520598020626,17430.797323294242,8939.27543370878,110,2,253,119,0.004098360655737705,0.003121124038029433,0.7469135802469136,0.828335056876939,4.0,0.0,0.00819672131147541,0.0,0.0,0.0
muroran,12754,2.781194478611453,244.00215467977807,198.04958270373132,44703.646730560715,23432.549341951886,1378,9,4787,1122,0.0012300123001230013,0.010412958108784811,0.8435960591133005,0.8499760454452125,21.0,0.0,0.002870028700287003,0.0,0.0,0.0
murshidabad,9620,1.8461538461538463,3.121511553487782,1.20058136672607,8583.280347693692,4291.640173846846,8,0,4,1,0.0,0.0007273469878742865,0.9230769230769231,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0
murtijapur,7619,2.8656716417910446,62.92149310330412,54.938915620049116,42369.74351415567,21184.871757077846,17,0,101,16,0.0,0.0029701144205549466,0.8805970149253731,0.9467680608365019,0.0,0.0,0.0,0.0,0.0,0.0
murubona,4184,3.0336426914153134,464.0478467965459,431.20919406500377,188237.69396410894,94118.84698205428,61,0,653,145,0.0,0.004930445513054641,0.8283062645011601,0.9930191972076788,3.0,0.0,0.0034802784222737818,0.0,0.0,0.0
mus,4674,2.9552599758162033,182.97157077207328,163.5018026608974,51404.861000345765,28148.921469477114,88,2,600,133,0.0024183796856106408,0.006500127224074141,0.833939393939394,0.8583586626139817,4.0,0.0,0.0048367593712212815,0.0,0.0,0.0
musan,12075,2.489130434782609,28.10313904447787,19.55000977007156,14978.459006543542,7489.229503271765,56,0,110,18,0.0,0.0037524740071325975,0.9021739130434783,0.7410468319559229,0.0,0.0,0.0,0.0,0.0,0.0
musanze,4128,2.918687589158345,171.74915501295663,149.45361563181677,78367.96168891969,39670.39417443371,91,0,485,125,0.0,0.004329403793109861,0.8216833095577746,0.9033643521832498,0.0,0.0,0.0,0.0,0.0,0.0
