city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,2way_int_prop,5way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,6way_int_count,6way_int_prop
bardoli,6813,2.5164207520228463,960.654508072035,663.9078275681079,173108.15272976205,91521.74473729331,649,0,1171,280.0,1.0,0.0,0.00047596382674916705,0.010496461915466382,0.866254164683484,0.7205146533238027,0.0,0.0
bareilly,7436,2.684068710003368,102.0378097019245,80.38613569983207,34943.89023713687,18497.654235772123,630,4,2017,311.0,6.0,0.0013472549680026945,0.0020208824520040417,0.0055162567318723195,0.8927487352445194,0.7733333333333333,1.0,0.0003368137420006736
bareli,7638,2.1818181818181817,9.06288143537412,4.943389873840429,22712.355341461112,11356.177670730556,5,0,5,1.0,0.0,0.0,0.0,0.0007980573832278809,0.9090909090909091,0.8235294117647058,0.0,0.0
barhiya,9151,2.4782608695652173,10.127540100089256,7.485573117457276,16234.665183046978,8117.332591523487,6,0,17,0.0,0.0,0.0,0.0,0.0012476438517087405,1.0,0.8292682926829268,0.0,0.0
bari,3135,2.9045310148804546,136.46647575013827,119.49087669344159,29227.05659840539,18777.244665449274,744,49,4254,904.0,28.0,0.008192609931449591,0.004681491389399766,0.007267651787125133,0.8425488873904248,0.5976895185091492,2.0,0.00033439224209998327
bari,7255,2.4285714285714284,18.054172119010097,12.036114746006731,28750.861591067172,14375.43079553359,7,0,12,2.0,0.0,0.0,0.0,0.001255904770841336,0.9047619047619048,0.7027027027027027,0.0,0.0
barika,2266,3.0149625935162097,206.47317215293052,185.23372489280987,52094.02653546151,27792.074573885206,165,0,1091,342.0,6.0,0.0,0.003740648379052369,0.007429210496827856,0.7830423940149626,0.9163284420855448,0.0,0.0
barinas,756,2.9885057471264367,238.5208410682933,201.8315298153949,62635.75856889362,35377.872989073985,910,5,3259,1727.0,15.0,0.0008451656524678837,0.002535496957403651,0.006742091056236124,0.705295212316021,0.8506389100448506,0.0,0.0
baripada,9536,2.9246575342465753,21.101799038473168,18.355674506069125,19249.442071540874,9692.051817851747,19,0,102,23.0,2.0,0.0,0.0136986301369863,0.002177227220309105,0.8287671232876712,0.9163763066202091,0.0,0.0
barisal,9935,2.533392304290137,111.47286628659228,82.63092609302461,42379.9405695375,21439.17233922525,585,2,1559,113.0,2.0,0.0008845643520566122,0.0008845643520566122,0.005199494855621865,0.9490925188136343,0.7321072457345447,0.0,0.0
barkhada,9755,2.4533205004812317,36.012964357478,24.36680841511745,20059.677773479492,10055.8140084938,336,0,600,102.0,1.0,0.0,0.0009624639076034649,0.003581307721787523,0.9008662175168431,0.6985045827303425,0.0,0.0
barletta,3102,2.938566552901024,193.9226674450439,172.7434000107729,36446.05459096895,22467.40279007258,160,8,1062,232.0,3.0,0.005460750853242321,0.0020477815699658703,0.008631289929547635,0.8387096774193549,0.6277071158473703,0.0,0.0
barmer,6480,2.727272727272727,17.223537352300262,13.622252269546571,22947.567515517367,11482.472640908893,23,0,73,12.0,2.0,0.0,0.01818181818181818,0.001499985054694364,0.8727272727272727,0.8604651162790697,0.0,0.0
barnala,6661,2.838827838827839,26.509674562831936,23.013893301799154,20886.131464241873,10659.55412483977,36,0,210,26.0,1.0,0.0,0.003663003663003663,0.0024869402840271633,0.9010989010989011,0.7578558225508318,0.0,0.0
barnaul,6098,2.902187120291616,40.036950359416124,33.29926187244269,18388.90488398447,10006.590639068163,554,3,1957,768.0,9.0,0.0009113001215066828,0.0027339003645200487,0.004001058082970051,0.7634539373669809,0.8180435113342461,1.0,0.00030376670716889426
barquisimeto,783,2.999003525984976,216.5682658869136,187.10263106020258,54276.474172494956,30916.36142970389,1775,17,7721,3512.0,21.0,0.0013030814042618427,0.0016096887934999233,0.007004972638172053,0.7288356742651009,0.8582888726826086,0.0,0.0
barranca,387,2.9676898222940227,179.2902771813559,155.24973920711915,50468.70064499689,26364.934607662934,166,2,779,288.0,3.0,0.0016155088852988692,0.0024232633279483036,0.006800330812474133,0.7645631067961165,0.9083907580056749,0.0,0.0
barranca,494,3.0676156583629894,488.14240821056603,445.2924221991996,114016.28160167793,62323.480054803775,74,1,568,194.0,6.0,0.0011862396204033216,0.0071174377224199285,0.007832399727700072,0.7624703087885986,0.8933889219773675,0.0,0.0
barrancabermeja,645,2.870604781997187,465.88106139809906,375.71898819362866,84321.5757875038,47640.53748578638,688,6,1950,900.0,11.0,0.0016877637130801688,0.0030942334739803095,0.00977908911160155,0.7433079740772048,0.7879599605244607,0.0,0.0
barranquilla,626,3.184912698823895,201.70823681757102,183.25236685125682,46085.49998774399,25632.151685255198,1766,32,10456,6963.0,82.0,0.0016579451841873477,0.0042484845344800785,0.007869344692338215,0.6342830453059318,0.9755274699608129,2.0,0.00010362157401170923
